aX,aY,aZ,gX,gY,gZ,beat_change,beat,dynamic
0.27,-0.006,-1.008,3.963,5.915,-16.037,None,3,f
0.258,-0.006999999999999999,-1.02,4.146,6.462999999999999,-15.976,None,3,f
0.25,-0.008,-1.017,3.72,7.683,-16.098,None,3,f
0.246,-0.012,-1.014,3.537,8.537,-16.159000000000002,None,3,f
0.236,-0.019,-1.021,3.293,8.415,-16.340999999999998,None,3,f
0.226,-0.018000000000000002,-1.026,2.5,8.415,-16.646,None,3,f
0.219,-0.02,-1.032,2.134,8.171,-16.829,None,3,f
0.215,-0.015,-1.039,1.89,7.377999999999999,-17.195,None,3,f
0.228,-0.01,-1.043,1.22,6.707000000000002,-17.439,None,3,f
0.232,-0.008,-1.039,0.305,6.462999999999999,-17.927,None,3,f
0.244,-0.006,-1.052,-0.366,5.488,-18.293,None,3,f
0.259,-0.01,-1.055,-1.037,4.146,-18.598,None,3,f
0.254,-0.012,-1.075,-1.463,2.744,-19.085,None,3,f
0.25,-0.013,-1.096,-2.378,1.646,-19.207,None,3,f
0.258,-0.013,-1.104,-3.293,0.6709999999999999,-19.695,None,3,f
0.268,-0.01,-1.107,-4.146,-0.366,-20.305,None,3,f
0.271,-0.006999999999999999,-1.127,-4.878,-1.159,-20.854,None,3,f
0.281,-0.01,-1.142,-5.3660000000000005,-2.012,-21.402,None,3,f
0.292,-0.009000000000000001,-1.151,-6.22,-3.4760000000000004,-21.89,None,3,f
0.3,-0.009000000000000001,-1.162,-7.195,-4.878,-22.195,None,3,f
0.309,-0.006,-1.173,-7.927,-5.732,-22.744,None,3,f
0.314,-0.009000000000000001,-1.1840000000000002,-8.841000000000003,-5.732,-23.476,None,3,f
0.319,-0.008,-1.193,-9.634,-5.61,-24.207,None,3,f
0.33,-0.014,-1.197,-10.305,-5.61,-24.756,None,3,f
0.335,-0.017,-1.206,-11.098,-5.549,-25.061,None,3,f
0.343,-0.013,-1.21,-11.829,-5.61,-25.427,None,3,f
0.35,-0.01,-1.213,-12.744000000000002,-5.488,-25.854,None,3,f
0.345,-0.011,-1.232,-13.537,-4.756,-26.402,None,3,f
0.348,-0.014,-1.242,-14.329,-3.963,-26.707,None,3,f
0.342,-0.019,-1.248,-14.695,-2.866,-27.073,None,3,f
0.344,-0.014,-1.255,-15.305,-1.707,-27.561,None,3,f
0.343,-0.015,-1.259,-15.671,-1.037,-27.683000000000003,None,3,f
0.348,-0.016,-1.262,-16.340999999999998,-0.4270000000000001,-27.927,None,3,f
0.34600000000000003,-0.017,-1.271,-17.012,0.732,-28.293000000000006,None,3,f
0.34,-0.021,-1.28,-17.744,1.951,-28.537,None,3,f
0.33,-0.018000000000000002,-1.278,-18.659,3.11,-28.78,None,3,f
0.331,-0.013,-1.287,-19.39,4.024,-29.146,None,3,f
0.332,-0.003,-1.2919999999999998,-20.0,4.39,-29.39,None,3,f
0.331,0.0,-1.294,-20.915,4.695,-29.573,None,3,f
0.324,0.0,-1.297,-21.707,4.634,-29.939,None,3,f
0.313,0.005,-1.304,-22.683000000000003,4.512,-30.183000000000003,None,3,f
0.312,0.011,-1.3,-23.232,3.841,-30.793000000000006,None,3,f
0.315,0.017,-1.2990000000000002,-23.902,3.293,-31.341,None,3,f
0.319,0.019,-1.306,-24.451,3.293,-32.073,None,3,f
0.317,0.027000000000000003,-1.3,-25.061,3.1710000000000003,-32.866,None,3,f
0.317,0.023,-1.311,-25.915,2.927,-33.476,None,3,f
0.318,0.022,-1.324,-26.768,2.5610000000000004,-34.146,None,3,f
0.321,0.02,-1.331,-27.927,1.89,-35.0,None,3,f
0.325,0.015,-1.34,-29.146,1.524,-35.976,None,3,f
0.328,0.018000000000000002,-1.346,-30.183000000000003,1.28,-36.829,None,3,f
0.338,0.022,-1.346,-31.402,0.732,-37.622,None,3,f
0.35200000000000004,0.028,-1.349,-32.866,-0.061,-38.476,None,3,f
0.365,0.034,-1.356,-34.329,-0.8540000000000001,-39.329,None,3,f
0.383,0.035,-1.352,-35.671,-1.524,-40.0,None,3,f
0.394,0.045,-1.362,-37.317,-2.378,-40.793,None,3,f
0.407,0.044,-1.368,-38.537,-3.293,-41.707,None,3,f
0.415,0.047,-1.376,-39.39,-4.207,-42.43899999999999,None,3,f
0.416,0.056,-1.391,-40.366,-5.061,-43.232,None,3,f
0.417,0.054000000000000006,-1.4,-41.341,-6.098,-43.963,None,3,f
0.424,0.054000000000000006,-1.405,-42.378,-6.707000000000002,-44.451,None,3,f
0.431,0.051,-1.413,-43.476000000000006,-7.195,-45.183,None,3,f
0.433,0.054000000000000006,-1.4240000000000002,-44.451,-7.439,-45.793,None,3,f
0.4370000000000001,0.055,-1.432,-45.183,-7.5,-46.524,None,3,f
0.442,0.058,-1.433,-45.67100000000001,-6.89,-47.012,None,3,f
0.451,0.056,-1.436,-46.402,-6.22,-47.5,None,3,f
0.446,0.059,-1.4380000000000002,-46.89,-6.098,-48.11,None,3,f
0.448,0.067,-1.4340000000000002,-47.256,-6.341,-48.476000000000006,None,3,f
0.447,0.071,-1.425,-47.927,-6.341,-48.902,None,3,f
0.444,0.073,-1.426,-48.537,-5.854,-49.451,None,3,f
0.44,0.083,-1.418,-49.573,-5.3660000000000005,-50.06100000000001,None,3,f
0.436,0.084,-1.414,-50.244,-4.756,-50.67100000000001,None,3,f
0.429,0.094,-1.416,-51.341,-3.659,-51.28,None,3,f
0.43,0.094,-1.415,-52.683,-2.5610000000000004,-51.951,None,3,f
0.418,0.104,-1.4069999999999998,-53.598,-1.585,-52.683,None,3,f
0.415,0.106,-1.405,-54.695,-0.5489999999999999,-53.537,None,3,f
0.408,0.107,-1.403,-55.549,0.122,-54.268,None,3,f
0.395,0.106,-1.402,-56.402,0.061,-55.244,None,3,f
0.393,0.114,-1.3969999999999998,-57.256,-0.061,-56.402,None,3,f
0.393,0.114,-1.3969999999999998,-58.415,-0.488,-57.622,None,3,f
0.399,0.117,-1.398,-59.512,-1.22,-58.902,None,3,f
0.407,0.125,-1.402,-60.488,-2.134,-60.244,None,3,f
0.408,0.125,-1.401,-61.707,-3.415,-61.82899999999999,None,3,f
0.414,0.122,-1.403,-62.805,-4.756,-63.293,None,3,f
0.417,0.116,-1.402,-63.963,-6.524,-64.756,None,3,f
0.42,0.116,-1.405,-65.061,-8.841000000000003,-66.34100000000001,None,3,f
0.431,0.119,-1.4069999999999998,-66.28,-10.915,-67.805,None,3,f
0.441,0.116,-1.412,-67.012,-12.805,-69.207,None,3,f
0.445,0.121,-1.405,-67.683,-14.207,-70.915,None,3,f
0.455,0.119,-1.403,-68.415,-15.427,-72.317,None,3,f
0.473,0.113,-1.401,-68.84100000000001,-16.707,-73.53699999999998,None,3,f
