,0
0,0
1,399
2,797
3,1296
4,1696
5,2194
6,2593
7,2992
8,3391
9,3890
10,4289
11,4788
12,5187
13,5586
14,5985
15,6483
16,6883
17,7381
18,7780
19,8179
20,8578
21,8977
22,9376
23,9775
24,10174
25,10573
26,10972
27,11371
28,11770
29,12169
30,12568
31,12967
32,13466
33,13865
34,14164
35,14563
36,14962
37,15361
38,15760
39,16159
40,16558
41,16858
42,17256
43,17655
44,18054
45,18453
