aX,aY,aZ,gX,gY,gZ,beat_change,beat,dynamic
-0.38,0.158,-0.434,62.378,-7.317,37.622,None,4,f
-0.386,0.156,-0.4320000000000001,63.72,-8.11,37.683,None,4,f
-0.389,0.152,-0.438,65.061,-8.902000000000003,38.293,None,4,f
-0.397,0.146,-0.439,66.15899999999999,-9.329,38.415,None,4,f
-0.397,0.142,-0.44,67.07300000000001,-9.695,38.72,None,4,f
-0.399,0.14,-0.4370000000000001,67.988,-9.695,39.085,None,4,f
-0.403,0.139,-0.442,69.024,-9.878,39.207,None,4,f
-0.407,0.14300000000000002,-0.445,69.939,-10.122,39.39,None,4,f
-0.406,0.14,-0.457,70.854,-10.366,39.695,None,4,f
-0.402,0.138,-0.465,71.402,-10.427,39.695,None,4,f
-0.408,0.14,-0.478,72.134,-10.549,40.061,None,4,f
-0.414,0.139,-0.479,72.866,-11.159,40.427,None,4,f
-0.417,0.135,-0.491,73.53699999999998,-11.402,40.854,None,4,f
-0.419,0.129,-0.504,74.207,-11.341,41.159,None,4,f
-0.43,0.122,-0.514,74.512,-10.793,41.646,None,4,f
-0.438,0.112,-0.5329999999999999,74.695,-10.122,42.256,None,4,f
-0.44,0.109,-0.541,75.0,-9.573,42.622,None,4,f
-0.445,0.1,-0.5529999999999999,75.0,-9.207,43.11,None,4,f
-0.452,0.098,-0.561,75.061,-9.207,43.841,None,4,f
-0.456,0.097,-0.5710000000000001,75.061,-9.207,44.39,None,4,f
-0.456,0.093,-0.586,75.122,-9.146,44.817,None,4,f
-0.458,0.083,-0.602,75.366,-9.146,45.183,None,4,f
-0.466,0.08199999999999999,-0.611,75.732,-8.963,45.793,None,4,f
-0.474,0.077,-0.628,75.915,-8.78,46.28,None,4,f
-0.474,0.067,-0.649,76.098,-8.597999999999999,46.89,None,4,f
-0.483,0.067,-0.66,76.22,-7.866,47.43899999999999,None,4,f
-0.485,0.07,-0.667,76.585,-7.0120000000000005,47.683,None,4,f
-0.496,0.062,-0.677,76.89,-6.037000000000001,48.293,None,4,f
-0.504,0.051,-0.691,77.07300000000002,-5.244,48.72,None,4,f
-0.508,0.049,-0.7,77.378,-4.634,49.63399999999999,None,4,f
-0.505,0.05,-0.705,77.561,-3.4760000000000004,50.183,None,4,f
-0.505,0.046,-0.713,77.744,-1.89,50.793,None,4,f
-0.51,0.045,-0.72,78.11,-1.22,51.28,None,4,f
-0.51,0.049,-0.732,78.78,-0.61,51.707,None,4,f
-0.508,0.051,-0.736,79.45100000000002,0.122,52.13399999999999,None,4,f
-0.508,0.051,-0.732,80.0,0.6709999999999999,52.622,None,4,f
-0.51,0.062,-0.742,80.488,1.402,53.049,None,4,f
-0.512,0.07,-0.7440000000000001,81.098,2.195,53.17100000000001,None,4,f
-0.516,0.073,-0.752,82.073,2.622,53.537,None,4,f
-0.52,0.071,-0.748,82.68299999999998,2.927,53.78,None,4,f
-0.521,0.065,-0.753,83.171,3.415,53.841,None,4,f
-0.521,0.06,-0.758,84.085,3.232,53.963,None,4,f
-0.518,0.049,-0.753,84.695,2.744,54.146,None,4,f
-0.52,0.052000000000000005,-0.755,85.18299999999998,1.89,54.63399999999999,None,4,f
-0.519,0.054000000000000006,-0.7559999999999999,85.79299999999998,1.28,54.756,None,4,f
