aX,aY,aZ,gX,gY,gZ,beat_change,beat
-0.732,-0.158,-0.303,-20.935,-13.0,21.24,None,3
-0.727,-0.354,-0.17,-15.076,-8.118,25.391,None,3
-0.713,-0.511,-0.059,-10.132,-4.211,27.039,None,3
-0.6970000000000001,-0.6559999999999999,0.045,-6.5310000000000015,-0.732,26.794,None,3
-0.6890000000000001,-0.769,0.136,-1.099,1.221,24.353,None,3
-0.684,-0.797,0.197,3.662,2.441,19.653,None,3
-0.6940000000000001,-0.772,0.231,5.188,1.709,13.916,None,3
-0.6940000000000001,-0.7070000000000001,0.266,0.61,0.4270000000000001,8.057,None,3
-0.7140000000000001,-0.62,0.256,-3.967,-2.319,2.869,None,3
-0.728,-0.545,0.219,-7.263,-4.7,-1.099,None,3
-0.74,-0.496,0.154,-10.437,-6.348,-3.6010000000000004,None,3
-0.7509999999999999,-0.458,0.094,-12.573,-7.019,-5.4929999999999986,None,3
-0.762,-0.484,0.042,-11.23,-6.957999999999998,-6.714,None,3
-0.7609999999999999,-0.479,0.086,-9.888,-4.272,-7.812,None,3
-0.77,-0.456,0.073,-7.69,-1.587,-9.094,None,3
-0.767,-0.402,0.091,-7.812,1.099,-10.01,None,3
-0.7809999999999999,-0.327,0.081,-8.301,2.197,-9.949,None,3
-0.7879999999999999,-0.25,0.049,-9.216,3.052,-9.766,None,3
-0.792,-0.159,0.012,-10.681,4.456,-8.667,None,3
-0.7929999999999999,-0.101,-0.042,-12.451,5.31,-6.653,None,3
-0.792,-0.062,-0.11,-15.198,6.5920000000000005,-4.15,None,3
-0.799,-0.028,-0.184,-18.86,9.033,-0.977,None,3
-0.8059999999999999,0.026,-0.262,-20.752,13.0,1.648,None,3
-0.799,0.08800000000000001,-0.332,-20.02,18.555,5.127000000000002,None,3
-0.794,0.16399999999999998,-0.41,-18.311,25.452,9.094,None,3
-0.809,0.266,-0.475,-19.531,33.264,13.55,None,3
-0.812,0.392,-0.507,-22.461,42.969,19.043,None,3
-0.7879999999999999,0.511,-0.487,-28.809,54.077,26.428,None,3
-0.76,0.627,-0.464,-34.973,64.819,35.461,None,3
-0.736,0.755,-0.441,-37.415,75.07300000000002,45.471,None,3
-0.685,0.8690000000000001,-0.417,-38.757,85.449,57.19,None,3
-0.644,0.968,-0.408,-40.283,94.971,70.313,None,3
-0.585,1.089,-0.363,-42.542,105.103,84.351,None,3
-0.494,1.217,-0.301,-43.518,115.479,99.731,None,3
-0.396,1.294,-0.261,-41.44300000000001,124.084,117.188,None,3
-0.28,1.3030000000000002,-0.254,-37.964,131.958,136.292,None,3
-0.14300000000000002,1.259,-0.263,-35.339,139.709,156.067,None,3
-0.028,1.18,-0.289,-36.865,147.339,175.293,None,3
0.131,1.017,-0.227,-40.894,156.799,194.092,None,3
0.289,0.863,-0.092,-48.035,167.725,210.693,None,3
0.419,0.74,0.08900000000000001,-53.589,177.185,223.999,None,3
0.57,0.581,0.359,-62.744,186.279,237.183,None,3
0.718,0.385,0.66,-75.562,191.956,248.291,None,3
0.867,0.162,0.942,-88.257,193.97,258.423,3beats_2,3
0.93,-0.104,1.088,-86.426,191.345,265.32,None,3
0.992,-0.443,1.206,-77.393,187.927,269.531,None,3
0.985,-0.7929999999999999,1.2919999999999998,-68.848,184.204,269.897,None,3
0.992,-1.196,1.555,-60.608,182.43400000000003,265.991,None,3
1.027,-1.62,1.963,-58.289,181.152,258.48400000000004,None,3
0.949,-1.89,2.17,-55.359,169.495,243.958,None,3
0.8190000000000001,-2.051,2.212,-45.532,150.757,224.304,None,3
0.735,-2.242,2.2230000000000003,-30.273000000000003,131.287,204.102,None,3
0.634,-2.396,2.167,-16.907,110.291,181.58,None,3
0.528,-2.515,2.119,-13.245,88.684,157.227,None,3
0.454,-2.544,2.065,-22.949,70.313,133.30100000000002,None,3
0.3670000000000001,-2.47,1.945,-35.706,54.44300000000001,110.474,None,3
0.314,-2.36,1.889,-41.382,40.649,88.01299999999998,None,3
0.266,-2.173,1.806,-43.823,29.175,67.383,None,3
0.219,-1.973,1.73,-43.152,17.517,48.706,None,3
0.184,-1.7919999999999998,1.664,-41.199,7.263,33.447,None,3
0.16,-1.5830000000000002,1.59,-39.795,-1.526,20.264,None,3
0.134,-1.382,1.493,-39.307,-9.338,9.46,None,3
0.104,-1.179,1.399,-40.649,-16.479,1.587,None,3
0.078,-0.981,1.319,-41.32100000000001,-21.729,-3.784,None,3
0.058,-0.848,1.245,-39.612,-25.574,-5.4929999999999986,None,3
0.034,-0.742,1.162,-33.813,-27.893,-5.371,None,3
0.021,-0.708,1.096,-26.306,-28.992,-3.906,None,3
0.027000000000000003,-0.6890000000000001,1.047,-20.386,-28.687,-1.77,None,3
