aX,aY,aZ,gX,gY,gZ,label
0.027000000000000003,-0.421,0.3670000000000001,-10.132,-23.376,-14.954,None
0.013,-0.41,0.326,-9.46,-13.672,-10.925,None
0.017,-0.409,0.313,-9.277,-9.094,-7.263,None
0.034,-0.483,0.309,-6.226,0.732,-6.165,None
0.054000000000000006,-0.612,0.307,-3.662,9.705,-6.165,None
0.076,-0.629,0.298,-4.333,13.306,-7.324,None
0.109,-0.705,0.3,-7.263,22.095,-11.841,None
0.13,-0.73,0.316,-8.789,27.588,-15.015,None
0.17,-0.7240000000000001,0.383,-10.437,39.612,-22.583,None
0.18600000000000005,-0.698,0.442,-9.521,45.532,-26.367,None
0.213,-0.6409999999999999,0.615,-5.188,57.19,-32.532,None
0.232,-0.618,0.7170000000000001,-3.418,63.965,-36.743,None
0.255,-0.595,0.924,-3.662,65.125,-38.81800000000001,None
0.264,-0.557,1.09,-7.5070000000000014,63.11,-42.603,None
0.27,-0.536,1.155,-9.094,60.059,-44.128,None
0.272,-0.529,1.217,-11.353,51.27,-46.143,None
0.264,-0.527,1.203,-10.376,46.021,-47.058,None
0.267,-0.573,1.102,0.244,37.537,-48.645,None
0.272,-0.623,1.027,5.371,34.668,-49.805,None
0.284,-0.6890000000000001,0.862,7.4460000000000015,31.799,-54.077,None
0.287,-0.7120000000000001,0.7859999999999999,7.019,32.166,-56.885,None
0.304,-0.738,0.6890000000000001,3.357,36.438,-63.538,None
0.308,-0.743,0.677,3.723,44.312,-70.984,None
0.328,-0.703,0.715,5.859,48.34,-75.07300000000002,None
0.339,-0.635,0.7879999999999999,8.728,54.199,-81.97,None
0.344,-0.597,0.852,9.949,57.06800000000001,-85.32700000000001,None
0.35700000000000004,-0.502,1.015,8.972000000000003,61.096,-90.82,None
0.35700000000000004,-0.43,1.104,3.784,61.157,-93.567,None
0.33,-0.241,1.27,-6.775,56.702,-96.802,None
0.312,-0.138,1.351,-11.841,49.988,-96.619,None
0.279,0.036000000000000004,1.49,-12.085,45.532,-95.093,None
0.234,0.204,1.569,-10.498,33.691,-89.355,None
0.207,0.276,1.575,-7.751,26.917,-84.77799999999998,None
0.154,0.387,1.547,3.479,13.977,-73.669,None
0.127,0.413,1.51,9.277,8.24,-66.895,None
0.092,0.387,1.394,14.648,-3.052,-51.575,None
0.07400000000000001,0.343,1.321,13.55,-7.629,-44.006,None
0.055,0.18600000000000005,1.181,16.602,-13.55,-31.189,None
0.053,0.108,1.113,16.663,-15.808,-26.123,None
0.046,0.008,1.0,16.785,-17.822,-19.409,None
0.031,-0.017,0.961,15.93,-17.761,-14.343,None
0.021,-0.048,0.8959999999999999,16.785,-17.09,-11.963,None
0.004,-0.1,0.853,17.395,-16.174,-7.263,None
0.0,-0.136,0.838,17.273,-15.32,-5.676,None
-0.009000000000000001,-0.194,0.8109999999999999,13.672,-14.709,-3.052,None
-0.006999999999999999,-0.208,0.799,10.01,-14.099,-2.136,None
-0.016,-0.214,0.7909999999999999,2.8080000000000003,-13.245,-0.488,None
-0.022,-0.205,0.779,1.16,-12.329,0.488,None
-0.023,-0.197,0.815,2.075,-9.521,3.174,None
-0.021,-0.195,0.8320000000000001,4.517,-7.141,6.287000000000001,None
-0.02,-0.212,0.8959999999999999,6.47,-5.737,8.057,None
-0.005,-0.28600000000000003,1.015,9.338,-3.479,11.536,3beats_2
-0.001,-0.302,1.062,10.315,-3.845,12.085,None
0.008,-0.325,1.1740000000000002,9.583,-5.676,13.245,None
0.013,-0.344,1.246,8.179,-6.775,14.099,None
0.052000000000000005,-0.392,1.389,0.6709999999999999,-9.888,16.174,None
0.066,-0.422,1.469,-2.93,-12.939,17.09,None
0.098,-0.494,1.615,-7.812,-21.301,18.066,None
