aX,aY,aZ,gX,gY,gZ,beat_change,beat
-0.551,-0.526,-0.299,-50.049,-68.237,-3.662,None,3
-0.575,-0.514,-0.268,-46.692,-57.8,-3.174,None,3
-0.5920000000000001,-0.546,-0.251,-41.199,-47.913,-2.502,None,3
-0.603,-0.5579999999999999,-0.237,-37.354,-39.063,-2.869,None,3
-0.622,-0.569,-0.219,-31.189,-29.907,-4.272,None,3
-0.623,-0.552,-0.194,-25.452,-20.203,-5.92,None,3
-0.633,-0.517,-0.179,-20.996,-11.902,-8.118,None,3
-0.6459999999999999,-0.45,-0.14400000000000002,-17.639,-4.395,-10.254,None,3
-0.652,-0.3670000000000001,-0.09,-14.099,3.845,-11.78,None,3
-0.66,-0.292,-0.045,-10.62,11.169,-11.902,None,3
-0.679,-0.211,0.036000000000000004,-8.972000000000003,17.761,-11.047,None,3
-0.687,-0.179,0.141,-4.517,24.902,-8.484,None,3
-0.685,-0.173,0.253,-3.357,30.334,-5.371,None,3
-0.682,-0.175,0.342,-2.258,33.508,-2.258,None,3
-0.6729999999999999,-0.214,0.412,0.61,35.034,1.099,None,3
-0.6679999999999999,-0.24,0.483,1.099,35.4,3.174,None,3
-0.664,-0.265,0.541,-0.488,34.058,4.211,None,3
-0.662,-0.265,0.588,-3.113,32.837,4.761,None,3
-0.6709999999999999,-0.243,0.588,-7.935,30.945,5.249,None,3
-0.675,-0.21,0.647,-13.611,30.029,5.859,None,3
-0.675,-0.162,0.708,-13.428,30.09,6.714,None,3
-0.685,-0.13,0.773,-10.193,29.846,8.728,None,3
-0.688,-0.115,0.812,-2.38,30.273000000000003,11.536,3beats_1,3
-0.695,-0.161,0.8370000000000001,6.653,29.297,14.954,None,3
-0.688,-0.209,0.8690000000000001,9.827,27.1,17.883,None,3
-0.68,-0.26,0.852,15.137,24.658,19.592,None,3
-0.682,-0.321,0.8290000000000001,17.334,21.057,20.691,None,3
-0.6779999999999999,-0.396,0.8029999999999999,12.939,17.944000000000006,20.874,None,3
-0.669,-0.439,0.77,6.897,15.32,20.081,None,3
-0.669,-0.448,0.736,1.404,13.184,17.944000000000006,None,3
-0.67,-0.4370000000000001,0.7290000000000001,-0.122,12.634,15.686,None,3
-0.667,-0.429,0.755,1.953,13.428,14.16,None,3
-0.6609999999999999,-0.435,0.7929999999999999,7.324,14.404000000000002,12.817,None,3
-0.653,-0.442,0.818,13.184,14.220999999999998,11.841,None,3
-0.654,-0.453,0.836,17.883,13.0,10.681,None,3
-0.638,-0.487,0.8420000000000001,20.996,10.925,9.277,None,3
-0.639,-0.493,0.835,17.7,7.751,7.4460000000000015,None,3
-0.637,-0.503,0.82,14.282,4.272,5.4929999999999986,None,3
-0.637,-0.506,0.7959999999999999,9.46,1.221,3.174,None,3
-0.638,-0.49,0.7659999999999999,4.578,-1.526,0.977,None,3
-0.645,-0.464,0.725,1.404,-3.235,-0.916,None,3
-0.6509999999999999,-0.445,0.71,-0.732,-4.15,-2.441,None,3
-0.6559999999999999,-0.424,0.695,-2.075,-4.211,-3.54,None,3
-0.6579999999999999,-0.406,0.6920000000000001,-1.77,-4.333,-4.517,None,3
-0.662,-0.395,0.682,-0.488,-4.272,-5.249,None,3
-0.6629999999999999,-0.394,0.674,0.244,-4.517,-5.5539999999999985,None,3
-0.659,-0.394,0.6579999999999999,1.038,-4.883,-5.859,None,3
-0.6579999999999999,-0.394,0.6409999999999999,1.099,-5.4929999999999986,-6.226,None,3
-0.659,-0.387,0.629,0.305,-5.737,-6.653,None,3
-0.6579999999999999,-0.37,0.613,-0.244,-5.615,-7.202000000000001,None,3
-0.66,-0.35100000000000003,0.595,-0.6709999999999999,-5.4929999999999986,-7.5070000000000014,None,3
-0.6629999999999999,-0.326,0.588,-0.61,-4.883,-7.69,None,3
-0.669,-0.318,0.589,0.8540000000000001,-3.906,-7.4460000000000015,None,3
-0.6659999999999999,-0.314,0.594,2.197,-2.502,-7.019,None,3
-0.67,-0.307,0.591,3.845,-1.709,-6.653,None,3
-0.6709999999999999,-0.305,0.594,5.127000000000002,-1.16,-6.47,None,3
-0.669,-0.306,0.584,4.456,-0.977,-6.348,None,3
-0.675,-0.302,0.568,2.441,-0.977,-6.165,None,3
-0.675,-0.302,0.561,0.4270000000000001,-0.977,-5.981,None,3
-0.68,-0.301,0.5489999999999999,-1.648,-0.61,-5.615,None,3
-0.682,-0.306,0.54,-2.625,-0.122,-4.944,None,3
-0.6829999999999999,-0.321,0.536,-1.709,1.16,-4.6389999999999985,None,3
