0 , 3
1 , 0
2 , 0
3 , 1
4 , 0
5 , 0
6 , 2
7 , 0
8 , 0
9 , 3
10 , 0
11 , 0
12 , 1
13 , 1
14 , 0
15 , 3
16 , 2
17 , 0
18 , 0
19 , 3
20 , 0
21 , 0
22 , 1
23 , 0
24 , 0
25 , 0
26 , 2
27 , 0
28 , 0
29 , 0
30 , 0
31 , 0
32 , 1
33 , 0
34 , 0
35 , 2
36 , 2
37 , 0
38 , 3
39 , 0
40 , 0
41 , 0
42 , 1
43 , 0
44 , 0
45 , 2
46 , 0
47 , 0
48 , 3
49 , 0
50 , 0
51 , 1
52 , 1
53 , 0
54 , 0
55 , 2
56 , 0
57 , 0
58 , 3
59 , 0
60 , 0
61 , 1
62 , 1
63 , 0
64 , 0
65 , 2
66 , 0
67 , 3
68 , 0
69 , 0
70 , 1
71 , 0
72 , 0
73 , 2
74 , 0
75 , 0
76 , 3
77 , 3
78 , 0
79 , 1
80 , 1
81 , 0
82 , 0
83 , 2
84 , 0
85 , 3
86 , 0
87 , 0
88 , 1
89 , 0
90 , 0
91 , 2
92 , 0
93 , 0
94 , 3
95 , 0
96 , 0
97 , 1
98 , 1
99 , 0
100 , 0
101 , 2
102 , 0
103 , 3
104 , 0
105 , 0
106 , 1
107 , 0
108 , 0
109 , 2
110 , 0
111 , 0
112 , 0
113 , 0
114 , 0
115 , 1
116 , 0
117 , 0
118 , 2
119 , 0
120 , 0
121 , 3
122 , 0
123 , 0
124 , 1
125 , 0
126 , 0
127 , 2
128 , 0
129 , 3
130 , 0
131 , 0
132 , 1
133 , 0
134 , 0
135 , 2
136 , 0
137 , 0
138 , 3
139 , 0
140 , 0
