acc_x,acc_y,acc_z,acc_mean,acc_std,acc_var,gyro_x,gyro_y,gyro_z,gyro_mean,gyro_std,gyro_var,label
-1.5238049166965602,-2.5236452016113846,-1.8074381029776887,-1.8816345214465053,1.0420891607880776,1.0487367611160443,-1.5311632932853771,-0.4716871763985302,1.2786692750405413,-1.1994716780158905,1.7030025230512464,2.08345604248875,0
-1.249520031691181,-2.068113576771783,-1.5357401776911397,-1.5636544386913311,0.9001502162504726,0.9035661344501962,-1.4811368908517082,-0.751942868869085,1.4664322493356827,-1.223045035377961,1.7052666369826648,2.087489648276368,0
-1.1885678350233169,-1.703688276900102,-1.3416702310578872,-1.3970934429624275,0.9043907941230735,0.9078981165277114,-1.3060444823338664,-0.8920707151043625,1.4664322493356827,-1.1287516059296838,1.5328377120508403,1.7874445176079525,0
-1.0971395400215251,-1.6125819519321818,-1.1087862950979799,-1.2456743559361534,0.7001533729100022,0.6996183873234822,-1.205991677466528,-0.6118150226338075,1.2160816169421589,-0.9873114617572674,1.3491409211597112,1.4837193959237902,0
-0.944759048351869,-1.339262977028421,-0.643018423178174,-0.9428361818836036,0.36367232207661554,0.35808098216657797,-1.205991677466528,-0.3315593301632527,1.1534939588437774,-0.8694446749469211,1.3414010156803264,1.4712829442011868,0
-0.8228546550161442,-0.6104123772850587,-0.9147163484647275,-0.8671266383704647,0.9377263507658977,0.941963248319084,-1.0809256713823552,-0.19143148392797535,1.1534939588437774,-0.6808578160503667,1.2252674438736364,1.2881824140202092,0
-0.5790458683446928,-0.4281997273492182,-0.8370883698114264,-0.6854237339389351,0.8255037982100031,0.827362631541151,-0.8558068604308443,-0.28485004808482695,1.090906300745397,-0.539417671877951,0.9723379365563387,0.9121310845468825,0
-0.3657131800071761,-0.4281997273492182,-0.5653904445248773,-0.47343701210215405,0.4605794519013999,0.45623975787757337,-0.6557012506961678,-0.7986521509475109,0.9031433264502517,-0.6808578160503667,0.7055843657100032,0.5492773775762888,0
-0.2742848850053825,-0.4281997273492182,-0.6818324125048288,-0.47343701210215405,0.5064488725937676,0.5027593381418144,-0.5556484458288296,-1.3583978099529088,0.6527926940567261,-0.9633516559138525,0.5557564992433507,0.36066884781310826,0
-0.3657131800071761,-0.24598707741337766,-0.7982743804847803,-0.5340046469126647,0.7668958443591679,0.7676009696990618,-0.506032095874125,-1.2649792457960571,0.5902050359583446,-0.8930180323089899,0.47867369478906974,0.26789277058206074,0
