aX,aY,aZ,gX,gY,gZ,beat_change,beat
-0.422,0.6459999999999999,-0.5429999999999999,-2.927,-5.854,-0.915,None,3
-0.419,0.648,-0.5379999999999999,-2.6830000000000003,-6.402,-1.098,None,3
-0.413,0.657,-0.536,-2.317,-7.5,-1.402,None,3
-0.413,0.66,-0.54,-1.951,-9.268,-1.585,None,3
-0.404,0.6629999999999999,-0.535,-1.768,-11.037,-1.585,None,3
-0.406,0.6659999999999999,-0.531,-1.098,-13.354,-1.707,None,3
-0.405,0.6709999999999999,-0.5329999999999999,-0.488,-15.793,-2.012,None,3
-0.407,0.667,-0.531,-0.488,-18.354,-1.951,None,3
-0.413,0.669,-0.525,-0.122,-20.793000000000006,-1.951,None,3
-0.418,0.67,-0.527,0.183,-23.049,-1.951,None,3
-0.418,0.664,-0.528,0.5489999999999999,-25.183000000000003,-2.134,None,3
-0.423,0.6629999999999999,-0.521,0.8540000000000001,-27.378,-2.134,None,3
-0.435,0.667,-0.518,0.976,-28.841,-2.317,None,3
-0.442,0.669,-0.515,1.341,-30.061,-2.195,None,3
-0.456,0.6659999999999999,-0.504,2.134,-30.061,-2.134,None,3
-0.46,0.664,-0.5,2.256,-28.598000000000006,-2.378,None,3
-0.467,0.6659999999999999,-0.498,2.195,-26.22,-2.866,None,3
-0.47,0.664,-0.5,2.5,-24.024,-2.927,None,3
-0.468,0.6659999999999999,-0.5,2.805,-22.012,-2.988,None,3
-0.467,0.6679999999999999,-0.501,3.537,-19.878,-3.293,None,3
-0.46,0.667,-0.498,3.963,-17.866,-3.354,None,3
-0.458,0.669,-0.5,4.207,-15.488,-3.5980000000000003,None,3
-0.453,0.6709999999999999,-0.503,4.4510000000000005,-12.561,-3.841,None,3
-0.45,0.675,-0.502,4.634,-9.085,-3.963,None,3
-0.441,0.679,-0.505,5.305,-5.183,-4.512,None,3
-0.424,0.679,-0.518,5.732,-1.585,-5.061,None,3
-0.409,0.679,-0.5329999999999999,6.22,0.244,-5.671,None,3
-0.402,0.677,-0.546,6.646,0.488,-6.037000000000001,None,3
-0.394,0.674,-0.5529999999999999,6.646,0.061,-6.341,None,3
-0.387,0.674,-0.5539999999999999,6.89,-0.244,-6.829,None,3
-0.398,0.6779999999999999,-0.555,7.073,0.976,-7.5,None,3
-0.422,0.684,-0.5489999999999999,6.89,6.159,-9.451,None,3
-0.438,0.684,-0.5589999999999999,6.768,15.061,-11.646,None,3
-0.454,0.67,-0.564,6.829,23.049,-12.866,3beats_1,3
-0.457,0.6809999999999999,-0.574,7.134,28.11,-13.049,None,3
-0.45,0.682,-0.5720000000000001,7.561,30.488000000000003,-12.561,None,3
-0.438,0.6759999999999999,-0.584,7.683,32.256,-12.378,None,3
-0.456,0.662,-0.579,7.5,34.39,-12.866,None,3
-0.469,0.6609999999999999,-0.5770000000000001,7.805,38.963,-13.354,None,3
-0.461,0.677,-0.591,8.72,47.927,-14.939,None,3
-0.445,0.672,-0.622,9.573,52.805,-15.976,None,3
-0.454,0.677,-0.647,8.963,52.5,-15.671,None,3
-0.461,0.6809999999999999,-0.6409999999999999,8.171,51.646,-15.244000000000002,None,3
-0.471,0.6890000000000001,-0.632,7.622000000000001,52.683,-15.061,None,3
-0.568,0.701,-0.575,7.5,60.793,-16.340999999999998,None,3
-0.55,0.722,-0.561,6.89,88.354,-20.854,None,3
-0.494,0.706,-0.614,9.329,103.963,-24.39,None,3
-0.55,0.68,-0.649,10.488,105.793,-23.598000000000006,None,3
-0.5760000000000001,0.665,-0.6629999999999999,8.72,110.244,-22.561,None,3
-0.57,0.685,-0.638,6.28,117.744,-22.317,None,3
-0.5770000000000001,0.6859999999999999,-0.62,6.768,125.0,-23.049,None,3
-0.596,0.665,-0.621,8.415,131.524,-23.963,None,3
-0.617,0.635,-0.64,9.024,137.561,-23.841,None,3
-0.624,0.626,-0.655,8.537,143.90200000000004,-23.293000000000006,None,3
-0.625,0.623,-0.655,7.561,150.0,-22.988000000000003,None,3
-0.665,0.604,-0.626,7.439,157.744,-22.988000000000003,None,3
-0.7440000000000001,0.5920000000000001,-0.574,7.5,176.037,-24.268,None,3
-0.9,0.5770000000000001,-0.414,5.61,221.037,-28.963,None,3
-0.752,0.6940000000000001,-0.4270000000000001,5.792999999999998,282.683,-34.939,None,3
-0.6809999999999999,0.649,-0.502,15.305,315.61,-38.293,None,3
-0.675,0.606,-0.619,17.866,333.0490000000001,-38.049,None,3
-0.631,0.531,-0.68,14.695,345.671,-37.683,None,3
-0.613,0.523,-0.647,9.939,351.89,-35.976,None,3
-0.557,0.609,-0.625,9.268,361.037,-34.695,None,3
-0.4,0.575,-0.711,15.122,354.207,-33.232,None,3
-0.409,0.5479999999999999,-0.769,16.28,330.671,-29.817,None,3
-0.377,0.513,-0.8140000000000001,13.293,310.366,-27.317,None,3
-0.369,0.504,-0.777,9.207,287.927,-23.598000000000006,None,3
-0.371,0.5479999999999999,-0.726,8.902000000000003,267.073,-20.671,None,3
-0.38,0.561,-0.7190000000000001,12.012,253.659,-19.39,None,3
-0.38,0.547,-0.757,13.11,245.488,-18.476,None,3
-0.392,0.5489999999999999,-0.773,10.854,239.085,-17.012,None,3
-0.397,0.5920000000000001,-0.73,7.317,237.256,-15.976,None,3
-0.382,0.6509999999999999,-0.6759999999999999,6.585,239.634,-15.976,None,3
-0.391,0.667,-0.6409999999999999,9.39,245.671,-17.378,None,3
-0.395,0.642,-0.677,12.927,255.061,-19.207,None,3
-0.387,0.604,-0.7290000000000001,12.988,262.744,-19.39,None,3
-0.35,0.599,-0.733,10.183,266.03700000000003,-18.232,None,3
-0.311,0.625,-0.701,8.476,266.768,-17.195,None,3
-0.301,0.6459999999999999,-0.674,9.756,266.28,-17.866,None,3
-0.329,0.639,-0.665,12.439,268.78,-19.268,None,3
-0.308,0.589,-0.7040000000000001,14.024,271.829,-19.573,None,3
-0.3,0.569,-0.727,12.5,272.073,-17.988,None,3
-0.29600000000000004,0.578,-0.6990000000000001,10.366,272.805,-17.256,None,3
-0.289,0.598,-0.672,10.488,275.122,-18.293,None,3
-0.289,0.586,-0.688,13.049,276.89,-19.39,None,3
-0.28300000000000003,0.569,-0.7290000000000001,13.902,275.671,-18.354,None,3
-0.281,0.5720000000000001,-0.74,12.439,272.866,-16.28,None,3
-0.264,0.5870000000000001,-0.723,10.305,271.646,-15.61,None,3
-0.233,0.5920000000000001,-0.708,10.976,270.488,-15.976,None,3
-0.214,0.56,-0.7290000000000001,13.537,264.817,-15.488,None,3
-0.206,0.524,-0.77,13.963,255.366,-13.72,None,3
-0.187,0.515,-0.799,11.829,243.476,-11.402,None,3
-0.15,0.528,-0.799,10.0,227.378,-9.085,None,3
-0.158,0.569,-0.7609999999999999,9.39,210.793,-6.89,None,3
-0.157,0.57,-0.7509999999999999,10.793,197.439,-5.732,None,3
-0.171,0.563,-0.755,11.402,186.707,-4.39,None,3
-0.162,0.529,-0.7879999999999999,12.317,177.56099999999995,-3.5980000000000003,None,3
-0.14800000000000002,0.512,-0.816,11.28,164.451,-1.159,None,3
-0.12,0.546,-0.8290000000000001,9.756,149.268,2.256,None,3
-0.08,0.563,-0.8140000000000001,9.695,130.976,5.244,None,3
-0.162,0.606,-0.75,8.72,120.732,6.22,None,3
-0.156,0.56,-0.755,11.28,126.402,2.988,None,3
-0.109,0.546,-0.813,11.402,125.915,4.268,None,3
-0.095,0.545,-0.823,10.854,115.366,8.415,None,3
-0.068,0.562,-0.825,9.939,107.622,9.39,None,3
-0.051,0.563,-0.8220000000000001,9.817,102.927,8.11,None,3
-0.064,0.5670000000000001,-0.833,10.244000000000002,96.951,7.927,None,3
-0.07200000000000001,0.5660000000000001,-0.8420000000000001,10.427,90.183,9.573,None,3
-0.061,0.573,-0.857,10.305,84.329,10.976,None,3
-0.052000000000000005,0.583,-0.861,10.122,79.878,10.671,None,3
-0.05,0.586,-0.8909999999999999,10.244000000000002,74.57300000000002,10.0,None,3
-0.06,0.584,-0.917,10.854,66.46300000000001,9.878,None,3
-0.097,0.5710000000000001,-0.923,11.22,58.72,10.366,None,3
-0.117,0.578,-0.943,10.305,54.63399999999999,10.793,None,3
