aX,aY,aZ,gX,gY,gZ,,,,
-0.58,-0.077,0.392,-6.348,-93.75,-7.751,,,,
-0.591,-0.05,0.364,-5.493,-89.905,-8.423,,,,
-0.6,-0.031,0.332,-5.005,-85.999,-8.484,,,,
-0.625,-0.014,0.29,-5.676,-82.336,-8.362,,,,
-0.648,-0.009,0.244,-6.958,-78.369,-7.812,,,,
-0.66,0.004,0.219,-6.897,-73.303,-7.568,,,,
-0.676,0.013,0.194,-7.202,-67.932,-7.141,,,,
-0.692,0.01,0.159,-6.348,-62.5,-6.47,,,,
-0.71,0.007,0.132,-4.7,-56.885,-6.042,,,,
-0.726,0.001,0.114,-3.479,-50.842,-5.859,,,,
-0.739,0.013,0.126,-1.709,-44.25,-5.798,,,,
-0.741,0.035,0.156,0.183,-37.72,-5.676,,,,
-0.749,0.058,0.179,3.052,-31.738,-5.31,,,,
-0.755,0.077,0.213,5.859,-26.306,-4.395,,,,
-0.753,0.088,0.244,8.24,-21.301,-3.052,,,,
-0.758,0.078,0.246,10.071,-17.578,-1.709,,,,
-0.759,0.054,0.228,10.193,-14.465,-0.244,,,,
-0.763,0.024,0.201,8.85,-11.353,0.732,,,,
-0.767,-0.005,0.183,6.958,-8.118,1.343,,,,
-0.767,-0.028,0.195,5.859,-3.906,1.526,,,,
-0.763,-0.039,0.228,5.554,1.099,1.038,,,,
-0.757,-0.033,0.265,6.042,5.615,0.366,,,,
-0.757,-0.027,0.311,6.775,9.46,-0.122,,,,
-0.748,-0.017,0.36,7.507,13,-0.61,,,,
-0.744,-0.008,0.386,7.812,15.076,-1.038,,,,
-0.744,-0.012,0.391,7.019,16.235,-0.977,,,,
-0.742,-0.019,0.396,4.883,17.273,-1.404,,,,
-0.744,-0.017,0.399,2.38,18.311,-1.892,,,,
-0.743,-0.01,0.403,0.183,19.653,-2.441,,,,
-0.74,0.007,0.41,-1.709,21.667,-2.869,,,,
-0.738,0.016,0.416,-2.686,23.437,-3.174,,,,
-0.736,0.019,0.417,-2.563,25.269,-2.808,,,,
-0.736,0.02,0.417,-1.953,27.283,-2.869,,,,
-0.731,0.022,0.414,-1.648,29.297,-2.93,,,,
-0.731,0.014,0.404,-1.465,31.189,-2.869,,,,
-0.721,-0.001,0.388,-1.404,33.264,-2.747,,,,
-0.715,-0.017,0.362,-1.465,35.522,-3.113,,,,
-0.704,-0.035,0.328,-2.625,37.964,-3.418,,,,
-0.694,-0.058,0.282,-4.517,40.894,-4.395,,,,
-0.684,-0.075,0.227,-7.385,44.128,-5.432,,,,
-0.674,-0.085,0.181,-10.742,48.523,-6.531,,,,
-0.657,-0.097,0.146,-13.916,53.894,-7.751,,,,
-0.643,-0.078,0.129,-17.151,60.059,-9.705,,,,
-0.625,-0.047,0.141,-19.531,67.017,-11.536,,,,
-0.596,-0.01,0.159,-20.447,74.158,-12.756,,,,
-0.579,0.008,0.172,-19.226,81.055,-13.245,,,,
-0.565,0.03,0.224,-16.541,88.196,-13.55,,,,
-0.522,0.054,0.293,-13.733,95.154,-13.611,,,,
-0.498,0.068,0.346,-9.521,100.952,-12.939,,,,
-0.483,0.072,0.412,-6.104,105.774,-12.573,,,,
-0.457,0.083,0.491,-3.784,110.352,-12.207,,,,
-0.426,0.089,0.565,-2.319,113.464,-11.78,,,,
-0.431,0.1,0.641,-1.587,115.417,-11.414,,,,
-0.451,0.141,0.811,1.648,117.615,-11.23,,,,
-0.42,0.207,1.049,8.972,119.69,-10.559,,,,
-0.399,0.266,1.259,20.813,118.469,-8.85,,,,
-0.401,0.276,1.396,32.715,113.159,-6.165,,,,
-0.415,0.258,1.493,36.438,104.492,-3.052,,,,
-0.405,0.213,1.55,33.569,93.75,-0.061,,,,
-0.423,0.164,1.576,25.696,81.909,2.136,,,,
-0.448,0.117,1.587,16.479,69.702,3.296,,,,
-0.459,0.1,1.615,8.118,58.899,3.723,,,,
-0.464,0.085,1.619,2.808,48.95,3.784,,,,
-0.473,0.066,1.579,0.244,38.757,3.784,,,,
-0.487,0.047,1.52,-2.38,29.114,3.54,,,,
-0.499,0.04,1.46,-6.165,20.447,2.686,,,,
-0.5,0.044,1.401,-9.46,12.878,2.014,,,,
-0.51,0.041,1.334,-11.536,6.287,1.648,,,,
-0.511,0.043,1.257,-12.146,0.854,1.099,,,,
-0.509,0.037,1.178,-12.329,-3.601,0.977,,,,
-0.515,0.023,1.102,-13.062,-7.019,0.977,,,,
-0.52,0.018,1.041,-13.672,-8.972,0.61,,,,
-0.518,0.017,0.989,-13.489,-10.071,0.366,,,,
-0.522,0.015,0.939,-12.695,-11.047,0,,,,
-0.524,0.017,0.901,-11.536,-11.414,-0.244,,,,
-0.517,0.02,0.88,-10.071,-11.047,-0.366,,,,
-0.52,0.029,0.87,-7.629,-10.498,-0.488,,,,
-0.512,0.038,0.876,-4.517,-9.644,-0.488,,,,
-0.5,0.048,0.873,-2.136,-9.155,-0.183,,,,
-0.497,0.048,0.859,-0.366,-9.46,-0.122,,,,
-0.496,0.045,0.845,0.122,-9.827,0.244,,,,
-0.493,0.046,0.837,-0.549,-9.827,0.427,,,,
-0.49,0.05,0.83,-1.282,-9.888,0.732,,,,
-0.498,0.057,0.831,-1.221,-9.766,0.671,,,,
-0.492,0.073,0.843,-0.244,-9.155,0.916,,,,
-0.502,0.099,0.875,1.892,-8.484,0.793,,,,
-0.493,0.126,0.927,5.066,-7.812,1.404,,,,
-0.492,0.127,0.969,8.728,-7.751,2.319,,,,
-0.489,0.12,0.992,11.963,-8.972,3.418,,,,
-0.495,0.105,1.02,13.123,-10.681,4.333,,,,
-0.494,0.095,1.062,13.672,-12.817,5.005,,,,
-0.492,0.092,1.11,15.137,-15.259,5.31,,,,
-0.497,0.088,1.145,16.907,-18.677,5.737,,,,
-0.497,0.083,1.196,18.555,-22.4,6.226,,,,
-0.484,0.08,1.22,19.226,-26.855,6.531,,,,
-0.493,0.072,1.224,18.616,-32.593,6.775,,,,
-0.503,0.076,1.224,15.686,-38.452,6.958,,,,
-0.512,0.106,1.236,12.024,-43.579,6.775,,,,
-0.504,0.143,1.24,9.583,-49.011,7.08,,,,
-0.524,0.171,1.227,8.85,-54.871,8.179,,,,
-0.528,0.193,1.233,8.606,-60.059,9.949,,,,
-0.53,0.209,1.236,9.949,-64.941,12.024,,,,
-0.524,0.209,1.24,12.939,-69.946,14.282,,,,
-0.51,0.185,1.206,16.724,-75.5,16.724,,,,
-0.512,0.137,1.126,18.616,-81.421,18.616,,,,
-0.524,0.083,1.041,16.663,-87.097,20.02,,,,
-0.526,0.043,0.978,12.329,-91.125,20.691,,,,
-0.531,0.017,0.904,8.362,-94.177,20.813,,,,
-0.554,-0.001,0.835,6.775,-96.497,20.447,,,,
-0.561,-0.004,0.789,5.493,-97.168,19.897,,,,
-0.56,0.001,0.739,4.517,-97.351,19.592,,,,
-0.573,-0.004,0.673,5.005,-97.534,19.531,,,,
-0.584,-0.021,0.613,5.615,-97.107,19.775,,,,
-0.587,-0.034,0.551,5.493,-96.008,19.897,,,,
-0.591,-0.053,0.486,4.578,-94.727,20.142,,,,
-0.606,-0.081,0.419,2.38,-92.834,20.142,,,,
-0.617,-0.112,0.358,-1.465,-90.21,20.203,,,,
-0.631,-0.139,0.297,-5.493,-87.097,19.653,,,,
-0.65,-0.169,0.233,-8.301,-83.557,18.738,,,,
-0.655,-0.187,0.185,-10.193,-78.796,17.273,,,,
-0.669,-0.2,0.146,-12.024,-73.303,15.442,,,,
-0.688,-0.201,0.111,-12.512,-67.566,13.428,,,,
-0.704,-0.204,0.093,-12.817,-61.34,11.353,,,,
-0.702,-0.194,0.07,-12.939,-54.932,9.46,,,,
-0.714,-0.183,0.037,-12.39,-48.584,7.507,,,,
-0.728,-0.176,0.006,-10.437,-41.87,5.981,,,,
-0.744,-0.182,-0.015,-10.01,-34.851,4.456,,,,
-0.753,-0.183,-0.018,-7.751,-27.1,3.052,,,,
-0.76,-0.168,0.01,-6.165,-18.799,1.526,,,,
-0.754,-0.138,0.07,-3.784,-10.742,-0.244,,,,
-0.752,-0.094,0.121,-0.732,-4.15,-1.709,,,,
-0.749,-0.066,0.165,2.686,1.404,-2.014,,,,
-0.746,-0.043,0.197,4.517,6.47,-2.258,,,,
-0.738,-0.027,0.217,4.944,10.437,-2.014,,,,
-0.738,-0.036,0.225,4.822,13.489,-1.465,,,,
-0.739,-0.045,0.244,4.517,17.151,-1.099,,,,
-0.747,-0.034,0.281,4.578,20.996,-1.099,,,,
-0.741,-0.015,0.357,5.737,24.963,-0.977,,,,
-0.725,-0.002,0.43,9.644,28.32,-0.549,,,,
-0.725,-0.005,0.475,13.855,30.212,0.122,,,,
-0.721,-0.024,0.5,15.198,30.64,0.671,,,,
-0.72,-0.052,0.508,13.672,30.396,1.221,,,,
-0.72,-0.078,0.517,10.254,29.907,1.038,,,,
-0.716,-0.096,0.517,6.165,29.175,0.671,,,,
-0.712,-0.107,0.503,2.502,28.748,-0.427,,,,
-0.713,-0.115,0.475,-1.404,28.381,-1.526,,,,
-0.714,-0.119,0.439,-5.493,28.442,-2.747,,,,
-0.723,-0.109,0.409,-8.911,29.358,-4.15,,,,
-0.698,-0.103,0.369,-11.047,30.701,-5.371,,,,
-0.71,-0.095,0.332,-15.076,32.227,-5.981,,,,
-0.701,-0.078,0.293,-16.907,35.156,-6.714,,,,
-0.692,-0.073,0.244,-16.968,38.574,-7.385,,,,
-0.692,-0.061,0.211,-18.921,42.786,-8.179,,,,
-0.667,-0.054,0.175,-20.081,48.035,-8.484,,,,
-0.662,-0.045,0.137,-21.79,53.65,-8.911,,,,
-0.654,-0.044,0.127,-23.376,60.486,-9.094,,,,
-0.635,-0.04,0.151,-22.705,68.298,-9.46,,,,
-0.611,-0.049,0.21,-18.433,76.782,-9.827,,,,
-0.573,-0.053,0.27,-11.841,84.839,-10.376,,,,
-0.537,-0.073,0.299,-5.127,91.187,-10.986,,,,
-0.51,-0.125,0.329,-1.038,96.375,-11.658,,,,
-0.482,-0.187,0.356,-3.235,100.952,-12.878,,,,
-0.444,-0.227,0.361,-9.094,104.675,-15.808,,,,
-0.413,-0.235,0.35,-18.86,107.178,-19.958,,,,
-0.384,-0.226,0.344,-31.189,109.863,-24.719,,,,
-0.369,-0.179,0.363,-44.739,113.281,-29.663,,,,
-0.375,-0.09,0.462,-51.88,117.92,-34.851,,,,
-0.372,0.052,0.672,-49.561,124.39,-38.94,,,,
-0.365,0.222,0.946,-40.894,130.676,-41.016,,,,
-0.355,0.395,1.243,-25.452,132.446,-40.649,,,,
-0.338,0.54,1.48,-5.737,129.883,-36.987,,,,
-0.376,0.62,1.625,14.404,121.948,-30.823,,,,
-0.375,0.649,1.738,27.161,111.145,-22.583,,,,
-0.381,0.596,1.773,31.738,97.839,-13.55,,,,
-0.402,0.512,1.757,26.917,82.703,-6.287,,,,
-0.423,0.422,1.724,17.456,67.871,-0.244,,,,
-0.432,0.324,1.682,8.85,54.565,4.7,,,,
-0.438,0.235,1.641,3.906,43.091,8.057,,,,
-0.436,0.16,1.599,2.747,33.386,10.01,,,,
-0.432,0.08,1.535,4.211,24.536,10.925,,,,
-0.431,0.013,1.467,4.944,16.296,10.498,,,,
-0.434,-0.031,1.408,2.563,9.033,9.033,,,,
-0.436,-0.041,1.335,-1.16,2.686,6.958,,,,
-0.438,-0.028,1.253,-5.432,-2.808,4.517,,,,
-0.444,-0.015,1.177,-10.498,-7.385,2.991,,,,
-0.457,0.001,1.096,-14.832,-10.559,1.404,,,,
-0.474,0.026,1.035,-16.663,-12.512,0.183,,,,
-0.474,0.05,0.993,-16.296,-13.367,-0.366,,,,
-0.471,0.068,0.943,-14.282,-13.489,-0.427,,,,
-0.478,0.072,0.899,-12.024,-13.062,0,,,,
-0.479,0.052,0.878,-9.338,-11.963,0.854,,,,
-0.476,0.04,0.867,-6.348,-10.315,0.916,,,,
-0.47,0.031,0.849,-2.808,-9.033,0.732,,,,
-0.466,0.022,0.84,-1.465,-8.24,0.427,,,,
-0.459,0.015,0.841,-1.465,-7.385,0,,,,
-0.46,0.019,0.843,-1.404,-6.958,-0.671,,,,
-0.456,0.03,0.851,-0.854,-6.47,-1.282,,,,
-0.452,0.05,0.864,-0.061,-6.042,-2.197,,,,
-0.454,0.073,0.884,0.732,-5.981,-2.625,,,,
-0.453,0.104,0.921,1.343,-5.859,-2.747,,,,
-0.446,0.123,0.948,2.014,-6.042,-2.38,,,,
-0.452,0.139,0.961,3.052,-7.324,-1.831,,,,
-0.448,0.149,0.979,3.662,-8.545,-1.038,,,,
-0.444,0.149,0.982,4.517,-9.705,-0.183,,,,
-0.452,0.145,0.968,5.188,-11.536,0.793,,,,
-0.467,0.147,0.975,5.737,-12.878,1.465,,,,
-0.461,0.166,1.028,6.958,-13.123,2.136,,,,
-0.45,0.171,1.052,9.521,-14.221,3.235,,,,
-0.465,0.157,1.051,12.207,-16.785,4.761,,,,
-0.468,0.152,1.079,13,-19.043,5.493,,,,
-0.475,0.157,1.13,12.878,-21.24,6.348,,,,
-0.469,0.174,1.195,13.367,-24.109,7.202,,,,
-0.47,0.179,1.225,15.32,-27.893,8.362,,,,
-0.475,0.18,1.247,17.334,-32.593,9.705,,,,
-0.47,0.183,1.261,17.7,-37.903,11.047,,,,
-0.476,0.177,1.257,17.395,-43.945,12.451,,,,
-0.479,0.16,1.25,16.541,-49.622,13.794,,,,
-0.484,0.145,1.236,14.893,-55.115,15.076,,,,
-0.488,0.139,1.23,14.709,-60.242,15.991,,,,
-0.483,0.13,1.207,15.198,-65.063,16.907,,,,
-0.485,0.115,1.172,15.808,-70.496,17.822,,,,
-0.489,0.088,1.128,15.625,-75.439,18.494,,,,
-0.498,0.075,1.091,14.282,-79.895,18.738,,,,
-0.5,0.078,1.074,13.306,-83.557,18.799,,,,
-0.488,0.083,1.043,14.099,-86.853,18.982,,,,
-0.487,0.068,0.981,15.259,-90.881,19.897,,,,
-0.49,0.038,0.9,15.625,-94.482,20.691,,,,
-0.487,-0.004,0.811,14.282,-97.473,21.118,,,,
-0.49,-0.046,0.715,10.925,-99.365,21.057,,,,
-0.505,-0.08,0.606,6.104,-100.403,20.508,,,,
-0.523,-0.112,0.5,0.854,-100.342,19.531,,,,
-0.553,-0.137,0.417,-4.7,-98.267,18.433,,,,
-0.58,-0.154,0.357,-7.935,-94.482,16.907,,,,
-0.596,-0.146,0.315,-7.324,-89.172,14.893,,,,
-0.612,-0.133,0.281,-4.822,-83.557,12.878,,,,
-0.624,-0.127,0.272,-3.113,-77.271,11.292,,,,
-0.641,-0.104,0.262,-2.563,-71.411,9.583,,,,
-0.651,-0.092,0.248,-1.709,-65.857,8.423,,,,
-0.662,-0.09,0.23,-1.404,-60.547,7.507,,,,
-0.674,-0.101,0.21,-1.709,-55.603,6.714,,,,
-0.691,-0.095,0.195,-3.113,-50.415,5.554,,,,
-0.705,-0.085,0.204,-4.456,-45.044,4.7,,,,
-0.706,-0.073,0.229,-3.601,-38.818,4.272,,,,
-0.712,-0.057,0.25,-0.427,-33.203,3.662,,,,
-0.714,-0.052,0.275,3.174,-27.832,3.296,,,,
-0.714,-0.05,0.287,5.249,-23.132,3.235,,,,
-0.72,-0.061,0.283,7.019,-19.409,3.174,,,,
-0.723,-0.077,0.275,6.836,-15.747,2.991,,,,
-0.727,-0.093,0.264,5.005,-12.268,2.441,,,,
-0.736,-0.097,0.256,2.258,-9.094,1.831,,,,
-0.743,-0.084,0.284,-0.061,-5.31,0.488,,,,
-0.741,-0.056,0.341,0.122,-0.854,-0.427,,,,
-0.737,-0.027,0.399,2.075,3.052,-0.916,,,,
-0.733,0.001,0.443,3.784,5.798,-0.916,,,,
-0.731,0.023,0.472,5.188,7.263,-0.854,,,,
-0.724,0.031,0.484,5.92,8.301,0.122,,,,
-0.721,0.02,0.478,5.92,8.606,1.221,,,,
-0.718,-0.001,0.458,5.31,8.789,2.197,,,,
-0.715,-0.021,0.433,3.845,9.644,2.747,,,,
-0.714,-0.035,0.399,2.319,10.864,3.052,,,,
-0.715,-0.045,0.367,0.549,12.634,3.052,,,,
-0.71,-0.053,0.339,-0.366,15.198,3.357,,,,
-0.706,-0.061,0.308,-0.488,18.127,3.235,,,,
-0.7,-0.071,0.268,-0.732,21.362,3.052,,,,
-0.693,-0.087,0.24,-2.014,25.146,2.93,,,,
-0.706,-0.104,0.176,-3.662,29.236,2.625,,,,
-0.699,-0.129,0.162,-5.127,34.424,2.136,,,,
-0.677,-0.144,0.159,-7.385,40.894,1.038,,,,
-0.656,-0.159,0.145,-7.69,47.119,-0.488,,,,
-0.65,-0.176,0.127,-6.958,53.345,-2.197,,,,
-0.635,-0.196,0.131,-6.226,60.547,-4.211,,,,
-0.606,-0.204,0.139,-6.592,67.81,-6.287,,,,
-0.59,-0.203,0.157,-8.24,74.707,-8.606,,,,
-0.561,-0.21,0.19,-8.179,81.909,-11.292,,,,
-0.527,-0.201,0.216,-8.179,88.867,-14.343,,,,
-0.495,-0.202,0.25,-8.24,94.849,-17.334,,,,
-0.461,-0.213,0.28,-9.644,100.586,-19.836,,,,
-0.439,-0.218,0.301,-12.634,105.652,-22.888,,,,
-0.443,-0.202,0.371,-14.099,110.962,-26.672,,,,
-0.42,-0.116,0.538,-15.076,117.249,-30.579,,,,
-0.406,-0.014,0.737,-11.902,122.314,-33.447,,,,
-0.371,0.108,0.959,-3.54,125.244,-34.851,,,,
-0.385,0.225,1.187,7.812,125.244,-34.424,,,,
-0.393,0.337,1.418,21.545,122.07,-31.86,,,,
-0.379,0.401,1.58,37.109,115.479,-27.1,,,,
-0.411,0.419,1.694,41.931,104.553,-21.179,,,,
-0.445,0.428,1.768,38.33,90.759,-15.381,,,,
-0.451,0.376,1.793,31.921,76.294,-9.338,,,,
-0.472,0.317,1.783,22.705,61.157,-4.761,,,,
-0.48,0.235,1.732,13.977,46.57,-0.793,,,,
-0.495,0.175,1.664,5.493,33.63,1.892,,,,
-0.504,0.12,1.574,-1.099,22.156,3.296,,,,
-0.509,0.078,1.48,-4.395,12.573,3.784,,,,
-0.511,0.036,1.374,-7.08,4.578,3.967,,,,
-0.519,-0.001,1.273,-9.521,-1.892,3.784,,,,
-0.529,-0.034,1.192,-11.292,-5.92,3.174,,,,
-0.536,-0.041,1.121,-11.414,-8.484,2.136,,,,
-0.536,-0.034,1.066,-10.681,-10.071,0.916,,,,
-0.53,-0.02,1.01,-9.766,-11.536,-0.061,,,,
-0.533,-0.013,0.966,-9.521,-12.634,-0.488,,,,
-0.538,-0.009,0.929,-9.338,-13.306,-0.61,,,,
-0.539,-0.004,0.9,-8.118,-13.55,-0.61,,,,
-0.533,-0.003,0.867,-6.592,-13.367,-0.244,,,,
-0.526,-0.008,0.825,-5.31,-13.489,0,,,,
-0.534,-0.015,0.792,-4.7,-13.245,0.244,,,,
-0.525,-0.013,0.797,-3.662,-11.78,0.366,,,,
-0.513,-0.009,0.802,-2.014,-10.01,0.427,,,,
-0.511,-0.017,0.789,0.488,-9.338,0.183,,,,
-0.508,-0.013,0.782,1.648,-8.667,-0.061,,,,
-0.504,-0.007,0.786,1.404,-8.118,-0.488,,,,
-0.5,0.001,0.79,0.671,-7.69,-0.854,,,,
-0.497,0.013,0.788,0,-7.507,-1.221,,,,
-0.497,0.023,0.78,-1.099,-7.446,-1.343,,,,
-0.5,0.031,0.773,-2.502,-7.263,-1.343,,,,
-0.5,0.046,0.767,-3.967,-6.714,-1.099,,,,
-0.508,0.061,0.789,-3.54,-5.859,-1.038,,,,
-0.504,0.08,0.835,-1.282,-4.272,-0.488,,,,
-0.5,0.09,0.877,2.747,-3.296,0.244,,,,
-0.5,0.082,0.905,7.385,-3.418,1.038,,,,
-0.502,0.067,0.937,9.399,-4.15,1.648,,,,
-0.506,0.059,0.984,9.644,-5.005,2.136,,,,
-0.512,0.069,1.062,10.742,-6.042,2.014,,,,
-0.509,0.086,1.149,13.367,-7.69,1.953,,,,
-0.508,0.104,1.225,16.724,-11.047,2.502,,,,
-0.514,0.112,1.301,19.592,-15.93,3.235,,,,
-0.507,0.111,1.379,20.386,-21.545,4.272,,,,
-0.5,0.108,1.434,20.203,-28.687,5.249,,,,
-0.491,0.092,1.453,19.531,-37.476,5.92,,,,
-0.513,0.094,1.463,17.151,-46.509,6.714,,,,
-0.497,0.086,1.461,15.808,-55.054,7.324,,,,
-0.49,0.072,1.409,12.817,-64.087,8.118,,,,
-0.496,0.044,1.328,7.874,-73.73,8.972,,,,
-0.502,0.028,1.26,2.563,-81.665,9.46,,,,
-0.499,0.013,1.183,-1.953,-87.952,9.766,,,,
-0.513,0.006,1.081,-4.883,-93.567,9.949,,,,
-0.524,0.01,0.995,-6.409,-97.351,9.888,,,,
-0.527,0.018,0.923,-7.935,-99.304,10.132,,,,
-0.543,0.023,0.854,-8.118,-101.013,10.376,,,,
-0.553,0.016,0.793,-7.202,-101.685,11.108,,,,
-0.565,0.009,0.733,-6.531,-101.44,11.658,,,,
-0.572,0.001,0.684,-7.08,-101.135,12.024,,,,
-0.582,-0.013,0.608,-7.446,-100.586,12.573,,,,
-0.594,-0.032,0.544,-7.446,-99.731,12.878,,,,
-0.601,-0.051,0.482,-8.728,-97.534,12.878,,,,
-0.619,-0.062,0.416,-10.437,-95.093,12.695,,,,
-0.633,-0.069,0.359,-11.841,-91.736,12.146,,,,
-0.651,-0.056,0.324,-12.634,-87.524,11.292,,,,
-0.651,-0.041,0.29,-14.587,-82.825,10.864,,,,
-0.667,-0.03,0.236,-15.259,-78.613,10.498,,,,
-0.679,-0.027,0.191,-15.381,-73.914,10.62,,,,
-0.687,-0.023,0.145,-15.808,-68.42,10.742,,,,
-0.694,-0.031,0.086,-16.235,-63.049,11.108,,,,
-0.712,-0.048,0.028,-14.465,-56.885,11.475,,,,
-0.731,-0.061,-0.008,-13.916,-49.927,11.597,,,,
-0.738,-0.058,-0.013,-13.428,-41.992,11.23,,,,
-0.739,-0.042,-0.003,-12.207,-33.691,10.925,,,,
-0.749,-0.03,0.013,-9.949,-25.757,11.047,,,,
-0.756,-0.023,0.042,-5.127,-18.005,10.986,,,,
-0.751,-0.007,0.094,-1.465,-10.498,11.23,,,,
-0.745,-0.001,0.135,3.357,-4.517,11.78,,,,
-0.742,-0.015,0.159,7.751,0.61,12.39,,,,
-0.742,-0.044,0.169,8.85,4.7,13.062,,,,
-0.744,-0.063,0.193,7.385,8.728,13,,,,
-0.742,-0.063,0.244,5.31,12.817,12.39,,,,
-0.737,-0.056,0.3,4.272,16.541,11.841,,,,
-0.736,-0.049,0.355,5.615,19.226,11.475,,,,
-0.733,-0.047,0.427,8.057,21.79,11.414,,,,
-0.72,-0.052,0.486,11.597,23.499,11.719,,,,
-0.717,-0.076,0.512,15.625,23.865,11.658,,,,
-0.712,-0.115,0.517,16.724,23.132,11.658,,,,
-0.71,-0.165,0.503,14.709,22.278,11.108,,,,
-0.716,-0.207,0.478,10.864,21.362,9.644,,,,
-0.722,-0.24,0.446,6.592,20.996,7.324,,,,
-0.723,-0.26,0.422,1.709,21.606,4.822,,,,
-0.724,-0.259,0.404,-3.174,22.888,1.648,,,,
-0.723,-0.243,0.387,-7.141,24.658,-1.465,,,,
-0.719,-0.22,0.362,-9.827,26.855,-4.333,,,,
-0.721,-0.198,0.332,-10.986,29.236,-6.226,,,,
-0.719,-0.185,0.305,-10.681,32.349,-7.874,,,,
-0.711,-0.168,0.277,-10.071,36.072,-9.583,,,,
-0.699,-0.171,0.239,-10.132,40.222,-10.986,,,,
-0.69,-0.185,0.192,-11.292,44.556,-12.39,,,,
-0.674,-0.202,0.146,-13.184,49.805,-14.038,,,,
-0.665,-0.213,0.114,-15.686,55.847,-16.113,,,,
-0.637,-0.206,0.116,-19.958,62.866,-18.616,,,,
-0.612,-0.179,0.131,-25.33,69.946,-21.423,,,,
-0.584,-0.151,0.151,-28.32,77.026,-23.987,,,,
-0.563,-0.138,0.187,-28.87,83.74,-26.306,,,,
-0.532,-0.136,0.25,-28.503,90.942,-28.259,,,,
-0.518,-0.101,0.328,-28.809,97.168,-30.884,,,,
-0.495,-0.04,0.418,-28.137,102.966,-33.752,,,,
-0.47,0.016,0.5,-26.794,106.934,-35.645,,,,
-0.468,0.096,0.631,-27.588,109.863,-36.804,,,,
-0.425,0.162,0.761,-27.039,111.694,-36.682,,,,
-0.429,0.199,0.855,-24.963,111.023,-35.4,,,,
-0.448,0.219,0.913,-19.348,109.131,-33.752,,,,
-0.462,0.248,1.026,-14.587,107.056,-31.982,,,,
-0.472,0.317,1.19,-10.925,104.919,-30.273,,,,
-0.465,0.386,1.376,-5.249,101.013,-27.588,,,,
-0.472,0.439,1.532,0.671,94.055,-23.499,,,,
-0.462,0.439,1.606,7.08,83.74,-18.066,,,,
-0.468,0.388,1.594,9.216,70.435,-12.939,,,,
-0.479,0.305,1.559,6.104,56.946,-8.606,,,,
-0.49,0.232,1.506,0.305,44.556,-6.165,,,,
-0.502,0.165,1.435,-4.883,33.752,-5.066,,,,
-0.516,0.131,1.36,-9.216,25.574,-4.639,,,,
-0.525,0.141,1.3,-12.146,19.531,-5.371,,,,
-0.531,0.171,1.24,-13.428,14.832,-5.859,,,,
-0.543,0.205,1.197,-13.672,11.353,-5.676,,,,
-0.545,0.228,1.165,-11.963,8.789,-4.883,,,,
-0.549,0.235,1.13,-8.484,6.165,-3.479,,,,
-0.549,0.224,1.099,-5.127,3.723,-1.526,,,,
-0.541,0.199,1.07,-2.319,1.709,0.366,,,,
-0.528,0.162,1.032,-0.305,-0.366,2.014,,,,
-0.527,0.123,0.999,0.305,-2.625,3.235,,,,
-0.52,0.096,0.977,-0.122,-4.15,3.601,,,,
-0.516,0.076,0.954,-0.793,-5.188,3.662,,,,
-0.508,0.064,0.925,-0.977,-6.104,3.479,,,,
-0.502,0.052,0.892,-1.099,-6.714,3.052,,,,
-0.506,0.044,0.867,-1.892,-7.324,2.747,,,,
-0.506,0.05,0.849,-2.197,-7.324,2.258,,,,
-0.504,0.061,0.848,-1.77,-6.958,1.526,,,,
-0.504,0.074,0.846,-0.793,-6.653,1.343,,,,
-0.504,0.082,0.838,0.244,-6.714,1.16,,,,
-0.504,0.087,0.832,0.793,-6.775,1.526,,,,
-0.51,0.095,0.835,1.221,-6.714,1.709,,,,
-0.512,0.105,0.856,2.441,-6.226,1.892,,,,
-0.511,0.115,0.892,4.822,-5.493,2.014,,,,
-0.505,0.126,0.92,7.996,-5.371,2.319,,,,
-0.515,0.134,0.951,11.353,-5.737,2.625,,,,
-0.52,0.153,1.002,13.428,-6.531,2.869,,,,
-0.515,0.17,1.071,14.954,-7.751,3.357,,,,
-0.506,0.179,1.109,16.907,-10.132,4.333,,,,
-0.512,0.17,1.135,19.043,-13.794,5.249,,,,
-0.521,0.18,1.183,18.982,-18.005,5.92,,,,
-0.523,0.204,1.248,18.799,-22.095,6.531,,,,
-0.518,0.226,1.292,19.47,-27.222,7.69,,,,
-0.524,0.236,1.302,20.752,-33.447,9.277,,,,
-0.521,0.23,1.308,21.729,-40.405,11.047,,,,
-0.529,0.229,1.329,21.606,-46.997,12.695,,,,
-0.516,0.215,1.32,22.339,-53.711,14.404,,,,
-0.514,0.181,1.277,23.56,-61.035,16.357,,,,
-0.517,0.139,1.231,23.132,-68.054,17.822,,,,
-0.515,0.11,1.188,20.935,-74.219,18.433,,,,
-0.51,0.085,1.129,18.433,-79.59,18.616,,,,
-0.519,0.058,1.046,15.442,-84.9,18.555,,,,
-0.526,0.042,0.976,11.536,-89.172,18.372,,,,
-0.523,0.037,0.92,6.958,-91.675,18.127,,,,
-0.527,0.029,0.846,2.625,-93.689,18.127,,,,
-0.536,0.016,0.757,0,-95.337,18.372,,,,
-0.549,-0.008,0.673,-2.808,-95.947,18.494,,,,
