aX,aY,aZ,gX,gY,gZ,,,,
-0.593,0.096,-0.865,248.047,-83.618,21.606,,,,
-0.578,0.015,-0.939,233.521,-81.726,23.621,,,,
-0.565,-0.052,-0.986,211.121,-79.102,24.109,,,,
-0.54,-0.128,-0.962,186.584,-75.378,24.475,,,,
-0.494,-0.235,-0.896,176.697,-69.885,23.437,,,,
-0.493,-0.329,-0.879,171.692,-67.383,20.447,,,,
-0.509,-0.39,-0.86,165.771,-64.758,15.686,,,,
-0.48,-0.426,-0.82,171.204,-60.974,8.972,,,,
-0.525,-0.336,-0.813,173.462,-58.716,0.916,,,,
-0.59,-0.235,-0.802,178.711,-56.03,-5.676,,,,
-0.612,-0.141,-0.727,191.65,-51.086,-9.827,,,,
-0.613,-0.093,-0.659,203.247,-47.668,-13.123,,,,
-0.646,-0.033,-0.653,205.688,-47.119,-15.93,,,,
-0.669,-0.001,-0.685,199.28,-47.363,-17.517,,,,
-0.682,0.009,-0.689,192.505,-46.753,-18.25,,,,
-0.692,0.01,-0.759,188.904,-47.18,-18.616,,,,
-0.742,0.055,-0.889,172.424,-48.706,-19.592,,,,
-0.736,0.09,-0.936,153.198,-46.875,-18.921,,,,
-0.685,0.082,-0.91,143.616,-43.335,-18.25,,,,
-0.669,0.094,-0.941,144.47,-41.565,-19.104,,,,
-0.713,0.143,-1.056,144.043,-40.649,-20.874,,,,
-0.742,0.192,-1.135,135.62,-36.743,-21.545,,,,
-0.713,0.219,-1.214,119.507,-31.433,-21.24,,,,
-0.726,0.314,-1.29,99.854,-26.978,-21.301,,,,
-0.721,0.385,-1.306,88.44,-19.897,-20.691,,,,
-0.687,0.445,-1.253,88.135,-11.353,-19.409,,,,
-0.703,0.537,-1.265,92.896,-5.493,-18.25,,,,
-0.75,0.637,-1.276,90.271,0.488,-15.625,,,,
-0.733,0.676,-1.251,77.454,7.751,-10.315,,,,
-0.69,0.664,-1.168,62.805,14.343,-4.639,,,,
-0.643,0.606,-1.106,59.204,19.47,0.671,,,,
-0.618,0.556,-1.113,63.599,23.132,4.028,,,,
-0.65,0.569,-1.151,65.857,27.1,5.92,,,,
-0.656,0.558,-1.119,63.965,33.02,8.24,,,,
-0.633,0.525,-1.035,61.34,39.368,10.986,,,,
-0.616,0.502,-0.905,58.044,44.128,12.756,,,,
-0.582,0.482,-0.731,61.951,48.157,14.038,,,,
-0.601,0.505,-0.571,71.96,50.537,14.282,,,,
-0.598,0.521,-0.345,85.083,51.88,14.893,,,,
-0.592,0.498,-0.083,102.6,51.697,16.418,,,,
-0.583,0.484,0.149,118.591,47.119,17.822,,,,
-0.592,0.463,0.365,128.967,39.734,18.86,,,,
-0.576,0.355,0.469,131.714,28.748,21.057,,,,
-0.553,0.237,0.507,118.958,14.404,22.583,,,,
-0.505,0.087,0.538,105.164,0.061,21.912,,,,
-0.492,-0.043,0.557,94.91,-13.794,18.555,,,,
-0.447,-0.159,0.599,89.05,-26.917,12.39,,,,
-0.417,-0.226,0.664,93.201,-39.795,3.418,,,,
-0.427,-0.258,0.646,106.14,-54.321,-8.179,,,,
-0.423,-0.253,0.503,116.028,-71.167,-20.569,,,,
-0.399,-0.183,0.319,116.394,-86.426,-33.936,,,,
-0.379,-0.051,0.044,116.394,-100.22,-46.692,,,,
-1.253,1.932,-1.504,92.529,-108.459,-57.861,,,,
-0.603,3.926,-1.764,-441.772,-6.531,-6.348,,,,
-0.274,-2.292,-1.129,179.016,-14.343,34.119,,,,
-0.773,1.458,3.354,-67.261,81.543,15.32,,,,
-0.85,1.122,-1.06,-3.601,5.798,29.236,,,,
-0.936,0.452,-0.767,-58.35,48.401,35.583,,,,
-0.532,0.54,-0.421,-10.498,24.109,48.279,,,,
-0.799,0.373,-0.583,-20.874,35.95,35.034,,,,
-0.825,0.353,-0.475,13.245,24.109,35.278,,,,
-0.757,0.239,-0.527,16.479,29.419,35.461,,,,
-0.74,0.238,-0.428,22.888,21.057,30.457,,,,
-0.716,0.312,-0.424,30.09,18.188,26.306,,,,
-0.745,0.363,-0.385,28.198,13.611,21.057,,,,
-0.705,0.336,-0.361,31.067,7.019,19.592,,,,
-0.664,0.364,-0.449,25.696,5.188,17.151,,,,
-0.66,0.42,-0.699,31.25,1.343,14.038,,,,
-0.689,0.504,-0.874,30.457,2.563,11.719,,,,
-0.669,0.511,-1.005,27.527,5.676,11.902,,,,
-0.637,0.486,-0.994,20.203,12.573,12.024,,,,
-0.634,0.49,-0.971,17.273,18.738,11.536,,,,
-0.65,0.484,-0.894,18.127,25.696,11.047,,,,
-0.666,0.497,-0.828,15.137,31.372,11.047,,,,
-0.658,0.488,-0.734,9.277,36.194,11.902,,,,
-0.662,0.497,-0.653,5.432,39.368,12.207,,,,
-0.667,0.494,-0.559,5.798,41.382,12.756,,,,
-0.672,0.469,-0.485,10.254,42.053,13.428,,,,
-0.671,0.426,-0.416,17.395,41.809,13.611,,,,
-0.666,0.387,-0.37,25.574,41.016,13.184,,,,
-0.679,0.367,-0.343,31.433,39.673,12.146,,,,
-0.694,0.341,-0.303,31.372,38.208,11.597,,,,
-0.687,0.278,-0.243,28.992,36.682,11.414,,,,
-0.665,0.207,-0.172,23.499,34.485,10.254,,,,
-0.654,0.177,-0.07,18.066,32.104,7.629,,,,
-0.646,0.143,0.039,17.09,28.992,4.7,,,,
-0.623,0.099,0.155,22.705,25.024,1.16,,,,
-0.619,0.078,0.251,32.349,19.531,-3.235,,,,
-0.611,0.028,0.294,44.128,12.207,-7.446,,,,
-0.61,-0.001,0.304,51.819,3.845,-12.756,,,,
-0.596,-0.038,0.307,56.03,-4.211,-18.677,,,,
-0.595,-0.063,0.312,57.983,-11.536,-25.024,,,,
-0.591,-0.093,0.321,59.143,-19.47,-31.799,,,,
-0.575,-0.114,0.331,62.073,-27.527,-39.612,,,,
-0.562,-0.102,0.302,65.796,-36.316,-48.279,,,,
-0.563,-0.015,0.201,67.749,-46.082,-57.922,,,,
-0.567,0.098,0.1,72.998,-54.26,-67.078,,,,
