aX,aY,aZ,gX,gY,gZ,
-0.84,0.202,0.304,3.967,9.827,-1.831,
-0.832,0.238,0.377,4.7,4.578,1.038,
-0.819,0.28,0.446,4.456,-1.587,4.211,
-0.807,0.317,0.51,4.395,-8.301,7.874,
-0.796,0.366,0.582,5.737,-15.686,11.719,
-0.783,0.422,0.656,6.348,-24.231,15.808,
-0.765,0.488,0.716,5.92,-34.119,20.569,
-0.763,0.579,0.765,5.127,-44.922,25.879,
-0.756,0.662,0.813,4.517,-56.396,32.715,
-0.733,0.748,0.861,3.052,-68.604,40.894,
-0.715,0.828,0.895,1.038,-81.604,50.537,
-0.684,0.884,0.908,-3.723,-95.398,61.523,
-0.612,0.921,0.881,-11.536,-110.291,73.914,
-0.522,0.855,0.759,-14.893,-125.793,88.135,
-0.429,0.677,0.521,-12.878,-140.808,102.905,
-0.204,-1.073,-0.334,193.909,-41.382,30.701,
-0.893,1.045,-0.288,-462.036,-24.536,21.24,
-1,-0.878,-1.448,-262.878,34.363,-25.513,
-1.376,0.156,-0.877,-66.589,17.273,8.911,
-1,-0.753,0.065,-86.182,13.428,13.184,
-1.119,-0.552,-0.038,-17.456,18.555,16.602,
-1.028,-0.441,-0.107,8.362,7.69,11.047,
-1.046,-0.263,-0.261,39.001,6.958,6.775,
-1,-0.295,-0.23,33.936,-1.892,7.629,
-1.003,-0.176,-0.289,39.185,-5.066,7.324,
-0.981,-0.161,-0.282,32.776,-10.62,9.644,
-0.956,-0.132,-0.344,31.616,-13.123,11.963,
-0.905,-0.149,-0.351,29.907,-16.052,15.137,
-0.885,-0.189,-0.357,28.137,-17.151,16.479,
-0.85,-0.303,-0.411,23.132,-18.86,17.395,
-0.817,-0.513,-0.615,16.541,-19.287,16.479,
-0.796,-0.709,-0.832,11.597,-17.273,12.634,
-0.779,-0.812,-0.966,3.845,-12.207,5.554,
-0.78,-0.81,-1.02,-5.737,-6.042,-2.686,
-0.797,-0.73,-1.019,-15.076,0.916,-10.62,
-0.821,-0.602,-0.969,-20.508,8.362,-17.578,
-0.847,-0.476,-0.878,-23.682,15.564,-22.461,
-0.862,-0.372,-0.787,-22.156,21.667,-25.391,
-0.867,-0.308,-0.704,-15.747,27.039,-26.672,
-0.88,-0.279,-0.648,-7.507,31.25,-27.466,
-0.892,-0.278,-0.621,0.549,34.119,-27.649,
-0.906,-0.275,-0.616,6.47,36.804,-28.198,
-0.922,-0.27,-0.61,9.644,39.124,-28.564,
-0.937,-0.254,-0.585,9.216,41.565,-28.748,
-0.94,-0.242,-0.544,5.859,43.396,-28.503,
-0.946,-0.214,-0.482,1.892,44.678,-28.137,
-0.945,-0.192,-0.416,-0.793,45.776,-27.344,
-0.949,-0.165,-0.364,-3.113,45.349,-26.489,
-0.953,-0.133,-0.309,-3.662,44.678,-25.574,
-0.947,-0.11,-0.239,-3.723,44.067,-24.17,
-0.933,-0.091,-0.156,-5.249,43.03,-22.766,
-0.916,-0.057,-0.077,-6.042,40.894,-21.179,
-0.911,-0.021,-0.013,-4.333,38.208,-20.142,
-0.909,0.003,0.028,-0.916,34.79,-18.799,
-0.911,0.035,0.073,2.014,31.494,-17.273,
-0.898,0.059,0.127,4.15,28.32,-15.015,
-0.887,0.088,0.182,5.981,24.353,-13,
-0.88,0.12,0.229,7.446,19.592,-10.803,
-0.877,0.152,0.271,8.667,14.404,-8.301,
-0.873,0.177,0.314,8.972,8.789,-5.676,
-0.861,0.187,0.339,10.01,2.319,-2.625,
-0.854,0.189,0.354,10.864,-4.395,0.916,
-0.845,0.19,0.356,11.169,-11.047,4.15,
-0.825,0.193,0.352,11.169,-17.883,7.568,
-0.811,0.197,0.349,12.512,-24.719,10.498,
-0.797,0.203,0.345,14.16,-31.494,13.489,
-0.789,0.223,0.341,14.648,-38.391,16.296,
-0.785,0.256,0.36,13.977,-45.166,19.104,
-0.789,0.312,0.391,11.902,-51.758,22.278,
-0.79,0.377,0.416,9.399,-59.143,26.428,
-0.779,0.422,0.417,8.545,-67.688,31.86,
-0.761,0.434,0.388,11.047,-77.271,39.063,
-0.742,0.422,0.341,15.259,-86.304,46.753,
-0.718,0.391,0.295,18.066,-95.093,54.443,
-0.682,0.358,0.252,18.005,-103.516,61.768,
-0.626,0.311,0.186,17.029,-112.061,69.092,
-0.573,-0.976,-0.605,61.157,-66.65,16.174,
