aX,aY,aZ,gX,gY,gZ,
-0.375,0.964,0.7,-17.029,-3.845,-57.861,
-0.383,0.958,0.704,-15.686,-2.136,-49.561,
-0.386,0.941,0.724,-12.634,-0.061,-41.626,
-0.38,0.895,0.75,-8.606,2.136,-34.119,
-0.384,0.832,0.767,-5.127,3.906,-27.222,
-0.381,0.776,0.779,-1.221,4.761,-21.667,
-0.382,0.722,0.801,2.502,6.042,-16.724,
-0.38,0.665,0.826,5.249,6.836,-12.695,
-0.377,0.62,0.85,6.47,7.202,-9.705,
-0.376,0.584,0.866,5.188,7.019,-7.324,
-0.375,0.559,0.877,2.686,6.042,-5.615,
-0.374,0.551,0.884,0.427,5.005,-3.906,
-0.376,0.541,0.881,-1.221,3.967,-2.38,
-0.38,0.533,0.882,-2.075,3.174,-0.549,
-0.382,0.527,0.892,-1.892,2.502,1.343,
-0.38,0.519,0.904,-0.366,2.441,2.808,
-0.372,0.507,0.922,1.16,2.258,4.272,
-0.371,0.498,0.932,2.625,1.404,5.92,
-0.371,0.483,0.943,5.249,0.183,7.202,
-0.364,0.465,0.958,6.287,-0.916,8.423,
-0.364,0.444,0.963,5.737,-2.686,9.338,
-0.367,0.438,0.965,5.249,-4.456,9.888,
-0.368,0.441,0.977,4.272,-5.92,10.315,
-0.372,0.455,0.988,3.845,-7.446,10.864,
-0.375,0.473,1,5.127,-8.911,11.047,
-0.37,0.488,1.016,5.005,-10.62,12.085,
-0.379,0.496,1.016,5.066,-13.184,13.367,
-0.381,0.507,1.021,4.761,-15.869,14.648,
-0.383,0.522,1.022,4.639,-18.433,16.296,
-0.386,0.543,1.027,4.211,-20.752,17.944,
-0.386,0.555,1.033,4.211,-23.132,19.958,
-0.387,0.559,1.044,5.371,-25.33,22.339,
-0.393,0.562,1.057,7.202,-27.649,24.536,
-0.388,0.568,1.074,8.667,-29.968,26.672,
-0.386,0.563,1.072,9.338,-33.081,29.114,
-0.393,0.552,1.057,9.094,-36.743,31.677,
-0.397,0.543,1.045,8.484,-40.1,33.936,
-0.402,0.53,1.032,7.324,-42.786,36.011,
-0.405,0.519,1.016,6.409,-45.471,38.147,
-0.41,0.507,1.003,5.554,-47.974,40.222,
-0.411,0.49,0.988,4.272,-50.354,42.358,
-0.415,0.468,0.968,3.235,-52.612,44.434,
-0.42,0.451,0.953,3.296,-54.871,45.959,
-0.423,0.436,0.943,4.272,-56.58,47.241,
-0.422,0.414,0.917,6.042,-58.167,48.584,
-0.423,0.39,0.885,6.592,-59.998,49.683,
-0.428,0.364,0.851,4.822,-61.646,50.781,
-0.444,0.343,0.826,2.502,-62.866,51.636,
-0.444,0.328,0.797,1.282,-63.477,52.185,
-0.456,0.311,0.759,1.282,-63.965,52.673,
-0.458,0.283,0.721,1.099,-63.782,53.284,
-0.467,0.24,0.671,0,-63.782,53.833,
-0.481,0.198,0.63,-2.197,-63.599,54.077,
-0.494,0.172,0.599,-4.028,-62.134,53.406,
-0.501,0.145,0.57,-5.249,-60.242,52.551,
-0.509,0.108,0.521,-6.653,-58.899,51.819,
-0.521,0.062,0.483,-8.789,-57.068,50.903,
-0.539,0.031,0.457,-10.254,-54.504,49.255,
-0.552,0.003,0.432,-10.254,-51.392,47.18,
-0.557,-0.011,0.416,-8.606,-47.729,44.434,
-0.563,-0.024,0.388,-6.47,-44.495,41.748,
-0.58,-0.037,0.359,-6.47,-41.26,38.94,
-0.596,-0.048,0.345,-5.249,-37.537,36.255,
-0.608,-0.055,0.341,-3.601,-33.02,33.386,
-0.614,-0.063,0.339,-0.61,-28.625,30.579,
-0.625,-0.071,0.34,2.38,-24.414,27.649,
-0.63,-0.079,0.345,4.028,-20.63,24.719,
-0.635,-0.089,0.343,3.54,-17.029,21.973,
-0.642,-0.096,0.343,2.319,-14.16,18.921,
-0.646,-0.088,0.353,1.709,-11.108,15.503,
-0.648,-0.073,0.371,2.319,-8.057,12.268,
-0.648,-0.066,0.387,3.845,-4.944,9.46,
-0.65,-0.056,0.401,4.7,-2.38,6.592,
-0.654,-0.042,0.414,4.272,-0.061,3.845,
-0.655,-0.018,0.431,3.845,2.075,1.282,
-0.657,0.008,0.447,3.601,3.967,-0.977,
-0.661,0.035,0.461,3.479,5.92,-2.808,
-0.663,0.068,0.488,4.333,7.812,-4.517,
-0.66,0.097,0.511,6.042,9.766,-5.676,
-0.664,0.122,0.53,7.568,11.169,-6.348,
-0.661,0.14,0.539,7.568,11.963,-6.714,
-0.661,0.146,0.539,6.531,12.39,-6.775,
-0.66,0.15,0.544,4.517,13.062,-6.958,
-0.661,0.151,0.545,3.479,13.855,-7.263,
-0.663,0.163,0.549,3.052,14.893,-7.935,
-0.662,0.177,0.554,2.441,16.296,-8.362,
-0.661,0.199,0.565,2.625,17.7,-8.667,
-0.662,0.221,0.575,3.479,19.043,-8.606,
-0.66,0.235,0.581,3.052,20.142,-8.057,
-0.658,0.238,0.57,1.892,20.813,-7.446,
-0.658,0.234,0.561,0.061,21.667,-6.775,
-0.657,0.233,0.549,-2.258,22.705,-6.348,
-0.653,0.231,0.532,-4.517,23.926,-6.042,
-0.651,0.234,0.504,-6.592,25.269,-5.798,
-0.647,0.235,0.473,-8.545,26.978,-5.493,
-0.641,0.241,0.437,-10.803,29.114,-5.371,
-0.634,0.249,0.402,-13.245,31.799,-4.944,
-0.629,0.268,0.368,-15.198,35.034,-4.456,
-0.617,0.291,0.34,-15.93,38.94,-3.967,
-0.605,0.31,0.316,-15.32,43.457,-3.052,
-0.59,0.318,0.296,-14.16,48.401,-1.587,
-0.573,0.319,0.272,-12.939,53.162,-0.183,
-0.555,0.316,0.257,-12.878,58.105,1.648,
-0.534,0.304,0.238,-12.756,63.416,3.418,
-0.513,0.287,0.222,-13.184,68.848,5.127,
-0.496,0.271,0.209,-12.817,74.219,6.531,
-0.465,0.268,0.213,-10.01,80.627,7.202,
-0.431,0.249,0.251,-7.263,87.524,8.362,
-0.424,0.258,0.304,-2.441,94.238,8.972,
-0.39,0.285,0.381,4.7,100.952,9.155,
-0.361,0.298,0.459,11.292,106.445,10.315,
-0.346,0.296,0.552,16.785,110.718,12.146,
-0.316,0.271,0.661,21.118,113.953,14.221,
-0.287,0.206,0.766,25.818,115.662,16.296,
-0.27,0.128,0.893,28.564,116.211,17.578,
-0.264,0.059,1.035,31.799,115.662,17.517,
-0.229,0.029,1.145,35.767,113.525,15.137,
-0.242,-0.031,1.272,33.691,109.68,13.184,
-0.242,-0.033,1.391,31.067,104.126,9.399,
-0.244,-0.02,1.48,27.71,97.046,5.981,
-0.252,-0.002,1.535,23.132,88.013,2.747,
-0.257,0.033,1.575,16.785,78.369,-0.183,
-0.268,0.072,1.596,9.583,68.604,-2.197,
-0.281,0.111,1.589,3.967,58.838,-3.784,
-0.294,0.154,1.581,0.061,49.927,-4.822,
-0.299,0.196,1.569,-2.38,41.931,-5.432,
-0.301,0.223,1.544,-4.639,34.424,-5.371,
-0.304,0.251,1.508,-7.935,26.733,-4.761,
-0.312,0.272,1.472,-9.766,19.775,-3.662,
-0.308,0.281,1.429,-11.23,13.794,-2.136,
-0.31,0.271,1.385,-11.658,8.667,-0.549,
-0.31,0.258,1.336,-11.597,4.028,1.282,
-0.31,0.238,1.291,-10.925,-0.183,2.441,
-0.31,0.219,1.253,-10.315,-3.479,3.418,
-0.304,0.193,1.214,-9.216,-6.226,4.395,
-0.306,0.168,1.172,-7.935,-8.545,5.127,
-0.301,0.142,1.133,-7.385,-10.986,5.31,
-0.297,0.112,1.095,-7.263,-12.817,5.249,
-0.292,0.09,1.053,-6.958,-14.404,4.7,
-0.293,0.067,1.021,-5.92,-15.564,3.906,
-0.286,0.051,0.999,-5.188,-16.174,2.93,
-0.282,0.032,0.972,-4.7,-16.602,1.587,
-0.282,0.004,0.957,-3.784,-17.09,0,
-0.281,-0.022,0.952,-3.113,-17.395,-1.648,
-0.276,-0.063,0.947,-2.563,-17.456,-3.479,
-0.275,-0.103,0.937,-3.235,-18.005,-5.737,
-0.269,-0.131,0.926,-4.883,-18.799,-8.24,
-0.266,-0.145,0.912,-6.592,-19.714,-11.841,
-0.27,-0.142,0.9,-7.141,-20.386,-15.869,
-0.268,-0.129,0.886,-6.653,-20.691,-20.203,
-0.269,-0.109,0.874,-6.165,-20.874,-24.231,
-0.272,-0.092,0.858,-5.554,-20.813,-27.954,
-0.269,-0.078,0.851,-5.127,-20.813,-31.067,
-0.272,-0.066,0.846,-4.517,-20.447,-34.119,
-0.274,-0.05,0.845,-2.869,-20.02,-37.292,
-0.269,-0.037,0.845,-1.709,-19.592,-40.161,
-0.267,-0.033,0.84,-1.16,-19.104,-42.786,
-0.263,-0.047,0.84,-1.404,-18.921,-45.105,
-0.268,-0.051,0.839,-2.319,-18.738,-47.852,
-0.269,-0.024,0.846,-2.502,-18.25,-51.453,
-0.275,0.005,0.849,-1.709,-17.7,-54.81,
-0.263,0.027,0.856,-1.831,-17.395,-57.129,
-0.265,0.023,0.866,-2.38,-17.334,-59.021,
-0.26,0.031,0.874,-2.625,-17.334,-61.523,
-0.262,0.062,0.875,-3.235,-17.578,-64.392,
-0.265,0.104,0.871,-4.456,-18.127,-67.017,
-0.27,0.16,0.875,-5.92,-18.738,-69.214,
-0.275,0.228,0.873,-7.69,-19.287,-70.801,
-0.276,0.286,0.871,-8.972,-19.653,-71.167,
-0.286,0.333,0.868,-9.216,-20.264,-70.862,
-0.293,0.371,0.861,-7.629,-20.63,-69.946,
-0.302,0.421,0.858,-6.409,-20.752,-68.909,
-0.307,0.477,0.855,-5.859,-20.874,-67.566,
-0.319,0.531,0.843,-5.798,-21.362,-65.613,
-0.326,0.574,0.829,-7.019,-21.79,-62.866,
-0.341,0.62,0.819,-8.301,-22.217,-59.57,
-0.355,0.669,0.802,-7.935,-22.217,-55.786,
-0.362,0.707,0.799,-5.493,-21.362,-51.88,
-0.364,0.733,0.792,-4.15,-20.63,-47.302,
-0.373,0.746,0.777,-3.113,-20.02,-42.297,
-0.381,0.755,0.772,-2.014,-19.165,-37.598,
-0.383,0.757,0.777,-1.465,-18.127,-32.532,
-0.39,0.753,0.772,0,-17.334,-27.527,
-0.391,0.75,0.763,2.075,-16.418,-23.071,
-0.399,0.75,0.752,3.296,-15.564,-18.799,
-0.399,0.736,0.742,3.174,-14.709,-14.221,
-0.4,0.706,0.731,3.113,-13.916,-9.46,
-0.404,0.672,0.719,2.747,-12.817,-5.493,
-0.406,0.628,0.722,3.113,-11.353,-1.587,
-0.402,0.57,0.736,4.456,-9.521,1.831,
-0.399,0.513,0.752,6.592,-7.874,4.456,
-0.393,0.462,0.776,7.874,-6.714,6.226,
-0.385,0.415,0.79,7.996,-6.287,7.019,
-0.381,0.381,0.8,6.165,-6.531,7.324,
-0.387,0.366,0.798,3.601,-6.958,7.019,
-0.386,0.364,0.802,1.038,-7.385,6.653,
-0.388,0.377,0.8,-0.366,-7.507,6.104,
-0.396,0.403,0.805,0.244,-7.08,5.676,
-0.394,0.435,0.824,1.77,-6.165,5.92,
-0.391,0.454,0.841,3.174,-5.737,7.019,
-0.394,0.468,0.859,3.662,-5.981,8.545,
-0.398,0.475,0.888,3.784,-6.714,10.01,
-0.391,0.48,0.925,3.723,-7.141,12.085,
-0.387,0.474,0.95,3.479,-8.057,14.099,
-0.39,0.47,0.966,3.662,-9.827,15.93,
-0.394,0.482,0.991,3.784,-11.597,17.517,
-0.399,0.51,1.017,4.089,-13.306,18.921,
-0.404,0.549,1.052,5.554,-15.137,20.447,
-0.401,0.58,1.089,6.897,-17.151,23.01,
-0.401,0.6,1.115,8.728,-20.02,26.001,
-0.399,0.597,1.126,8.301,-23.926,29.785,
-0.399,0.58,1.116,6.409,-28.564,33.63,
-0.405,0.551,1.095,4.333,-33.02,37.231,
-0.412,0.521,1.074,1.587,-36.682,40.344,
-0.413,0.494,1.053,0.366,-39.429,43.152,
-0.42,0.466,1.031,0.305,-41.992,45.471,
-0.421,0.441,1.011,2.014,-44.189,47.424,
-0.423,0.417,0.988,3.54,-46.326,49.255,
-0.43,0.406,0.97,3.418,-48.096,50.476,
-0.437,0.398,0.948,2.93,-49.744,51.514,
-0.442,0.394,0.923,2.808,-51.453,52.856,
-0.443,0.373,0.894,2.991,-52.795,54.382,
-0.448,0.342,0.867,2.869,-53.894,56.091,
-0.445,0.307,0.841,2.808,-54.443,57.617,
-0.45,0.258,0.808,3.052,-55.054,58.533,
-0.46,0.221,0.789,3.052,-55.176,58.838,
-0.462,0.193,0.771,2.991,-54.81,58.533,
-0.474,0.151,0.741,3.235,-54.749,58.167,
-0.481,0.105,0.719,1.831,-54.81,57.678,
-0.486,0.068,0.698,0.244,-54.382,56.458,
-0.491,0.046,0.67,-1.526,-53.955,54.382,
-0.496,0.017,0.632,-4.395,-53.589,52.368,
-0.509,-0.01,0.585,-8.667,-53.284,50.598,
-0.533,-0.021,0.553,-12.207,-52.246,48.279,
-0.543,-0.016,0.536,-12.878,-50.11,45.532,
-0.553,-0.012,0.506,-12.146,-47.363,42.969,
-0.562,-0.001,0.494,-10.925,-44.617,40.588,
-0.572,-0.004,0.464,-9.155,-41.565,38.818,
-0.582,0,0.444,-7.935,-38.757,36.926,
-0.59,0.003,0.432,-6.47,-35.645,35.156,
-0.597,-0.002,0.417,-4.883,-32.349,33.691,
-0.606,-0.01,0.404,-2.93,-28.931,32.166,
-0.611,-0.027,0.396,-2.197,-25.635,30.273,
-0.612,-0.043,0.378,-1.648,-22.644,28.564,
-0.616,-0.066,0.354,-2.014,-19.714,26.611,
-0.632,-0.082,0.336,-4.578,-16.785,24.536,
-0.63,-0.09,0.317,-6.958,-13.367,22.156,
-0.639,-0.085,0.313,-7.202,-9.766,19.47,
-0.639,-0.066,0.325,-5.432,-5.676,16.541,
-0.638,-0.057,0.331,-2.563,-1.343,14.16,
-0.643,-0.047,0.342,0.488,2.93,11.78,
-0.637,-0.03,0.365,2.441,6.897,9.399,
-0.633,-0.02,0.378,3.174,10.193,7.568,
-0.634,-0.002,0.395,3.784,13.245,5.859,
-0.633,0.016,0.41,3.906,16.052,3.967,
-0.633,0.035,0.426,3.845,18.555,2.625,
-0.632,0.05,0.432,3.601,20.813,1.526,
-0.632,0.058,0.438,2.502,22.888,0.916,
-0.629,0.068,0.442,0.244,25.024,0.305,
-0.629,0.084,0.447,-1.221,27.039,-0.244,
-0.627,0.107,0.451,-1.831,29.297,-0.977,
-0.632,0.139,0.467,-1.343,31.86,-1.587,
-0.626,0.174,0.488,0.061,34.912,-1.709,
-0.617,0.199,0.5,0.366,37.537,-1.16,
-0.615,0.213,0.5,-0.488,39.49,-0.244,
-0.608,0.231,0.502,-2.319,41.504,0.732,
-0.606,0.245,0.501,-4.944,43.274,2.075,
-0.602,0.263,0.499,-7.263,45.349,3.296,
-0.592,0.283,0.492,-8.911,47.852,4.639,
-0.592,0.302,0.482,-10.254,50.598,6.287,
-0.593,0.334,0.5,-9.644,54.016,8.057,
-0.58,0.363,0.541,-6.958,58.472,10.193,
-0.565,0.372,0.58,-2.563,62.317,13,
-0.546,0.353,0.62,2.014,65.43,16.479,
-0.52,0.322,0.652,3.54,67.505,19.47,
-0.508,0.274,0.668,1.404,68.298,22.278,
-0.5,0.219,0.68,-2.93,68.481,24.658,
-0.487,0.171,0.702,-6.653,68.726,25.818,
-0.476,0.129,0.717,-9.399,69.519,26.001,
-0.465,0.102,0.733,-10.559,70.251,25.696,
-0.453,0.087,0.753,-10.986,71.106,24.902,
-0.451,0.093,0.793,-10.986,71.96,23.987,
-0.449,0.136,0.854,-6.348,73.303,22.4,
-0.434,0.166,0.927,2.136,74.707,21.545,
-0.426,0.162,1,11.169,74.707,22.461,
-0.41,0.12,1.062,20.203,73.547,23.56,
-0.393,0.075,1.124,25.635,70.923,24.048,
-0.384,0.016,1.176,27.588,67.2,23.926,
-0.369,-0.029,1.217,24.719,61.829,23.254,
-0.374,-0.072,1.241,17.944,56.152,21.912,
-0.375,-0.1,1.267,10.925,50.171,19.714,
-0.373,-0.115,1.294,3.784,44.617,17.395,
-0.371,-0.117,1.316,-0.732,39.001,14.465,
-0.373,-0.109,1.335,-3.174,33.63,11.475,
-0.37,-0.105,1.339,-4.761,28.015,8.972,
-0.368,-0.097,1.321,-5.249,22.034,6.226,
-0.378,-0.09,1.3,-6.714,16.418,3.784,
-0.373,-0.07,1.28,-8.24,11.169,1.526,
-0.372,-0.054,1.253,-9.888,6.836,-0.732,
-0.374,-0.034,1.209,-10.498,2.563,-2.441,
-0.378,-0.022,1.167,-10.986,-1.221,-3.723,
-0.379,-0.018,1.135,-12.39,-4.211,-4.578,
-0.375,-0.018,1.092,-12.756,-6.409,-5.066,
-0.375,-0.029,1.054,-12.512,-8.301,-5.737,
-0.375,-0.045,1.025,-11.78,-9.583,-6.287,
-0.367,-0.081,1.007,-10.986,-10.071,-6.836,
-0.362,-0.117,0.994,-10.376,-10.681,-8.301,
-0.358,-0.152,0.97,-9.827,-11.353,-10.498,
-0.358,-0.184,0.949,-10.254,-12.39,-13.245,
-0.355,-0.214,0.937,-10.986,-13.062,-16.296,
-0.354,-0.224,0.915,-10.803,-13.611,-20.081,
-0.348,-0.222,0.891,-10.071,-14.16,-24.048,
-0.345,-0.226,0.869,-9.46,-14.465,-27.832,
-0.344,-0.22,0.859,-8.423,-14.099,-31.921,
-0.335,-0.215,0.851,-7.141,-13.367,-35.95,
-0.324,-0.228,0.844,-6.47,-12.878,-39.429,
-0.322,-0.229,0.837,-6.531,-12.756,-43.518,
-0.32,-0.219,0.831,-6.226,-12.573,-47.791,
-0.32,-0.186,0.829,-5.005,-12.39,-52.49,
-0.304,-0.15,0.828,-3.357,-11.78,-56.885,
-0.308,-0.12,0.821,-2.808,-11.658,-60.425,
-0.314,-0.065,0.821,-1.526,-11.597,-64.026,
-0.313,0.006,0.83,0.488,-10.864,-67.2,
-0.318,0.089,0.837,3.723,-10.254,-69.641,
-0.322,0.168,0.859,8.484,-9.583,-70.679,
-0.323,0.229,0.881,11.658,-8.972,-70.74,
-0.319,0.249,0.89,11.23,-9.277,-69.336,
-0.319,0.215,0.901,7.263,-10.193,-66.956,
-0.324,0.184,0.899,3.601,-11.475,-65.918,
-0.322,0.179,0.891,-0.366,-12.573,-65.979,
-0.321,0.192,0.878,-3.845,-13.672,-66.711,
-0.333,0.214,0.868,-7.568,-14.648,-67.505,
-0.342,0.27,0.865,-7.935,-15.076,-68.42,
-0.355,0.351,0.873,-5.432,-14.709,-69.153,
-0.366,0.438,0.882,-0.732,-14.16,-68.726,
-0.378,0.508,0.886,3.601,-14.099,-66.467,
-0.389,0.565,0.886,5.676,-14.648,-63.293,
-0.399,0.612,0.879,5.615,-15.564,-59.631,
-0.41,0.649,0.863,3.784,-16.541,-55.42,
-0.421,0.667,0.843,1.465,-17.578,-50.415,
-0.428,0.681,0.823,-1.038,-18.066,-45.288,
-0.442,0.686,0.797,-1.892,-18.25,-40.1,
-0.455,0.711,0.782,-0.854,-17.517,-35.706,
-0.461,0.737,0.767,1.16,-16.357,-31.067,
-0.463,0.758,0.749,3.296,-15.137,-25.757,
-0.467,0.737,0.74,4.761,-13.733,-19.897,
-0.47,0.7,0.734,5.432,-12.39,-14.16,
-0.469,0.65,0.727,6.653,-11.047,-8.972,
-0.467,0.601,0.72,7.568,-9.766,-5.432,
-0.469,0.555,0.72,8.24,-8.484,-2.075,
-0.466,0.519,0.726,9.399,-7.202,0.61,
-0.462,0.488,0.735,10.254,-5.859,2.686,
-0.466,0.474,0.747,11.658,-4.7,4.15,
-0.464,0.47,0.768,12.268,-3.723,5.798,
-0.464,0.473,0.794,12.756,-2.625,6.958,
-0.46,0.477,0.823,12.085,-2.136,8.606,
-0.461,0.492,0.848,12.085,-2.441,10.254,
-0.457,0.507,0.87,12.085,-2.93,12.268,
-0.456,0.518,0.892,11.658,-3.723,14.587,
-0.455,0.513,0.918,10.62,-4.639,17.639,
-0.461,0.517,0.944,9.888,-5.737,20.264,
-0.459,0.532,0.976,9.827,-7.08,22.827,
-0.459,0.543,1.008,10.254,-8.484,25.635,
-0.453,0.543,1.039,10.742,-10.559,28.992,
-0.452,0.534,1.062,11.047,-13.306,32.593,
-0.45,0.527,1.086,10.376,-16.357,35.889,
-0.444,0.515,1.1,9.094,-19.775,39.001,
-0.444,0.491,1.107,6.958,-23.682,42.664,
-0.439,0.454,1.098,4.028,-27.466,45.837,
-0.441,0.418,1.081,1.282,-31.433,48.767,
-0.443,0.384,1.06,-1.038,-34.973,51.025,
-0.443,0.35,1.038,-3.235,-37.903,53.101,
-0.447,0.303,1.007,-5.005,-40.344,54.871,
-0.453,0.255,0.992,-6.165,-42.419,56.396,
-0.455,0.219,0.988,-6.409,-43.762,57.007,
-0.458,0.191,0.978,-5.92,-45.105,56.946,
-0.457,0.155,0.96,-5.92,-46.753,56.946,
-0.459,0.109,0.945,-7.019,-48.523,56.885,
-0.463,0.052,0.932,-7.751,-50.232,56.213,
-0.465,0.01,0.905,-7.812,-51.575,54.688,
-0.476,-0.015,0.88,-7.568,-52.856,52.551,
-0.479,-0.038,0.853,-7.263,-53.65,50.11,
-0.492,-0.05,0.832,-7.996,-54.443,47.729,
-0.498,-0.033,0.816,-6.958,-54.749,44.861,
-0.505,-0.013,0.793,-5.92,-54.871,42.419,
-0.517,-0.009,0.76,-6.104,-55.42,40.588,
-0.512,-0.01,0.725,-7.629,-55.664,39.124,
-0.528,-0.008,0.694,-10.01,-56.03,37.659,
-0.531,-0.008,0.654,-12.207,-55.847,36.499,
-0.548,-0.02,0.615,-13.123,-54.993,35.339,
-0.556,-0.02,0.581,-12.573,-53.589,34.058,
-0.571,-0.012,0.565,-10.132,-51.331,32.349,
-0.574,-0.021,0.541,-7.629,-48.828,31.189,
-0.583,-0.04,0.512,-6.409,-46.631,30.151,
-0.589,-0.058,0.481,-6.714,-44.617,29.236,
-0.6,-0.08,0.451,-8.118,-42.419,27.527,
-0.604,-0.092,0.424,-10.376,-39.917,25.635,
-0.61,-0.096,0.396,-11.475,-36.926,23.926,
-0.617,-0.102,0.356,-11.841,-33.875,21.912,
-0.623,-0.105,0.326,-12.268,-30.396,19.775,
-0.639,-0.106,0.292,-12.146,-26.55,17.7,
-0.639,-0.107,0.261,-11.23,-22.339,15.381,
-0.649,-0.102,0.243,-13.123,-17.761,13.123,
-0.655,-0.095,0.231,-11.902,-12.573,10.986,
-0.656,-0.086,0.234,-10.437,-7.69,8.85,
-0.658,-0.074,0.235,-7.812,-2.625,6.836,
-0.659,-0.052,0.235,-5.066,2.197,4.883,
-0.66,-0.029,0.24,-3.296,7.141,2.869,
-0.658,-0.009,0.247,-2.747,11.475,1.465,
-0.657,0.004,0.252,-2.197,15.564,0.366,
-0.653,0.018,0.261,-2.075,19.958,-0.671,
-0.651,0.034,0.272,-1.953,24.048,-1.648,
-0.645,0.053,0.285,-2.625,28.259,-2.197,
-0.639,0.07,0.29,-3.601,32.043,-2.808,
-0.634,0.079,0.288,-4.944,35.522,-2.808,
-0.632,0.089,0.295,-5.92,39.429,-3.052,
-0.621,0.11,0.315,-6.836,43.701,-3.357,
-0.611,0.135,0.332,-6.104,47.974,-3.54,
-0.611,0.168,0.352,-3.906,52.307,-3.479,
-0.599,0.197,0.388,-1.587,56.702,-3.113,
-0.582,0.221,0.417,-0.305,60.73,-2.136,
-0.573,0.235,0.433,-0.122,63.66,-0.854,
-0.554,0.251,0.448,-1.77,66.345,0.732,
-0.542,0.26,0.456,-3.54,68.665,2.502,
-0.538,0.277,0.473,-5.615,71.594,4.089,
-0.527,0.284,0.496,-6.531,74.768,6.042,
-0.513,0.298,0.53,-6.775,78.186,7.874,
-0.511,0.326,0.593,-4.456,82.214,9.338,
-0.486,0.348,0.665,-0.793,85.754,11.414,
-0.457,0.325,0.714,0.977,87.769,14.648,
-0.452,0.301,0.76,0.366,88.074,17.517,
-0.439,0.264,0.798,-1.038,88.135,19.836,
-0.421,0.218,0.831,-2.869,87.585,21.606,
-0.416,0.193,0.871,-5.188,86.609,22.766,
-0.418,0.185,0.926,-5.92,85.938,23.01,
-0.415,0.17,0.999,-2.93,86.06,23.071,
-0.389,0.138,1.095,1.038,85.693,24.17,
-0.372,0.076,1.167,5.371,83.374,24.719,
-0.368,0.035,1.235,8.484,79.712,24.109,
-0.369,-0.008,1.273,10.315,74.463,22.888,
-0.367,-0.05,1.308,8.423,68.604,21.423,
-0.364,-0.094,1.335,3.113,62.256,19.775,
-0.361,-0.124,1.342,-3.113,55.481,17.151,
-0.357,-0.141,1.333,-9.399,48.645,13.916,
-0.36,-0.131,1.31,-15.015,42.053,10.437,
-0.376,-0.094,1.297,-17.822,36.438,6.714,
-0.379,-0.038,1.304,-16.052,32.654,3.54,
-0.375,-0.003,1.313,-11.23,29.114,1.709,
-0.371,0.015,1.312,-6.104,25.33,0.366,
-0.371,0.04,1.308,-2.319,21.301,-0.793,
-0.361,0.055,1.292,0.61,16.663,-1.526,
-0.364,0.062,1.272,0.732,12.268,-1.892,
-0.361,0.076,1.246,0,8.057,-2.075,
-0.36,0.077,1.212,-1.648,4.089,-2.136,
-0.361,0.092,1.185,-4.578,0.488,-2.014,
-0.363,0.102,1.154,-5.31,-2.258,-1.953,
-0.361,0.1,1.124,-5.493,-4.7,-1.465,
-0.362,0.096,1.092,-5.31,-6.653,-0.916,
-0.36,0.084,1.066,-4.761,-8.24,-0.549,
-0.358,0.06,1.038,-4.822,-9.583,-0.183,
-0.36,0.043,1.015,-4.089,-10.742,-0.488,
-0.361,0.039,1.009,-2.991,-11.353,-1.16,
-0.356,0.032,1.004,-0.977,-11.78,-1.892,
-0.351,0.017,0.993,0.916,-12.573,-2.625,
-0.349,-0.003,0.981,0.793,-14.099,-3.418,
-0.352,-0.009,0.958,-1.221,-15.625,-4.578,
-0.355,-0.002,0.929,-3.723,-17.029,-5.859,
-0.36,0.011,0.897,-4.883,-18.005,-6.775,
-0.368,0.027,0.869,-5.005,-18.555,-7.935,
-0.372,0.033,0.849,-4.578,-18.555,-8.484,
-0.375,0.039,0.829,-3.906,-17.883,-9.277,
-0.377,0.032,0.811,-3.784,-17.395,-9.583,
-0.375,0.01,0.803,-3.723,-16.724,-10.071,
-0.374,-0.004,0.796,-3.479,-15.747,-10.986,
-0.371,-0.015,0.787,-3.052,-14.893,-12.329,
-0.371,-0.025,0.779,-2.991,-14.16,-13.672,
-0.366,-0.042,0.771,-3.296,-13.245,-15.198,
-0.367,-0.058,0.763,-3.601,-12.512,-17.09,
-0.371,-0.06,0.754,-2.869,-11.658,-19.348,
-0.377,-0.052,0.744,-2.136,-10.559,-21.851,
-0.381,-0.063,0.743,-1.099,-9.216,-23.865,
-0.373,-0.089,0.757,-0.854,-7.568,-25.452,
-0.375,-0.105,0.761,1.16,-6.165,-28.137,
-0.37,-0.102,0.767,3.113,-4.822,-31.25,
-0.358,-0.114,0.782,3.601,-3.662,-34.363,
-0.356,-0.125,0.798,3.235,-2.747,-36.987,
-0.349,-0.126,0.802,2.258,-2.197,-40.527,
-0.342,-0.139,0.81,0.61,-1.892,-43.762,
-0.338,-0.153,0.816,-1.709,-1.953,-47.18,
-0.334,-0.157,0.824,-2.136,-1.587,-50.964,
-0.33,-0.132,0.821,-2.014,-1.465,-55.481,
-0.328,-0.088,0.808,-2.136,-1.709,-59.875,
-0.324,-0.051,0.797,-2.075,-1.648,-63.171,
-0.331,-0.027,0.805,-2.502,-1.343,-65.796,
-0.322,0,0.814,-1.892,-0.305,-68.176,
-0.316,0.029,0.831,-1.16,0.488,-70.618,
-0.308,0.025,0.839,0.061,0.916,-72.021,
-0.293,0.029,0.862,-0.061,1.16,-73.914,
-0.285,0.035,0.871,-1.038,0.793,-76.233,
-0.278,0.086,0.872,-3.54,-0.366,-78.918,
