aX,aY,aZ,gX,gY,gZ
-0.759,0.078,-0.672,-9.216,17.029,22.4
-0.748,0.093,-0.72,-12.695,25.757,25.024
-0.726,0.1,-0.768,-13.977,35.461,27.71
-0.692,0.107,-0.824,-15.564,45.654,31.067
-0.671,0.155,-0.896,-17.456,56.03,34.119
-0.642,0.167,-0.994,-18.188,67.017,38.635
-0.632,0.146,-1.104,-18.982,79.102,44.373
-0.631,0.146,-1.208,-21.606,92.773,49.561
-0.608,0.135,-1.302,-21.118,108.826,54.932
-0.594,0.064,-1.363,-17.578,127.747,61.646
-0.601,-0.051,-1.301,-16.052,150.513,67.444
-0.562,-0.212,-1.048,-15.747,176.575,72.388
-0.474,-0.358,-0.672,-11.108,202.454,75.073
1.228,-1.223,-0.214,52.124,234.192,73.914
-1.069,-2.155,4,-93.628,163.635,61.951
-0.799,-3.325,4,-414.429,85.815,37.231
-0.915,-1.445,3.755,-219.299,18.005,-10.498
-1.094,-0.704,1.989,-180.847,-10.559,-27.344
-1.152,-0.036,1.375,-37.842,-32.715,-36.621
-1.189,0.13,0.846,102.966,-35.889,-38.696
-1.155,-0.018,0.707,180.969,-32.288,-37.72
-1.087,-0.266,0.341,143.188,-29.297,-32.227
-0.995,-0.367,0.475,91.37,-25.635,-27.832
-0.939,-0.354,0.735,75.317,-23.926,-25.879
-0.908,-0.379,0.823,50.354,-26.672,-23.621
-0.884,-0.354,0.855,33.386,-33.264,-22.034
-0.852,-0.323,0.791,22.949,-38.635,-21.118
-0.815,-0.281,0.705,17.639,-43.518,-19.653
-0.791,-0.255,0.626,15.564,-47.791,-17.395
-0.78,-0.229,0.56,17.273,-52.368,-15.564
-0.766,-0.234,0.541,21.729,-56.519,-13.672
-0.766,-0.252,0.544,27.832,-60.486,-12.39
-0.771,-0.296,0.534,34.729,-64.026,-11.841
-0.77,-0.335,0.491,39.551,-66.589,-12.085
-0.79,-0.378,0.416,42.664,-68.42,-12.756
-0.817,-0.414,0.325,45.471,-68.909,-13.733
-0.829,-0.454,0.25,45.715,-67.993,-15.259
-0.845,-0.476,0.206,43.396,-66.345,-17.334
-0.855,-0.49,0.182,41.565,-64.758,-19.775
-0.855,-0.488,0.183,39.49,-63.293,-22.217
-0.868,-0.472,0.177,33.569,-62.439,-24.841
-0.871,-0.431,0.149,25.513,-61.401,-27.344
-0.88,-0.368,0.087,18.555,-60.242,-29.358
-0.886,-0.308,0.028,12.085,-58.472,-30.701
-0.883,-0.256,-0.02,7.08,-56.396,-31.555
-0.877,-0.202,-0.057,4.822,-53.894,-31.677
-0.872,-0.146,-0.074,3.784,-51.147,-31.677
-0.857,-0.094,-0.065,4.7,-48.035,-31.006
-0.837,-0.058,-0.043,7.812,-45.044,-29.541
-0.817,-0.04,-0.024,11.658,-41.931,-27.954
-0.804,-0.028,0,13.428,-39.063,-26.245
-0.787,-0.007,0.012,12.39,-37.048,-24.475
-0.781,0,0.005,10.315,-35.706,-22.888
-0.776,0.017,-0.015,8.179,-34.79,-21.484
-0.776,0.035,-0.043,6.226,-33.691,-20.142
-0.774,0.065,-0.084,4.456,-32.532,-18.799
-0.769,0.099,-0.136,2.258,-31.311,-17.7
