aX,aY,aZ,gX,gY,gZ
-0.760,0.197,-0.268,62.073,-130.859,35.034
-0.747,0.154,-0.315,60.913,-128.967,37.415
-0.737,0.078,-0.320,65.918,-125.732,39.490
-0.728,-0.095,-0.288,81.116,-121.155,40.039
-0.688,-0.275,-0.204,96.191,-117.126,38.208
-0.654,-0.315,-0.265,105.713,-116.455,31.738
-0.643,-0.310,-0.402,104.736,-118.286,23.865
-0.686,-0.285,-0.601,101.013,-118.958,16.968
-0.744,-0.248,-0.754,97.046,-116.760,10.315
-0.787,-0.247,-0.873,96.069,-111.023,4.578
-0.783,-0.282,-0.919,94.116,-103.516,0.000
-0.772,-0.304,-0.900,81.787,-96.130,-3.723
-0.813,-0.308,-0.862,75.073,-89.233,-7.507
-0.800,-0.362,-0.826,78.796,-81.482,-12.085
-0.773,-0.448,-0.778,86.670,-73.730,-17.273
-0.776,-0.403,-0.694,85.693,-66.650,-24.231
-0.813,-0.328,-0.774,82.764,-63.599,-31.189
-0.866,-0.167,-0.862,74.951,-61.279,-36.743
-0.882,0.002,-1.021,70.007,-56.824,-40.527
-0.886,0.102,-1.125,67.383,-50.964,-40.894
-0.915,0.141,-1.140,61.951,-42.236,-39.185
-0.942,0.166,-1.061,57.922,-32.227,-38.025
-0.932,0.174,-0.959,56.091,-23.743,-36.621
-0.923,0.174,-0.852,50.659,-18.372,-34.973
-0.913,0.151,-0.769,45.288,-14.709,-33.203
-0.909,0.103,-0.672,40.833,-12.207,-31.860
-0.884,0.057,-0.610,39.551,-10.986,-31.738
-0.876,0.019,-0.562,37.537,-10.132,-32.776
-0.849,0.009,-0.542,36.743,-9.949,-34.424
-0.840,-0.004,-0.545,39.001,-9.888,-36.682
-0.830,-0.015,-0.546,36.011,-9.094,-39.734
-0.835,0.003,-0.546,33.447,-7.874,-42.847
-0.852,0.078,-0.546,30.762,-6.409,-46.204
-0.849,0.198,-0.502,27.405,-4.944,-49.133
-0.850,0.296,-0.505,29.968,-3.845,-50.049
-0.851,0.343,-0.488,34.485,-2.014,-49.683
-0.848,0.403,-0.433,37.659,-0.305,-47.974
-0.850,0.400,-0.397,38.086,0.000,-45.349
-0.831,0.344,-0.412,41.016,0.488,-43.640
-0.811,0.273,-0.410,46.448,1.099,-42.542
-0.793,0.212,-0.432,50.842,1.343,-42.786
-0.781,0.215,-0.443,53.711,1.770,-44.250
-0.771,0.266,-0.451,53.772,3.113,-46.204
-0.781,0.338,-0.437,54.321,4.272,-47.424
