aX,aY,aZ,gX,gY,gZ,,,,
-0.456,-1.554,0.892,-39.001,34.973,-20.752,,,,
-0.407,-1.548,0.984,-42.847,17.273,-32.959,,,,
-0.407,-1.457,0.941,-37.72,0,-46.143,,,,
-0.401,-1.367,0.842,-26.611,-13.733,-57.373,,,,
-0.411,-1.269,0.701,-10.132,-24.475,-68.298,,,,
-0.42,-1.167,0.557,6.836,-33.813,-78.918,,,,
-0.416,-1.083,0.409,22.644,-40.649,-88.501,,,,
-0.428,-0.955,0.246,29.907,-46.57,-96.985,,,,
-0.444,-0.798,0.076,29.724,-50.293,-103.21,,,,
-0.467,-0.592,-0.092,25.574,-52.185,-107.727,,,,
-0.489,-0.406,-0.205,21.79,-52.307,-109.863,,,,
-0.507,-0.251,-0.257,24.475,-50.598,-110.535,,,,
-0.519,-0.145,-0.285,29.48,-47.791,-109.436,,,,
-0.528,-0.008,-0.31,34.424,-44.128,-107.727,,,,
-0.537,0.151,-0.318,36.072,-39.001,-104.492,,,,
-0.558,0.313,-0.334,29.602,-35.645,-99.976,,,,
-0.595,0.621,-0.401,11.23,-34.973,-92.957,,,,
-0.64,0.899,-0.448,-7.019,-32.532,-82.336,,,,
-0.71,1.124,-0.57,-16.418,-30.518,-68.359,,,,
-0.746,1.348,-0.678,-27.588,-26.367,-51.697,,,,
-0.773,1.469,-0.791,-31.982,-20.691,-31.433,,,,
-0.791,1.578,-0.833,-32.227,-13.306,-9.888,,,,
-0.766,1.608,-0.877,-30.579,-4.639,12.207,,,,
-0.742,1.629,-0.904,-15.808,7.019,36.682,,,,
-0.742,1.601,-0.996,-3.845,18.616,62.012,,,,
-0.689,1.566,-0.971,3.662,33.142,87.891,,,,
-0.662,1.52,-0.966,3.967,45.532,114.014,,,,
-0.586,1.444,-0.894,3.479,60.364,140.32,,,,
-0.506,1.268,-0.823,4.822,72.571,167.603,,,,
-0.439,1.03,-0.75,11.658,83.679,194.702,,,,
-0.39,0.728,-0.68,25.024,94.604,219.36,,,,
-1.228,-1.207,0.959,44.678,107.422,242.126,,,,
-2.605,2.318,-3.41,567.505,76.111,100.525,,,,
-1.72,0.247,-4,-355.53,-44.8,66.345,,,,
-0.875,1.722,-2.215,-631.775,-89.111,13.306,,,,
-0.639,-3.941,-0.151,-115.356,52.734,106.14,,,,
-1.099,-1.565,-1.209,-146.606,40.1,39.795,,,,
-0.795,-1.472,-0.895,-36.316,31.006,33.569,,,,
-0.797,-2.613,-0.662,18.555,51.208,5.676,,,,
-0.533,-2.463,-0.312,-18.066,69.031,-14.954,,,,
-0.429,-2.854,-0.08,-114.075,64.941,-38.208,,,,
-0.293,-2.52,0.046,-182.617,60.608,-68.298,,,,
-0.259,-2.28,0.025,-233.093,52.185,-95.52,,,,
-0.205,-1.791,0.068,-264.526,44.556,-121.338,,,,
-0.213,-1.427,0.056,-259.338,36.072,-142.029,,,,
-0.229,-1.095,0.114,-230.164,29.541,-159.912,,,,
-0.24,-0.91,0.142,-187.561,25.635,-172.241,,,,
-0.27,-0.758,0.146,-145.386,23.132,-181.274,,,,
-0.284,-0.598,0.137,-121.155,21.423,-186.707,,,,
-0.292,-0.449,0.153,-111.023,19.47,-189.758,,,,
-0.314,-0.33,0.19,-106.934,15.503,-191.04,,,,
-0.338,-0.216,0.239,-106.567,11.169,-191.284,,,,
-0.367,-0.082,0.295,-113.892,5.859,-189.697,,,,
-0.392,0.074,0.332,-125.183,0.061,-186.707,,,,
-0.441,0.256,0.341,-137.085,-5.92,-181.763,,,,
-0.497,0.439,0.328,-145.447,-10.559,-174.988,,,,
-0.557,0.593,0.312,-142.09,-13.611,-165.894,,,,
-0.628,0.696,0.298,-130.615,-15.747,-154.785,,,,
-0.684,0.753,0.293,-113.77,-17.029,-142.822,,,,
-0.745,0.788,0.284,-94.788,-17.578,-130.249,,,,
-0.777,0.808,0.273,-76.355,-16.724,-117.737,,,,
-0.792,0.799,0.278,-67.2,-15.381,-104.492,,,,
-0.835,0.828,0.289,-69.397,-15.503,-91.492,,,,
-0.887,0.808,0.277,-66.284,-15.198,-78.491,,,,
-0.925,0.786,0.256,-59.57,-13.672,-65.552,,,,
-0.953,0.716,0.264,-49.622,-11.475,-53.162,,,,
-0.998,0.635,0.275,-32.715,-8.789,-42.175,,,,
-1.036,0.576,0.327,-14.221,-5.554,-33.447,,,,
-1.035,0.52,0.398,2.075,-2.93,-25.818,,,,
-1.028,0.464,0.458,15.137,-1.526,-18.555,,,,
-1.011,0.411,0.503,20.386,-2.197,-12.634,,,,
-1.002,0.4,0.568,21.301,-2.93,-7.751,,,,
-0.981,0.359,0.62,22.766,-4.395,-3.418,,,,
-0.958,0.345,0.673,23.376,-6.47,0.916,,,,
-0.94,0.316,0.67,26.367,-10.071,5.127,,,,
-0.898,0.257,0.617,34.241,-14.282,8.972,,,,
-0.862,0.18,0.612,31.86,-18.555,12.573,,,,
-0.871,0.11,0.538,24.78,-22.705,14.893,,,,
-0.882,-0.012,0.502,-0.183,-28.137,16.296,,,,
-0.917,0.14,0.513,-33.997,-30.273,15.015,,,,
-0.949,0.092,0.472,-35.645,-33.264,16.479,,,,
-0.982,0.135,0.499,-36.255,-32.593,17.883,,,,
-0.948,0.222,0.43,-40.588,-34.058,17.761,,,,
-0.905,0.272,0.36,-38.879,-38.208,19.714,,,,
-0.883,0.279,0.312,-35.156,-38.513,22.888,,,,
-0.881,0.296,0.277,-36.316,-39.368,26.001,,,,
-0.897,0.286,0.221,-33.203,-39.856,29.541,,,,
-0.897,0.241,0.154,-21.851,-38.818,33.081,,,,
-0.913,0.184,0.078,-11.536,-36.316,35.4,,,,
-0.932,0.156,0.007,-4.15,-33.02,36.438,,,,
-0.93,0.101,-0.034,-4.211,-29.175,37.415,,,,
-0.921,0.061,-0.055,-13.306,-24.963,37.72,,,,
-0.941,0.07,-0.057,-30.701,-21.301,37.17,,,,
-1.014,0.126,0.008,-43.274,-16.235,36.804,,,,
-1.022,0.131,0.05,-28.748,-10.193,37.964,,,,
-0.998,0.108,0.099,1.221,-3.235,38.879,,,,
-0.984,0.077,0.135,29.358,2.014,38.696,,,,
-0.939,0.073,0.172,48.096,5.554,37.964,,,,
-0.904,0.067,0.24,61.279,8.179,37.231,,,,
-0.892,0.056,0.301,70.618,10.254,36.743,,,,
-0.877,0.089,0.339,70.496,9.705,35.95,,,,
-0.878,0.13,0.384,65.125,8.484,36.011,,,,
-0.867,0.135,0.361,63.782,6.775,37.476,,,,
-0.88,0.131,0.341,67.871,5.981,39.49,,,,
-0.892,0.08,0.295,76.721,6.714,41.26,,,,
-0.909,-0.011,0.243,94.36,8.362,42.725,,,,
-0.938,-0.094,0.209,110.84,11.047,42.419,,,,
-0.954,-0.186,0.184,125.122,13.855,40.771,,,,
-0.99,-0.299,0.152,137.146,16.418,38.086,,,,
-1.022,-0.365,0.156,139.038,19.043,33.386,,,,
-1.043,-0.433,0.141,134.888,20.325,28.015,,,,
-1.067,-0.485,0.138,125.061,21.606,22.095,,,,
-1.094,-0.49,0.146,104.736,21.973,15.442,,,,
-1.088,-0.452,0.178,83.13,22.644,8.972,,,,
-1.052,-0.381,0.205,66.223,23.071,2.808,,,,
-1.01,-0.285,0.245,53.345,23.01,-2.258,,,,
-0.968,-0.179,0.298,43.701,23.01,-5.615,,,,
-0.924,-0.092,0.343,38.269,22.217,-6.653,,,,
-0.899,-0.036,0.382,34.973,20.63,-6.592,,,,
-0.883,-0.005,0.4,32.593,18.372,-6.165,,,,
-0.876,0.013,0.391,29.907,15.625,-5.31,,,,
-0.882,0.015,0.36,26.55,12.695,-3.784,,,,
-0.905,-0.012,0.313,23.071,10.254,-1.77,,,,
-0.935,-0.043,0.256,19.958,8.545,-0.183,,,,
-0.958,-0.067,0.207,18.616,8.362,0.732,,,,
-0.975,-0.072,0.167,18.25,9.277,1.404,,,,
-0.983,-0.075,0.129,19.531,10.925,2.502,,,,
-0.984,-0.08,0.109,22.461,13.428,3.845,,,,
-0.967,-0.102,0.092,27.222,16.724,5.554,,,,
-0.947,-0.12,0.087,30.823,19.409,7.08,,,,
-0.918,-0.151,0.09,29.846,22.034,8.789,,,,
-0.894,-0.188,0.088,26.978,23.743,10.315,,,,
-0.876,-0.218,0.094,22.644,25.513,11.353,,,,
-0.858,-0.24,0.101,19.165,26.978,12.085,,,,
-0.839,-0.276,0.102,17.517,28.442,12.634,,,,
-0.839,-0.318,0.095,13.977,29.297,13,,,,
-0.851,-0.342,0.091,7.385,29.968,13,,,,
-0.863,-0.333,0.106,2.075,31.555,11.963,,,,
-0.865,-0.314,0.137,-0.305,33.752,11.169,,,,
-0.874,-0.303,0.179,-0.61,36.072,11.292,,,,
-0.876,-0.303,0.227,-1.831,37.354,11.597,,,,
-0.887,-0.318,0.266,-3.906,37.476,12.329,,,,
-0.89,-0.323,0.306,-7.019,37.17,12.756,,,,
-0.894,-0.332,0.333,-11.108,36.072,12.878,,,,
-0.898,-0.322,0.369,-18.555,34.424,12.756,,,,
-0.897,-0.307,0.388,-23.499,32.349,12.878,,,,
-0.891,-0.307,0.426,-26.245,30.64,13.184,,,,
-0.876,-0.314,0.422,-27.954,28.564,13.489,,,,
-0.869,-0.297,0.444,-31.311,27.039,13.977,,,,
-0.874,-0.301,0.443,-30.396,25.33,14.16,,,,
-0.884,-0.219,0.482,-24.475,25.024,14.16,,,,
-0.886,-0.262,0.481,-7.568,25.208,15.625,,,,
-0.858,-0.213,0.532,-0.854,25.391,16.785,,,,
-0.852,-0.225,0.535,1.526,23.56,18.738,,,,
-0.852,-0.247,0.566,4.822,22.156,21.057,,,,
-0.836,-0.299,0.58,4.639,20.569,23.437,,,,
-0.839,-0.343,0.577,-1.221,17.273,24.841,,,,
-0.846,-0.362,0.543,-9.949,13.428,25.452,,,,
-0.851,-0.373,0.513,-14.709,10.681,25.574,,,,
-0.838,-0.386,0.499,-14.587,9.338,25.574,,,,
-0.868,-0.375,0.502,-11.658,8.911,25.024,,,,
-0.847,-0.374,0.425,4.028,8.789,24.78,,,,
-0.789,-0.404,0.431,27.405,10.864,24.841,,,,
-0.773,-0.419,0.466,33.447,13.123,23.132,,,,
-0.799,-0.412,0.483,34.546,13.062,22.461,,,,
-0.773,-0.427,0.472,36.438,11.841,22.339,,,,
-0.764,-0.465,0.458,37.109,10.62,22.339,,,,
-0.773,-0.482,0.426,31.128,9.827,21.423,,,,
-0.771,-0.467,0.442,20.142,9.033,20.325,,,,
-0.763,-0.452,0.437,14.587,8.911,19.897,,,,
-0.814,-0.449,0.422,20.569,8.484,19.592,,,,
-0.746,-0.451,0.379,33.264,9.094,19.104,,,,
-0.764,-0.471,0.354,44.495,10.315,18.616,,,,
-0.761,-0.504,0.345,53.406,12.024,17.578,,,,
-0.748,-0.526,0.384,46.509,13.611,16.541,,,,
-0.747,-0.539,0.364,41.626,13.977,14.954,,,,
-0.755,-0.525,0.358,32.654,12.817,13.794,,,,
-0.769,-0.522,0.32,20.996,12.39,12.634,,,,
-0.782,-0.5,0.315,5.859,12.207,11.414,,,,
-0.772,-0.495,0.306,-6.165,12.817,11.169,,,,
-0.787,-0.461,0.297,-15.503,13.184,10.254,,,,
-0.812,-0.433,0.287,-20.63,14.404,10.071,,,,
-0.815,-0.418,0.284,-17.7,16.663,10.193,,,,
-0.798,-0.431,0.298,-11.536,19.836,11.23,,,,
-0.779,-0.437,0.329,-8.85,23.437,11.475,,,,
-0.789,-0.42,0.39,-10.132,26.245,11.719,,,,
-0.795,-0.412,0.409,-15.503,28.259,11.841,,,,
-0.813,-0.313,0.57,-31.25,29.114,12.939,,,,
-0.833,-0.319,0.577,-15.625,30.64,15.625,,,,
-0.828,-0.291,0.641,-6.348,30.701,18.066,,,,
-0.832,-0.263,0.71,4.15,31.25,20.935,,,,
-0.828,-0.29,0.728,21.912,31.067,24.414,,,,
-0.799,-0.337,0.755,30.334,28.992,28.137,,,,
-0.764,-0.421,0.76,30.518,25.635,31.372,,,,
-0.73,-0.477,0.782,24.475,21.973,33.447,,,,
-0.693,-0.535,0.773,18.005,17.822,34.302,,,,
-0.69,-0.576,0.775,8.423,13.367,33.997,,,,
-0.698,-0.605,0.762,0.122,9.216,32.898,,,,
-0.698,-0.649,0.769,-1.77,6.531,31.86,,,,
-0.714,-0.682,0.784,-1.648,4.089,29.907,,,,
-0.726,-0.755,0.772,4.089,1.099,27.71,,,,
-0.708,-0.804,0.729,2.808,-3.235,24.414,,,,
-0.702,-0.865,0.649,-2.014,-7.996,19.226,,,,
-0.756,-0.821,0.711,-23.437,-11.902,13.367,,,,
-0.715,-0.756,0.699,-29.968,-13.184,6.287,,,,
-0.631,-0.704,0.738,-32.715,-15.93,1.709,,,,
-0.692,-0.702,0.8,-55.115,-19.836,-1.404,,,,
-0.722,-0.635,0.88,-69.641,-23.926,-3.967,,,,
-0.753,-0.635,0.921,-76.721,-28.015,-5.676,,,,
-0.781,-0.651,0.942,-78.552,-33.752,-6.104,,,,
-0.716,-0.666,0.912,-78.674,-39.246,-7.507,,,,
-0.719,-0.634,0.918,-76.05,-46.448,-8.606,,,,
