aX,aY,aZ,gX,gY,gZ
0.942,0.323,-0.118,3.293,2.866,-2.988
0.947,0.322,-0.115,3.598,3.293,-3.11
0.953,0.322,-0.122,3.232,3.537,-3.049
0.952,0.324,-0.124,2.927,3.841,-3.354
0.946,0.324,-0.129,2.805,3.72,-3.354
0.95,0.322,-0.127,2.5,3.72,-3.171
0.948,0.326,-0.13,2.317,3.537,-3.293
0.948,0.319,-0.134,2.256,3.293,-3.11
0.944,0.321,-0.141,1.951,3.049,-3.232
0.94,0.327,-0.14,1.646,2.988,-3.171
0.933,0.321,-0.139,1.28,2.683,-3.049
0.928,0.324,-0.144,1.037,2.439,-2.988
0.927,0.324,-0.151,1.037,1.768,-2.927
0.924,0.323,-0.149,0.976,1.463,-2.988
0.925,0.324,-0.154,0.915,1.524,-2.805
0.923,0.325,-0.159,0.671,1.037,-2.805
0.925,0.327,-0.155,0.549,0.915,-2.683
0.926,0.328,-0.153,0.61,0.915,-2.744
0.926,0.33,-0.158,0.488,0.61,-2.622
0.923,0.331,-0.159,0.183,0.427,-2.5
0.926,0.332,-0.158,0.122,0.244,-2.378
0.924,0.333,-0.149,0.244,0.244,-2.134
0.926,0.334,-0.152,0.366,0.427,-2.012
0.923,0.337,-0.146,0.183,0.549,-2.073
0.921,0.334,-0.148,0.244,0.671,-1.89
0.919,0.339,-0.147,0.122,0.793,-1.585
0.919,0.34,-0.145,0.244,0.915,-1.463
0.918,0.337,-0.142,0.122,0.854,-1.463
0.918,0.339,-0.138,0.366,0.793,-1.28
0.917,0.339,-0.14,0.488,0.671,-1.098
0.916,0.34,-0.135,0.305,0.488,-0.915
0.914,0.336,-0.137,0.488,0.305,-0.732
0.912,0.34,-0.136,0.427,0.183,-0.549
0.916,0.341,-0.138,0.305,0.122,-0.549
0.909,0.343,-0.133,0.671,-0.061,-0.366
0.909,0.344,-0.125,0.549,0.061,-0.122
0.899,0.343,-0.122,0.61,-0.183,-0.244
0.9,0.34,-0.128,0.427,-0.305,-0.122
0.899,0.336,-0.123,0.305,-0.549,0
0.9,0.342,-0.125,0.427,-0.915,-0.122
0.901,0.339,-0.127,0.366,-1.037,-0.122
0.902,0.336,-0.121,0.305,-1.037,-0.122
0.903,0.338,-0.114,0.122,-1.159,-0.244
0.901,0.337,-0.12,0.061,-1.159,-0.244
0.906,0.337,-0.123,0.183,-1.037,-0.488
0.904,0.331,-0.122,-0.122,-1.098,-0.488
0.906,0.331,-0.127,-0.183,-0.976,-0.549
0.905,0.335,-0.132,-0.366,-0.549,-0.488
0.91,0.334,-0.129,-0.427,-0.61,-0.671
0.917,0.33,-0.127,-0.671,-0.549,-0.854
0.916,0.331,-0.128,-1.098,-0.671,-0.976
0.923,0.332,-0.13,-1.159,-0.671,-1.22
0.927,0.332,-0.127,-1.22,-0.732,-1.402
0.926,0.33,-0.138,-1.159,-0.427,-1.159
0.924,0.333,-0.134,-1.341,-0.488,-1.098
0.929,0.329,-0.135,-1.585,-0.366,-1.22
0.927,0.331,-0.14,-1.402,-0.305,-1.098
0.93,0.334,-0.143,-1.646,-0.183,-0.915
0.935,0.328,-0.138,-1.585,-0.061,-0.854
0.933,0.331,-0.141,-1.585,0,-0.488
0.931,0.333,-0.144,-1.768,0.122,-0.244
0.93,0.327,-0.143,-1.707,0.183,0.183
0.937,0.333,-0.141,-1.402,0.122,0.122
0.935,0.333,-0.145,-1.585,0,0.427
0.929,0.333,-0.145,-1.402,-0.183,1.037
0.927,0.335,-0.144,-1.22,-0.183,0.915
0.925,0.337,-0.135,-1.159,0.061,1.341
0.919,0.339,-0.137,-0.793,-0.061,1.707
0.922,0.335,-0.142,-0.854,-0.427,1.829
0.911,0.335,-0.131,-0.915,-0.427,2.073
0.906,0.337,-0.126,-0.61,-0.366,2.317
0.901,0.342,-0.134,-0.427,-0.305,2.439
0.898,0.346,-0.127,-0.366,-0.427,2.561
0.89,0.344,-0.121,-0.244,-0.366,2.622
0.89,0.345,-0.119,-0.244,-0.549,2.5
0.886,0.343,-0.121,-0.305,-0.61,2.683
0.884,0.34,-0.118,0,-0.549,2.5
