aX,aY,aZ,gX,gY,gZ
-0.844,-1.379,-1.346,-123.901,33.386,-2.319
-0.81,-0.207,-0.653,-116.577,-22.705,-26.184
-1.255,-0.876,-1.306,-69.58,-1.282,-30.518
-1.105,-0.516,-0.269,-52.673,5.859,-28.381
-1.083,-0.249,-0.569,-19.226,9.399,-18.188
-1.206,-0.119,-0.302,-5.127,2.197,-15.32
-1.134,-0.045,-0.5,18.982,-1.282,-0.305
-1.121,-0.099,-0.487,28.503,0.061,6.714
-1.045,-0.055,-0.606,47.241,-1.953,17.09
-0.991,-0.122,-0.568,51.453,-1.099,21.667
-0.92,-0.153,-0.638,58.228,-3.357,27.161
-0.823,-0.358,-0.685,62.317,-2.197,31.006
-0.729,-0.762,-0.748,69.153,-1.16,32.104
-0.652,-1.207,-0.863,73.73,0.854,27.832
-0.586,-1.43,-0.865,59.937,2.869,16.541
-0.542,-1.513,-0.845,40.222,4.7,0.793
-0.529,-1.427,-0.763,21.423,7.324,-16.907
-0.534,-1.22,-0.676,7.08,9.033,-34.607
-0.578,-0.817,-0.592,-5.432,10.742,-49.805
-0.62,-0.493,-0.585,-28.809,7.629,-58.838
-0.654,-0.16,-0.425,-16.418,11.841,-63.965
-0.705,0.023,-0.44,-10.193,11.108,-63.66
-0.73,0.196,-0.374,-0.488,12.634,-60.12
-0.776,0.277,-0.397,10.315,11.414,-54.016
-0.795,0.343,-0.363,16.235,11.719,-46.57
-0.8,0.349,-0.352,19.836,10.193,-38.269
-0.799,0.34,-0.348,20.447,8.545,-30.09
-0.789,0.329,-0.339,21.118,5.92,-22.4
-0.77,0.289,-0.34,21.79,4.089,-15.625
-0.753,0.25,-0.352,21.851,1.099,-9.155
-0.739,0.223,-0.37,20.264,-1.587,-4.272
-0.726,0.228,-0.376,16.785,-3.967,0.122
-0.716,0.251,-0.374,12.634,-6.042,3.967
-0.709,0.323,-0.367,9.521,-7.751,8.057
-0.714,0.384,-0.38,8.728,-9.399,13.55
-0.727,0.42,-0.43,8.911,-11.475,20.203
-0.739,0.458,-0.46,9.033,-12.146,27.527
-0.754,0.511,-0.472,9.888,-12.451,35.156
-0.767,0.501,-0.5,12.024,-12.695,44.25
-0.781,0.467,-0.534,14.465,-13,54.321
-0.788,0.344,-0.556,17.334,-12.817,64.758
-0.764,0.092,-0.592,15.686,-12.634,74.829
-0.748,-0.116,-0.578,8.728,-12.939,81.238
-0.722,-0.323,-0.538,1.648,-13,84.717
-0.773,1.432,0.604,-121.216,-3.784,36.56
-0.583,-0.439,-0.893,-62.256,-6.409,-1.038
-1.191,-0.009,-0.248,-91.553,-6.958,-42.664
-0.892,-0.639,-0.788,-17.883,-1.648,-18.677
-1.016,-0.213,-0.243,-37.415,6.836,-26.367
-0.978,-0.105,-0.48,-1.831,-0.122,-17.395
-1.021,-0.028,-0.422,-1.953,1.587,-14.343
-0.969,0.04,-0.46,14.099,0.427,-6.775
-0.934,-0.039,-0.505,16.235,2.014,-1.099
-0.906,-0.033,-0.539,20.996,-0.61,6.042
-0.867,-0.095,-0.563,20.386,-0.183,12.268
-0.821,-0.173,-0.551,20.752,-0.61,17.09
-0.773,-0.34,-0.573,20.813,-0.366,20.264
-0.726,-0.588,-0.598,16.296,-1.16,21.423
-0.686,-0.815,-0.66,11.414,-1.831,18.86
-0.66,-0.94,-0.669,5.005,-1.831,12.39
-0.65,-0.999,-0.678,-1.953,-1.526,4.089
-0.648,-0.978,-0.67,-9.399,-1.099,-5.005
-0.667,-0.885,-0.675,-15.625,-0.61,-14.343
-0.685,-0.742,-0.66,-19.409,0.793,-22.766
-0.707,-0.602,-0.657,-18.372,2.136,-28.748
-0.733,-0.497,-0.666,-13.489,4.089,-32.349
-0.755,-0.427,-0.69,-8.179,6.592,-34.424
-0.784,-0.255,-0.682,-7.324,10.315,-35.339
-0.781,-0.127,-0.623,-35.339,7.874,-33.447
-0.793,-0.054,-0.543,-12.207,13.062,-32.288
-0.809,0,-0.553,-13.611,13.367,-28.259
-0.792,0.07,-0.435,-14.771,14.465,-23.865
-0.799,0.091,-0.417,-11.536,13.794,-19.836
-0.785,0.139,-0.342,-10.742,13.123,-14.832
-0.784,0.146,-0.333,-6.592,11.23,-9.644
-0.774,0.162,-0.296,-2.747,9.705,-4.822
-0.765,0.152,-0.285,0.122,7.141,0.183
-0.753,0.124,-0.288,0.854,4.272,5.737
-0.751,0.092,-0.311,2.258,1.343,11.108
-0.74,0.051,-0.325,2.869,-0.671,16.052
-0.736,0.038,-0.33,2.38,-2.686,19.714
-0.742,0.037,-0.343,-0.427,-4.944,22.766
-0.744,0.039,-0.356,-4.456,-7.568,26.367
-0.748,0.047,-0.351,-7.507,-9.399,30.457
-0.751,0.041,-0.341,-7.935,-11.108,35.095
-0.745,0.024,-0.325,-6.531,-12.817,39.978
-0.748,0.003,-0.306,-2.93,-14.954,44.617
-0.753,-0.043,-0.31,2.136,-17.395,49.133
-0.742,-0.142,-0.354,5.859,-20.508,53.894
-0.559,1.285,0.605,-74.341,-18.127,34.79
-0.585,-1.757,-1.375,-14.648,-13.611,-5.371
-1.022,-0.34,-0.358,-66.162,-14.893,-21.118
-0.827,-0.552,-0.924,2.258,-12.512,-6.47
-0.942,-0.415,-0.546,-26.978,-4.578,-16.113
-0.884,-0.21,-0.704,0.122,-6.165,-10.01
-0.898,-0.279,-0.727,-2.991,-2.441,-8.545
-0.907,-0.174,-0.739,2.808,-2.625,-4.15
-0.872,-0.209,-0.688,-0.793,1.77,0.61
-0.871,-0.208,-0.664,-2.747,2.258,4.211
-0.834,-0.248,-0.66,-4.333,4.395,7.935
-0.815,-0.263,-0.642,-7.935,5.249,10.254
-0.788,-0.28,-0.655,-11.475,6.653,13.123
-0.765,-0.319,-0.659,-17.883,7.263,14.893
-0.751,-0.348,-0.683,-26.123,8.179,16.357
-0.731,-0.435,-0.73,-36.011,8.911,17.212
-0.718,-0.58,-0.782,-48.34,10.437,16.541
-0.704,-0.693,-0.824,-62.744,12.878,13.611
-0.7,-0.738,-0.854,-77.026,15.808,8.484
-0.699,-0.741,-0.875,-86.731,19.47,2.808
-0.702,-0.726,-0.893,-91.003,24.17,-2.686
-0.713,-0.696,-0.905,-92.163,29.419,-7.324
-0.73,-0.661,-0.908,-92.712,35.522,-11.597
-0.74,-0.636,-0.902,-93.933,41.809,-15.32
-0.745,-0.623,-0.898,-97.961,47.913,-18.433
-0.742,-0.609,-0.895,-107.544,53.65,-21.179
-0.743,-0.575,-0.871,-120.178,59.509,-24.048
-0.74,-0.541,-0.824,-135.376,65.369,-26.55
-0.72,-0.492,-0.75,-151.55,70.435,-28.931
-0.706,-0.439,-0.659,-166.138,75.073,-31.25
-0.691,-0.409,-0.573,-179.504,78.857,-33.203
-0.693,-0.41,-0.539,-195.435,80.872,-34.668
-0.689,-0.326,-0.487,-223.083,81.299,-37.476
-0.653,-0.267,-0.414,-246.155,82.214,-39.001
-0.661,-0.22,-0.361,-255.371,83.069,-39.673
-0.672,-0.192,-0.312,-262.695,83.557,-39.673
-0.652,-0.183,-0.26,-270.264,84.045,-38.94
-0.642,-0.177,-0.19,-283.508,83.862,-38.208
-0.657,-0.168,-0.12,-302.49,82.458,-38.513
-0.687,-0.14,-0.053,-322.266,79.773,-39.429
-0.707,-0.099,0.006,-339.844,75.928,-40.649
-0.729,-0.06,0.028,-353.821,71.35,-41.199
-0.807,0.046,0.137,-366.028,66.101,-40.71
-0.817,-0.038,0.143,-328.064,64.026,-38.208
-0.774,0.045,0.202,-298.035,62.195,-35.034
-0.794,0.065,0.249,-285.889,57.129,-33.936
-0.801,0.034,0.266,-249.817,56.519,-29.419
-0.826,0.052,0.36,-245.605,53.04,-25.146
-0.827,0.008,0.375,-238.159,50.049,-21.057
-0.87,-0.003,0.479,-249.939,44.067,-15.686
-0.838,0.036,0.515,-255.005,40.161,-12.085
-0.869,-0.039,0.37,-242.798,32.898,-9.705
-0.857,-0.012,0.46,-255.737,28.625,-5.859
-0.832,0.006,0.422,-240.784,27.344,-3.723
-0.876,-0.056,0.346,-205.688,25.635,-0.977
-0.867,-0.063,0.37,-191.162,26.855,1.77
-0.869,-0.083,0.369,-180.847,26.917,3.357
-0.961,-0.065,0.361,-160.95,27.954,4.7
-0.911,-0.111,0.413,-130.798,32.593,7.568
-0.912,-0.126,0.467,-107.239,35.583,8.911
-0.926,-0.141,0.529,-87.769,37.231,9.949
-0.906,-0.167,0.568,-72.449,37.72,10.681
-0.895,-0.174,0.615,-64.392,37.292,10.742
-0.896,-0.179,0.667,-60.12,36.133,11.047
-0.885,-0.198,0.698,-51.636,34.79,11.597
-0.868,-0.242,0.716,-44.8,32.959,12.207
-0.854,-0.266,0.737,-45.227,30.212,12.024
-0.831,-0.284,0.739,-48.096,26.855,11.108
-0.834,-0.294,0.739,-52.185,23.254,10.071
-0.847,-0.319,0.695,-54.382,19.165,8.972
-0.861,-0.372,0.61,-57.922,15.564,7.08
-0.832,-0.368,0.588,-72.205,12.817,4.883
-0.836,-0.38,0.558,-79.102,11.414,1.831
-0.844,-0.355,0.559,-83.618,10.254,-1.404
-0.841,-0.343,0.549,-88.562,9.155,-4.028
-0.83,-0.351,0.532,-88.745,7.996,-5.798
-0.83,-0.354,0.541,-90.82,7.751,-7.69
-0.834,-0.336,0.536,-95.703,6.836,-10.803
-0.845,-0.272,0.556,-106.14,5.432,-14.099
-0.867,-0.205,0.554,-113.708,3.723,-17.029
-0.885,-0.16,0.536,-115.845,2.014,-18.555
-0.875,-0.119,0.523,-116.394,0.854,-19.165
-0.878,-0.098,0.51,-110.657,0.61,-19.775
-0.886,-0.073,0.537,-99.06,1.526,-19.958
-0.894,-0.086,0.55,-80.139,2.808,-20.142
-0.893,-0.095,0.561,-66.589,3.845,-20.081
-0.888,-0.095,0.578,-57.617,3.967,-21.118
-0.897,-0.063,0.602,-53.223,3.784,-21.973
-0.901,-0.034,0.638,-50.537,3.601,-22.705
-0.899,-0.009,0.677,-49.072,2.686,-22.827
