aX,aY,aZ,gX,gY,gZ
0.047,-0.428,0.927,-7.080,-3.906,-8.850
0.037,-0.405,0.934,-6.042,-4.089,-8.850
0.036,-0.406,0.952,-6.165,-4.517,-7.812

0.038,-0.416,0.960,-6.653,-4.822,-7.568
0.037,-0.416,0.961,-6.470,-6.592,-7.507
0.040,-0.412,0.950,-5.798,-7.568,-7.568
0.038,-0.408,0.953,-2.014,-8.606,-7.446
0.039,-0.401,0.959,1.831,-9.583,-7.385
0.036,-0.406,0.948,3.052,-10.620,-7.141
0.028,-0.378,0.940,3.540,-12.207,-6.897
0.017,-0.373,0.931,3.357,-13.000,-6.470
0.022,-0.352,0.902,3.296,-14.343,-5.676
0.016,-0.353,0.873,2.625,-14.893,-4.944
0.012,-0.362,0.833,3.418,-14.282,-2.930
0.013,-0.376,0.825,4.517,-12.939,-1.709
0.023,-0.415,0.827,5.005,-10.254,-0.610
0.024,-0.423,0.831,4.089,-8.667,-0.732
0.028,-0.408,0.825,1.953,-8.545,-0.671
0.011,-0.405,0.800,-1.343,-7.935,-0.305
0.007,-0.419,0.808,-2.441,-6.653,0.122
0.002,-0.448,0.844,-4.883,-3.296,0.671
0.007,-0.455,0.870,-6.165,-2.136,0.732
0.009,-0.462,0.919,-7.874,-1.892,-0.183
0.013,-0.463,0.937,-8.057,-2.136,-1.282
0.014,-0.451,0.939,-8.789,-4.150,-1.709
0.013,-0.436,0.921,-6.714,-5.676,-2.258
0.008,-0.428,0.924,-4.395,-5.981,-2.197
0.005,-0.448,0.917,-2.014,-6.348,-1.892
0.000,-0.467,0.931,-1.099,-6.470,-1.770
-0.000,-0.499,0.962,-0.793,-6.714,-2.869
0.002,-0.502,0.959,-2.380,-9.155,-5.310
-0.007,-0.490,0.944,-6.531,-10.071,-5.981
-0.014,-0.464,0.911,-10.132,-11.536,-7.202
-0.018,-0.436,0.927,-9.216,-11.047,-8.240
-0.031,-0.424,1.069,-6.470,-8.972,-8.667
0.005,-0.465,1.347,-5.737,-9.399,-8.789
0.009,-0.461,1.467,-11.658,-14.587,-9.033
0.031,-0.455,1.505,-18.738,-33.264,-11.475
0.034,-0.427,1.387,-18.799,-45.166,-13.062
-0.011,-0.316,1.083,-15.503,-62.134,-15.442
-0.091,-0.106,-0.459,-201.111,-2.747,-0.488
-0.178,-0.345,1.350,151.184,44.250,5.249
-0.040,-0.527,1.185,32.471,20.752,9.583
-0.035,-0.350,1.202,-34.302,12.634,5.554
-0.000,-0.247,1.255,-11.292,10.742,7.996
-0.004,-0.265,1.180,7.446,3.845,10.803
-0.015,-0.431,1.343,33.325,-5.493,12.451
0.000,-0.511,1.330,39.001,-15.320,10.559
-0.001,-0.614,1.136,28.992,-21.362,8.179
-0.031,-0.610,0.940,9.399,-28.809,1.831
-0.042,-0.591,0.821,2.136,-29.724,-1.404
-0.075,-0.530,0.638,-5.798,-26.550,-7.568
-0.091,-0.481,0.606,-8.911,-22.705,-12.695
-0.124,-0.379,0.641,-14.404,-14.221,-13.794
-0.130,-0.231,0.696,-13.855,-6.592,-14.221
-0.139,-0.169,0.715,-11.597,1.038,-10.315
-0.138,-0.138,0.844,-1.831,4.578,-7.263
-0.119,-0.186,0.977,-1.587,5.798,-1.587
-0.113,-0.217,1.014,-3.296,3.723,0.854
-0.110,-0.254,1.069,-5.920,-0.305,4.578
-0.105,-0.274,1.081,-4.333,-1.892,7.324
-0.108,-0.300,1.071,4.028,-5.249,8.484
-0.103,-0.313,1.043,16.418,-7.935,10.071
-0.092,-0.400,1.069,19.470,-7.996,10.742
-0.071,-0.513,1.135,13.672,-9.277,10.071
-0.064,-0.549,1.158,7.385,-11.963,8.179
-0.074,-0.552,1.147,-4.395,-19.836,2.808
-0.075,-0.517,1.105,-7.874,-23.926,-0.244
-0.109,-0.443,0.995,-12.268,-30.396,-3.967
-0.128,-0.427,0.895,-12.451,-31.982,-5.188
-0.133,-0.412,0.848,-13.916,-31.372,-5.676
-0.137,-0.358,0.729,-12.451,-30.029,-6.470
-0.151,-0.320,0.654,-11.536,-25.696,-6.226
-1.277,0.612,3.526,-260.254,2.075,0.488
-0.053,-0.733,-0.790,384.155,192.444,34.241
0.615,0.663,1.571,-18.555,178.650,20.691
0.540,-1.478,4.000,-51.819,133.728,36.316
0.349,-1.594,3.587,-45.532,79.285,26.550
0.073,-0.376,1.313,-41.565,16.113,-1.282
0.080,-0.404,2.293,3.723,-17.029,-5.005
0.108,-0.551,2.388,28.259,-34.119,-6.042
0.033,-0.644,1.682,24.231,-62.378,-6.470
0.007,-0.606,1.227,13.672,-68.176,-7.690
-0.065,-0.485,0.636,-12.817,-70.435,-10.071
-0.105,-0.447,0.476,-19.531,-56.763,-11.292
-0.149,-0.406,0.370,-27.832,-47.668,-12.146
-0.176,-0.315,0.333,-23.804,-28.564,-14.526
-0.188,-0.276,0.390,-9.460,-9.460,-15.198
-0.180,-0.210,0.646,-7.385,-3.174,-14.648
-0.188,-0.145,0.829,-9.338,3.052,-11.780
-0.180,-0.110,0.837,-8.545,6.592,-7.385
-0.173,-0.077,0.872,-1.953,6.775,-5.066
-0.159,-0.096,1.014,5.798,6.470,1.343
-0.148,-0.142,1.123,10.498,6.409,4.700
-0.119,-0.276,1.245,11.719,0.122,10.193
-0.106,-0.356,1.262,10.559,-4.944,11.353
-0.100,-0.456,1.178,2.808,-16.663,9.094
-0.111,-0.469,1.105,-1.099,-21.912,6.897
-0.137,-0.465,1.025,-0.305,-26.062,2.380
-0.138,-0.460,1.003,4.883,-25.818,-1.099
-0.152,-0.448,0.957,3.906,-26.306,-2.747
-0.164,-0.493,0.895,-3.601,-27.649,-5.554
-0.167,-0.481,0.870,-9.155,-27.893,-7.202
-0.173,-0.362,0.801,-17.456,-27.100,-11.536
-0.179,-0.291,0.762,-20.569,-24.475,-11.536
1.330,0.978,2.674,-79.895,1.526,-8.911
-0.408,-0.833,-0.775,461.365,150.208,10.620
0.427,-0.156,1.301,73.547,170.349,20.081
0.303,-0.871,4.000,-53.711,113.647,10.864
0.147,-0.908,3.051,-37.903,69.031,6.531
0.016,-0.186,1.368,-28.931,21.057,-4.333
0.018,-0.177,2.062,11.780,-8.972,-4.822
0.027,-0.310,2.116,29.358,-22.644,-2.441
-0.011,-0.503,1.563,26.794,-46.509,2.258
-0.044,-0.533,1.187,17.578,-51.086,2.258
-0.085,-0.529,0.730,-5.066,-52.307,0.061
-0.106,-0.521,0.612,-10.376,-47.546,-4.395
-0.119,-0.501,0.513,-15.076,-35.278,-6.653
-0.149,-0.413,0.446,-17.761,-21.423,-12.756
