aX,aY,aZ,gX,gY,gZ
-0.96,0.061,-0.283,0.305,-1.098,0.366
-0.96,0.059,-0.278,0.427,-1.098,0.366
-0.964,0.062,-0.286,0.183,-1.22,0.366
-0.973,0.06,-0.292,0.122,-1.341,0.427
-0.974,0.056,-0.286,0.122,-1.463,0.366
-0.973,0.056,-0.283,0.122,-1.951,0.549
-0.972,0.054,-0.285,0.305,-2.317,0.549
-0.968,0.058,-0.291,0.061,-2.5,0.549
-0.968,0.05,-0.293,0.061,-2.927,0.732
-0.971,0.05,-0.292,0,-2.866,0.854
-0.971,0.051,-0.295,0,-2.378,0.793
-0.971,0.051,-0.301,0.244,-2.134,0.671
-0.978,0.053,-0.292,0.122,-1.707,0.488
-0.97,0.056,-0.291,0.183,-1.402,0.305
-0.965,0.055,-0.295,0.244,-1.037,0.244
-0.969,0.057,-0.292,0.244,-0.976,0.366
-0.971,0.053,-0.292,0.061,-1.098,0.427
-0.97,0.053,-0.29,0.244,-1.159,0.488
-0.971,0.054,-0.291,0.61,-1.159,0.427
-0.974,0.051,-0.297,0.183,-1.098,0.244
-0.971,0.052,-0.299,0.244,-0.854,0.305
-0.973,0.059,-0.295,0.366,-0.671,0.244
-0.968,0.055,-0.3,0.244,-0.366,0.183
-0.969,0.053,-0.292,0.122,-0.122,0.183
-0.966,0.057,-0.289,-0.061,-0.061,0
-0.967,0.058,-0.292,0.061,-0.366,0.122
-0.965,0.056,-0.291,0.183,-0.915,0.183
-0.963,0.056,-0.292,0.122,-1.524,0.427
-0.97,0.057,-0.294,-0.427,-2.256,0.427
-0.971,0.055,-0.293,-0.915,-2.744,0.305
-0.969,0.052,-0.293,-1.463,-2.805,0.61
-0.971,0.055,-0.293,-1.707,-1.951,0.427
-0.967,0.056,-0.291,-1.646,-0.854,0.122
-0.969,0.057,-0.29,-1.646,-0.366,0.183
-0.97,0.055,-0.284,-1.768,-0.244,0.305
-0.97,0.055,-0.286,-2.5,0.488,0.488
-0.971,0.057,-0.287,-2.683,1.402,0.793
-0.971,0.054,-0.29,-2.256,2.744,1.037
-0.973,0.058,-0.292,-2.134,5.671,0.732
-0.974,0.053,-0.296,-1.707,7.927,0.793
-0.973,0.051,-0.299,-1.951,9.634,0.854
-0.973,0.049,-0.291,-1.89,11.524,0.549
-0.98,0.038,-0.289,-1.829,12.805,0.671
-0.987,0.034,-0.289,-1.768,12.988,0.61
-0.981,0.039,-0.286,-1.585,13.293,0.854
-0.978,0.047,-0.292,-1.829,13.232,1.159
-0.979,0.052,-0.298,-1.951,13.11,1.28
-0.983,0.045,-0.29,-2.439,12.744,1.402
-0.994,0.041,-0.297,-2.134,11.646,1.463
-1,0.04,-0.292,-1.951,10.244,1.341
-1.002,0.049,-0.288,-1.951,9.268,1.22
-1.002,0.055,-0.295,-2.012,8.354,0.793
-0.993,0.068,-0.287,-1.829,6.768,0.488
-0.989,0.062,-0.278,-1.707,5.305,0.488
-0.99,0.061,-0.28,-1.768,4.268,0.366
-0.985,0.063,-0.286,-2.195,4.085,0.061
-0.988,0.059,-0.286,-2.256,4.573,-0.244
-0.99,0.052,-0.3,-2.622,4.939,-0.793
-0.99,0.051,-0.3,-2.866,5,-1.098
-0.984,0.05,-0.298,-3.049,5.366,-1.463
-0.973,0.051,-0.3,-3.11,4.939,-1.585
-0.96,0.049,-0.289,-3.11,3.963,-1.768
-0.953,0.047,-0.288,-3.232,3.476,-2.012
-0.945,0.049,-0.281,-3.354,3.049,-1.768
-0.936,0.047,-0.287,-3.232,2.866,-1.524
-0.935,0.048,-0.287,-3.049,3.659,-1.646
-0.941,0.042,-0.281,-3.11,4.451,-1.524
-0.945,0.035,-0.283,-2.744,4.207,-1.22
-0.948,0.032,-0.284,-2.378,3.841,-1.28
-0.951,0.028,-0.28,-2.683,3.902,-1.22
-0.949,0.027,-0.279,-2.744,3.659,-1.037
-0.945,0.021,-0.276,-2.744,2.378,-0.732
-0.949,0.02,-0.279,-2.317,1.28,-0.61
-0.945,0.026,-0.287,-1.951,0.183,-0.366
-0.945,0.026,-0.293,-2.256,-0.793,-0.183
-0.954,0.032,-0.299,-2.5,-1.28,-0.366
-0.971,0.036,-0.299,-2.195,-1.28,-0.305
-0.972,0.049,-0.304,-2.012,-0.976,-0.549
-0.98,0.068,-0.301,-2.073,-0.793,-0.671
-0.983,0.079,-0.304,-2.134,-0.793,-0.549
-0.979,0.081,-0.302,-1.707,-1.28,-0.427
-0.974,0.079,-0.3,-1.646,-2.012,-0.122
-0.973,0.07,-0.298,-1.341,-2.012,-0.061
-0.965,0.06,-0.307,-1.341,-2.256,0.061
-0.963,0.06,-0.311,-1.402,-2.561,0.122
-0.964,0.062,-0.312,-1.159,-2.622,0.244
-0.967,0.063,-0.31,-0.793,-2.927,0.366
-0.962,0.056,-0.311,-0.732,-3.598,0.549
-0.957,0.052,-0.306,-0.854,-3.902,0.732
-0.963,0.053,-0.302,-0.793,-4.329,0.915
-0.971,0.053,-0.299,-0.427,-5.244,1.037
-0.957,0.054,-0.3,-0.183,-5.61,1.098
-0.96,0.056,-0.309,-0.122,-5.915,1.341
-0.965,0.056,-0.312,-0.183,-6.22,1.402
-0.967,0.065,-0.313,-0.122,-5.793,1.098
-0.971,0.075,-0.307,-0.244,-5.793,1.159
-0.967,0.08,-0.311,-0.061,-6.159,1.28
-0.968,0.072,-0.308,-0.244,-6.402,1.402
-0.968,0.071,-0.303,-0.244,-6.463,1.402
-0.968,0.076,-0.306,-0.061,-6.707,1.463
-0.966,0.067,-0.308,-0.061,-6.524,1.463
-0.969,0.071,-0.312,-0.244,-6.28,1.463
-0.967,0.076,-0.31,-0.427,-5.793,1.28
-0.965,0.078,-0.315,-0.183,-5.854,1.402
-0.968,0.078,-0.309,0.122,-5.793,1.098
-0.963,0.083,-0.307,0,-6.585,0.854
-0.961,0.069,-0.301,0.183,-8.598,0.915
-0.973,0.06,-0.295,0.793,-10.915,0.915
-0.97,0.055,-0.294,0.976,-13.11,0.793
-0.969,0.055,-0.302,1.463,-16.28,0.915
-0.97,0.057,-0.302,1.707,-19.207,0.793
-0.965,0.052,-0.304,2.012,-20.976,0.549
-0.969,0.056,-0.3,2.073,-22.378,0.366
-0.971,0.054,-0.294,2.073,-23.72,0.183
-0.967,0.056,-0.297,2.622,-25.976,0.183
