aX,aY,aZ,gX,gY,gZ,beat_change,beat,dynamic
-0.149,0.428,-0.349,36.463,-0.122,-3.232,2beats_1,2,f
-0.146,0.423,-0.34700000000000003,37.683,0.8540000000000001,-3.902,None,2,f
-0.147,0.424,-0.35100000000000003,39.329,0.122,-3.963,None,2,f
-0.146,0.42,-0.35100000000000003,40.976000000000006,-1.707,-3.78,None,2,f
-0.145,0.423,-0.36,42.073,-3.354,-3.72,None,2,f
-0.141,0.421,-0.359,42.927,-4.939,-3.841,None,2,f
-0.141,0.428,-0.3670000000000001,44.024,-5.488,-4.146,None,2,f
-0.146,0.425,-0.374,45.67100000000001,-4.756,-4.817,None,2,f
-0.145,0.419,-0.38,46.82899999999999,-3.11,-5.3660000000000005,None,2,f
-0.139,0.418,-0.388,48.17100000000001,-1.524,-5.976,None,2,f
-0.126,0.416,-0.385,49.32899999999999,-0.366,-6.462999999999999,None,2,f
-0.124,0.417,-0.396,50.244,0.61,-7.0120000000000005,None,2,f
-0.113,0.418,-0.396,51.28,1.22,-7.561,None,2,f
-0.122,0.414,-0.396,52.317,1.463,-8.049,None,2,f
-0.125,0.417,-0.413,53.11,1.28,-8.658999999999999,None,2,f
-0.1,0.416,-0.412,53.902,1.22,-9.085,None,2,f
-0.093,0.416,-0.416,54.695,1.037,-9.451,None,2,f
-0.095,0.409,-0.4270000000000001,55.793,1.22,-9.634,None,2,f
-0.092,0.406,-0.436,56.707,0.8540000000000001,-9.878,None,2,f
-0.096,0.409,-0.439,57.683,0.183,-10.0,None,2,f
-0.1,0.407,-0.445,58.659,0.183,-10.244000000000002,None,2,f
-0.097,0.405,-0.447,59.756,0.183,-10.427,None,2,f
-0.095,0.4,-0.445,60.976000000000006,-0.061,-10.793,None,2,f
-0.085,0.394,-0.454,61.707,-0.4270000000000001,-10.976,None,2,f
-0.08199999999999999,0.387,-0.462,62.5,-0.915,-11.098,None,2,f
-0.075,0.385,-0.467,63.72,-1.28,-10.976,None,2,f
-0.07,0.384,-0.481,64.634,-1.341,-10.732,None,2,f
-0.073,0.375,-0.493,65.732,-1.402,-10.61,None,2,f
-0.07400000000000001,0.366,-0.5,66.585,-1.829,-10.488,None,2,f
-0.075,0.36,-0.504,67.378,-1.951,-10.427,None,2,f
-0.078,0.355,-0.503,68.293,-1.402,-10.244000000000002,None,2,f
-0.086,0.348,-0.505,69.329,-0.732,-10.122,None,2,f
-0.097,0.344,-0.514,70.305,0.6709999999999999,-9.878,None,2,f
-0.099,0.341,-0.517,71.34100000000002,1.951,-9.634,None,2,f
-0.106,0.343,-0.523,72.439,3.049,-9.695,None,2,f
-0.111,0.341,-0.531,73.354,3.4760000000000004,-9.634,None,2,f
-0.118,0.328,-0.5429999999999999,74.207,3.78,-9.512,None,2,f
-0.117,0.32299999999999995,-0.544,75.122,4.146,-9.634,None,2,f
-0.124,0.312,-0.544,75.793,5.3660000000000005,-9.817,None,2,f
-0.135,0.306,-0.547,76.768,6.585,-10.122,None,2,f
-0.136,0.293,-0.546,77.622,7.439,-10.488,None,2,f
-0.139,0.28300000000000003,-0.55,78.354,7.317,-10.671,None,2,f
-0.14,0.276,-0.5539999999999999,79.207,6.768,-10.793,None,2,f
-0.147,0.278,-0.563,79.878,6.462999999999999,-11.037,None,2,f
-0.15,0.274,-0.556,80.732,5.792999999999998,-11.524,None,2,f
-0.15,0.272,-0.555,81.95100000000002,4.634,-12.134,None,2,f
-0.152,0.27,-0.564,82.62200000000001,3.72,-12.561,None,2,f
-0.14400000000000002,0.269,-0.575,83.23200000000001,2.622,-13.049,None,2,f
-0.134,0.268,-0.5770000000000001,83.963,1.829,-13.476,None,2,f
-0.125,0.266,-0.581,84.695,1.037,-13.963,None,2,f
-0.115,0.255,-0.5820000000000001,85.366,-0.061,-14.39,None,2,f
-0.116,0.252,-0.583,85.671,-1.28,-14.695,None,2,f
-0.111,0.25,-0.5870000000000001,86.463,-1.768,-15.244000000000002,None,2,f
-0.105,0.247,-0.594,86.89,-2.134,-15.732,None,2,f
-0.102,0.24,-0.595,87.561,-2.134,-15.793,None,2,f
-0.086,0.235,-0.604,88.11,-1.707,-15.976,None,2,f
-0.083,0.237,-0.607,88.598,-0.976,-15.976,None,2,f
-0.075,0.237,-0.607,89.024,-0.4270000000000001,-15.793,None,2,f
-0.076,0.233,-0.611,89.45100000000002,-0.061,-15.61,None,2,f
-0.075,0.23,-0.622,89.695,0.061,-15.183,None,2,f
-0.075,0.227,-0.628,90.183,1.22,-14.573,None,2,f
-0.083,0.223,-0.634,90.671,3.537,-14.573,None,2,f
-0.09,0.21600000000000005,-0.648,91.098,6.037000000000001,-14.39,None,2,f
-0.09,0.207,-0.6579999999999999,91.28,8.537,-13.963,None,2,f
-0.103,0.202,-0.659,91.707,10.915,-13.232,None,2,f
-0.107,0.196,-0.665,92.134,13.476,-12.683,None,2,f
-0.125,0.184,-0.67,92.927,15.366,-12.134,None,2,f
-0.14400000000000002,0.179,-0.6779999999999999,93.841,16.28,-11.646,None,2,f
-0.156,0.175,-0.68,94.756,16.89,-11.098,None,2,f
-0.174,0.163,-0.688,95.854,17.256,-10.488,None,2,f
-0.188,0.152,-0.6920000000000001,97.195,17.439,-10.183,None,2,f
-0.196,0.146,-0.696,98.415,17.317,-9.695,None,2,f
-0.214,0.139,-0.703,99.634,17.195,-9.39,None,2,f
-0.225,0.13699999999999998,-0.705,101.22,16.402,-8.963,None,2,f
-0.241,0.129,-0.703,102.073,12.622,-8.11,None,2,f
-0.249,0.123,-0.7040000000000001,102.805,14.207,-8.232000000000001,None,2,f
-0.257,0.119,-0.708,104.268,14.817,-7.987999999999999,None,2,f
-0.268,0.112,-0.7040000000000001,106.159,10.122,-7.377999999999999,None,2,f
-0.271,0.11,-0.69,107.439,7.987999999999999,-7.5,None,2,f
-0.272,0.107,-0.69,108.11,8.476,-7.744,None,2,f
-0.271,0.11,-0.687,108.78,6.524,-7.256,None,2,f
-0.257,0.106,-0.684,109.756,2.744,-6.524,None,2,f
-0.247,0.113,-0.684,110.732,0.366,-6.159,None,2,f
-0.24,0.118,-0.6759999999999999,111.707,-0.488,-5.976,None,2,f
-0.238,0.119,-0.679,112.439,-1.098,-5.732,None,2,f
-0.226,0.113,-0.68,112.683,-0.7929999999999999,-5.4270000000000005,None,2,f
-0.222,0.11,-0.6829999999999999,113.171,-0.183,-5.122000000000001,None,2,f
-0.198,0.08900000000000001,-0.696,113.293,-0.244,-4.512,None,2,f
-0.214,0.109,-0.6970000000000001,113.537,-0.7929999999999999,-3.963,None,2,f
-0.223,0.13699999999999998,-0.6920000000000001,113.78,-0.488,-3.4760000000000004,None,2,f
-0.182,0.101,-0.711,113.78,0.61,-3.049,None,2,f
-0.188,0.067,-0.727,113.78,1.768,-2.622,None,2,f
-0.211,0.076,-0.721,113.72,2.866,-1.829,None,2,f
-0.206,0.083,-0.733,113.598,3.963,-1.098,None,2,f
-0.201,0.083,-0.75,113.171,5.488,-0.305,None,2,f
-0.207,0.083,-0.7709999999999999,112.744,7.317,0.488,None,2,f
-0.229,0.076,-0.7829999999999999,112.5,10.061,1.585,None,2,f
-0.238,0.065,-0.79,112.012,13.049,2.195,None,2,f
-0.256,0.056,-0.807,111.585,15.854,2.6830000000000003,None,2,f
-0.271,0.051,-0.8240000000000001,111.159,18.11,3.537,None,2,f
-0.281,0.043,-0.838,110.915,19.878,4.329,None,2,f
-0.289,0.028,-0.8540000000000001,110.61,21.037,5.183,None,2,f
-0.302,0.028,-0.868,110.549,21.768,5.915,None,2,f
-0.319,0.023,-0.877,110.427,22.927,6.402,None,2,f
-0.334,0.013,-0.889,110.427,24.085,7.256,None,2,f
-0.35,0.009000000000000001,-0.912,110.732,25.366,8.11,None,2,f
-0.365,0.0,-0.918,110.854,26.463,8.597999999999999,None,2,f
-0.373,-0.006,-0.931,111.22,26.768,9.207,None,2,f
-0.377,-0.013,-0.945,111.463,26.585,9.939,None,2,f
-0.388,-0.012,-0.945,111.707,25.671,10.305,None,2,f
-0.394,-0.014,-0.953,112.378,24.268,10.976,None,2,f
-0.393,-0.015,-0.958,113.11,21.89,11.585,None,2,f
-0.389,-0.014,-0.961,114.146,19.146,12.195,None,2,f
-0.382,-0.015,-0.963,115.305,15.793,12.683,None,2,f
-0.384,-0.021,-0.966,116.159,12.255999999999998,13.293,None,2,f
-0.376,-0.019,-0.966,116.463,9.085,13.963,None,2,f
-0.377,-0.016,-0.96,116.951,6.829,14.573,None,2,f
-0.375,-0.018000000000000002,-0.952,117.378,5.305,15.305,None,2,f
-0.3670000000000001,-0.021,-0.948,117.378,4.329,16.340999999999998,None,2,f
-0.362,-0.021,-0.943,117.378,3.4760000000000004,17.317,None,2,f
-0.361,-0.021,-0.944,117.073,3.049,18.293,None,2,f
-0.343,-0.028,-0.944,116.585,3.4760000000000004,19.085,None,2,f
-0.331,-0.032,-0.935,116.037,4.939,20.061,None,2,f
-0.325,-0.034,-0.941,115.366,6.646,21.037,None,2,f
-0.319,-0.031,-0.949,114.512,8.049,22.195,None,2,f
-0.322,-0.018000000000000002,-0.962,113.78,9.451,23.11,None,2,f
-0.32299999999999995,-0.017,-0.971,112.988,10.915,24.329,None,2,f
-0.32299999999999995,-0.023,-0.985,112.134,13.049,25.305,None,2,f
-0.332,-0.037000000000000005,-1.004,111.098,15.488,26.22,None,2,f
-0.35,-0.054000000000000006,-1.021,110.122,18.049,27.256,None,2,f
-0.368,-0.068,-1.034,109.268,21.098000000000006,28.11,None,2,f
-0.381,-0.08,-1.057,108.11,23.902,29.207,None,2,f
-0.395,-0.095,-1.078,107.012,26.402,30.122,None,2,f
-0.404,-0.104,-1.104,105.854,28.598000000000006,30.915,None,2,f
-0.416,-0.111,-1.117,104.451,29.634,31.768,None,2,f
-0.429,-0.124,-1.128,103.415,30.549,32.683,None,2,f
-0.434,-0.131,-1.15,102.805,31.22,33.598,None,2,f
-0.436,-0.134,-1.173,101.89,31.159,34.146,None,2,f
-0.439,-0.14,-1.1840000000000002,101.28,30.549,34.756,None,2,f
-0.45,-0.141,-1.199,100.671,29.085,35.366,None,2,f
-0.455,-0.145,-1.215,100.061,27.073,35.976,None,2,f
-0.453,-0.152,-1.22,100.305,24.451,36.402,None,2,f
-0.453,-0.154,-1.228,100.854,21.28,37.134,None,2,f
-0.457,-0.165,-1.236,101.28,17.866,37.683,None,2,f
-0.449,-0.166,-1.237,101.951,14.268,37.744,None,2,f
-0.441,-0.16899999999999998,-1.241,102.256,11.341,38.049,None,2,f
-0.434,-0.16699999999999998,-1.249,102.317,8.415,38.293,None,2,f
-0.422,-0.16399999999999998,-1.243,101.89,6.646,38.476,None,2,f
-0.41,-0.16699999999999998,-1.244,101.768,5.854,38.78,None,2,f
-0.395,-0.163,-1.236,101.037,6.098,39.451,None,2,f
-0.386,-0.16,-1.222,100.183,6.829,40.122,None,2,f
-0.368,-0.16399999999999998,-1.224,99.329,8.171,40.793,None,2,f
-0.354,-0.16699999999999998,-1.21,98.11,9.268,41.341,None,2,f
-0.34,-0.16699999999999998,-1.199,96.829,9.817,42.195,None,2,f
-0.32,-0.168,-1.195,95.732,9.939,42.927,None,2,f
-0.319,-0.158,-1.195,94.756,9.939,43.841,None,2,f
-0.305,-0.145,-1.212,93.72,10.549,44.695,None,2,f
-0.29600000000000004,-0.14300000000000002,-1.224,92.622,12.073,45.183,None,2,f
-0.297,-0.15,-1.236,91.098,14.146,45.732,None,2,f
-0.297,-0.158,-1.252,90.061,15.366,46.524,None,2,f
-0.307,-0.172,-1.271,88.84100000000002,14.634,47.256,None,2,f
-0.318,-0.188,-1.2819999999999998,87.439,13.11,48.11,None,2,f
-0.342,-0.201,-1.295,85.854,11.89,49.268,None,2,f
-0.358,-0.205,-1.314,84.329,11.463,50.427,None,2,f
-0.369,-0.217,-1.3330000000000002,82.439,11.768,51.463,None,2,f
-0.375,-0.219,-1.354,80.671,12.317,52.5,None,2,f
-0.382,-0.226,-1.3730000000000002,78.96300000000002,13.232,53.17100000000001,None,2,f
-0.386,-0.225,-1.395,77.378,13.354,54.207,None,2,f
-0.385,-0.224,-1.409,75.732,12.5,55.122,None,2,f
-0.396,-0.219,-1.426,74.512,11.22,56.524,None,2,f
-0.403,-0.219,-1.4380000000000002,73.04899999999998,10.366,57.744,None,2,f
-0.407,-0.22,-1.4580000000000002,72.134,9.573,58.841,None,2,f
-0.404,-0.226,-1.466,71.22,8.415,60.244,None,2,f
-0.4,-0.233,-1.481,70.488,7.561,61.463,None,2,f
-0.398,-0.237,-1.5019999999999998,69.878,7.317,62.56100000000001,None,2,f
-0.403,-0.241,-1.515,68.84100000000001,7.805,63.476000000000006,None,2,f
-0.414,-0.244,-1.52,67.561,8.658999999999999,64.329,None,2,f
-0.418,-0.254,-1.528,66.646,9.573,65.305,None,2,f
-0.422,-0.266,-1.526,65.54899999999999,10.183,66.22,None,2,f
-0.426,-0.265,-1.524,64.57300000000001,10.366,67.07300000000001,None,2,f
-0.429,-0.258,-1.528,63.354,10.061,67.805,None,2,f
-0.424,-0.255,-1.535,62.378,9.268,68.293,None,2,f
-0.417,-0.252,-1.533,61.28,8.597999999999999,68.78,None,2,f
-0.425,-0.243,-1.5219999999999998,60.183,8.354,69.268,None,2,f
-0.419,-0.24,-1.514,58.354,8.415,69.817,None,2,f
-0.419,-0.234,-1.516,56.646,8.476,70.61,None,2,f
-0.423,-0.229,-1.516,54.817,8.658999999999999,71.524,None,2,f
-0.414,-0.23,-1.524,52.43899999999999,9.085,72.5,None,2,f
-0.409,-0.241,-1.529,49.878,9.939,73.293,None,2,f
-0.41,-0.251,-1.537,47.012,10.732,73.84100000000002,None,2,f
-0.393,-0.258,-1.539,44.268,11.646,74.39,None,2,f
-0.385,-0.26,-1.5490000000000002,41.402,12.5,75.0,None,2,f
-0.373,-0.258,-1.5619999999999998,38.902,13.415,75.54899999999998,None,2,f
-0.35200000000000004,-0.248,-1.584,36.707,14.39,75.915,None,2,f
-0.341,-0.245,-1.601,34.451,14.634,76.15899999999998,None,2,f
-0.333,-0.244,-1.625,32.256,14.451,76.646,None,2,f
-0.327,-0.244,-1.646,30.122,14.573,77.195,None,2,f
-0.332,-0.25,-1.6769999999999998,27.805,14.755999999999998,77.561,None,2,f
-0.334,-0.255,-1.6969999999999998,25.305,14.755999999999998,78.232,None,2,f
-0.332,-0.271,-1.712,22.927,14.695,78.72,None,2,f
-0.331,-0.281,-1.741,20.427,14.451,79.024,None,2,f
-0.318,-0.295,-1.753,18.171,14.085,79.329,None,2,f
-0.312,-0.305,-1.769,15.915,13.841,79.45100000000002,None,2,f
-0.309,-0.305,-1.776,13.72,13.476,79.57300000000002,None,2,f
-0.299,-0.302,-1.781,11.585,12.866,79.695,None,2,f
-0.29,-0.299,-1.793,9.39,11.951,79.39,None,2,f
-0.28,-0.29,-1.803,7.377999999999999,11.22,79.39,None,2,f
-0.275,-0.284,-1.808,5.4270000000000005,10.793,79.39,None,2,f
-0.267,-0.28600000000000003,-1.812,3.537,10.488,79.207,None,2,f
-0.258,-0.28300000000000003,-1.805,1.463,10.183,79.207,None,2,f
-0.251,-0.281,-1.802,-0.4270000000000001,9.939,79.146,None,2,f
-0.243,-0.278,-1.807,-2.134,9.634,78.96300000000002,None,2,f
-0.233,-0.273,-1.797,-3.902,9.085,78.902,None,2,f
-0.22,-0.274,-1.793,-5.305,8.537,78.902,None,2,f
-0.208,-0.267,-1.796,-6.9510000000000005,8.415,78.96300000000002,None,2,f
-0.193,-0.26,-1.785,-8.658999999999999,8.354,79.024,None,2,f
-0.19,-0.257,-1.78,-10.427,8.232000000000001,79.207,None,2,f
-0.173,-0.252,-1.7719999999999998,-11.585,8.049,79.329,None,2,f
-0.161,-0.245,-1.767,-13.049,8.354,79.146,None,2,f
-0.155,-0.239,-1.7519999999999998,-14.634,8.537,78.78,None,2,f
-0.146,-0.24,-1.74,-16.037,8.841000000000003,78.78,None,2,f
-0.14,-0.237,-1.733,-17.439,8.658999999999999,78.65899999999998,None,2,f
-0.139,-0.238,-1.72,-18.78,8.232000000000001,78.78,None,2,f
-0.135,-0.235,-1.7080000000000002,-19.695,7.683,78.78,None,2,f
-0.135,-0.234,-1.696,-21.159,7.0120000000000005,78.72,None,2,f
-0.127,-0.235,-1.6909999999999998,-22.439,6.524,78.598,None,2,f
-0.124,-0.229,-1.682,-23.354,6.037000000000001,78.65899999999998,None,2,f
-0.123,-0.222,-1.671,-24.146,5.671,78.598,None,2,f
-0.121,-0.221,-1.656,-25.488000000000003,5.671,78.53699999999998,None,2,f
-0.119,-0.224,-1.6469999999999998,-26.89,5.549,78.476,None,2,f
-0.114,-0.225,-1.633,-27.927,5.488,78.354,None,2,f
-0.11,-0.226,-1.625,-29.146,5.61,78.415,None,2,f
-0.104,-0.227,-1.616,-30.488000000000003,5.61,78.171,None,2,f
-0.095,-0.227,-1.607,-31.646,5.183,78.293,None,2,f
-0.093,-0.224,-1.598,-32.866,4.939,78.232,None,2,f
-0.08900000000000001,-0.221,-1.589,-34.268,4.207,77.988,None,2,f
-0.08199999999999999,-0.214,-1.5719999999999998,-35.549,3.659,78.04899999999998,None,2,f
-0.079,-0.211,-1.568,-37.012,3.11,78.11,None,2,f
-0.07400000000000001,-0.211,-1.568,-38.049,2.5610000000000004,77.988,None,2,f
-0.068,-0.208,-1.567,-39.634,2.195,77.805,None,2,f
-0.076,-0.207,-1.554,-40.793,2.317,77.5,None,2,f
-0.068,-0.206,-1.548,-42.56100000000001,2.6830000000000003,77.134,None,2,f
-0.061,-0.203,-1.54,-44.146,2.805,76.95100000000002,None,2,f
-0.06,-0.202,-1.534,-45.549,2.622,76.524,None,2,f
-0.055,-0.199,-1.537,-47.073,2.378,75.976,None,2,f
-0.045,-0.196,-1.536,-48.598,2.622,75.42699999999998,None,2,f
-0.035,-0.196,-1.53,-49.878,2.927,74.817,None,2,f
-0.029,-0.196,-1.534,-51.402,2.927,74.146,None,2,f
-0.022,-0.193,-1.5319999999999998,-52.256,2.256,73.476,None,2,f
-0.021,-0.19,-1.526,-53.232,1.159,72.92699999999998,None,2,f
-0.014,-0.188,-1.521,-54.39,0.183,72.07300000000002,None,2,f
-0.001,-0.191,-1.519,-55.36600000000001,-0.732,71.34100000000002,None,2,f
0.006,-0.189,-1.517,-56.524,-1.707,70.61,None,2,f
0.015,-0.187,-1.514,-57.5,-2.622,69.756,None,2,f
0.021,-0.188,-1.51,-58.354,-3.4760000000000004,68.84100000000001,None,2,f
0.025,-0.195,-1.4980000000000002,-59.207,-4.695,68.232,None,2,f
0.039,-0.195,-1.495,-60.06100000000001,-6.341,67.988,None,2,f
0.05,-0.2,-1.484,-60.976000000000006,-7.5,67.622,None,2,f
0.057,-0.197,-1.477,-61.768,-7.805,67.07300000000001,None,2,f
0.067,-0.188,-1.465,-62.683,-8.72,66.585,None,2,f
0.069,-0.189,-1.453,-63.354,-9.329,66.34100000000001,None,2,f
0.08199999999999999,-0.182,-1.4469999999999998,-64.207,-9.085,66.03699999999999,None,2,f
0.083,-0.18,-1.4340000000000002,-64.939,-9.573,65.793,None,2,f
0.093,-0.179,-1.43,-65.793,-9.695,65.488,None,2,f
0.08900000000000001,-0.174,-1.409,-66.524,-9.817,65.305,None,2,f
0.08900000000000001,-0.174,-1.401,-66.95100000000001,-10.366,65.305,None,2,f
0.091,-0.173,-1.39,-67.683,-10.793,65.122,None,2,f
0.081,-0.166,-1.376,-68.476,-10.732,64.878,None,2,f
0.08,-0.166,-1.365,-69.146,-10.549,64.512,None,2,f
0.081,-0.16699999999999998,-1.366,-70.0,-10.366,64.45100000000001,None,2,f
0.078,-0.161,-1.347,-70.793,-10.488,64.57300000000001,None,2,f
0.068,-0.157,-1.337,-71.34100000000002,-10.305,64.57300000000001,None,2,f
0.067,-0.156,-1.339,-72.256,-9.512,64.634,None,2,f
0.057,-0.152,-1.3219999999999998,-73.11,-8.658999999999999,64.57300000000001,None,2,f
0.045,-0.149,-1.315,-73.84100000000002,-7.683,64.268,None,2,f
0.046,-0.146,-1.311,-74.939,-6.037000000000001,63.78,None,2,f
0.04,-0.141,-1.2919999999999998,-75.854,-4.085,63.354,None,2,f
0.045,-0.139,-1.29,-76.28,-2.866,63.049,None,2,f
0.043,-0.136,-1.283,-76.707,-1.89,62.43899999999999,None,2,f
0.042,-0.135,-1.278,-77.561,-0.976,61.768,None,2,f
0.031,-0.135,-1.269,-77.805,-0.488,61.341,None,2,f
0.033,-0.132,-1.261,-77.92699999999998,0.366,60.549,None,2,f
0.039,-0.135,-1.252,-78.415,1.28,59.695,None,2,f
0.037000000000000005,-0.136,-1.25,-78.293,2.378,59.085,None,2,f
0.032,-0.138,-1.242,-78.11,2.927,58.476000000000006,None,2,f
0.032,-0.136,-1.24,-78.171,3.11,57.86600000000001,None,2,f
0.045,-0.14,-1.228,-78.232,3.049,57.43899999999999,None,2,f
0.045,-0.14300000000000002,-1.217,-78.476,3.415,56.524,None,2,f
0.048,-0.146,-1.197,-78.293,3.4760000000000004,55.61,None,2,f
0.061,-0.145,-1.185,-78.354,3.232,55.183,None,2,f
0.069,-0.145,-1.177,-78.354,2.744,54.268,None,2,f
0.083,-0.147,-1.152,-77.92699999999998,1.646,53.354,None,2,f
0.084,-0.136,-1.146,-77.866,0.915,52.56100000000001,None,2,f
0.095,-0.123,-1.142,-77.866,0.488,51.768,None,2,f
0.099,-0.116,-1.124,-77.683,-0.244,51.098,None,2,f
0.104,-0.109,-1.104,-77.805,-1.037,50.549,None,2,f
0.1,-0.11,-1.097,-77.744,-1.585,50.06100000000001,None,2,f
0.107,-0.108,-1.078,-77.92699999999998,-2.622,49.756,None,2,f
0.112,-0.113,-1.069,-78.53699999999998,-1.646,48.78,None,2,f
0.111,-0.11,-1.062,-78.354,-1.585,48.354,None,2,f
0.117,-0.107,-1.042,-78.598,-2.134,48.11,None,2,f
0.125,-0.101,-1.036,-78.476,-1.768,47.378,None,2,f
0.129,-0.096,-1.019,-78.476,-2.6830000000000003,46.951,None,2,f
0.128,-0.081,-1.019,-78.232,-2.927,46.463,None,2,f
0.135,-0.07200000000000001,-1.022,-77.988,-2.866,45.976000000000006,None,2,f
0.136,-0.069,-1.007,-77.5,-3.415,45.61,None,2,f
0.127,-0.069,-1.004,-77.317,-3.415,45.122,None,2,f
0.12,-0.062,-1.004,-76.89,-3.11,44.817,None,2,f
0.125,-0.07400000000000001,-0.98,-76.098,-2.988,44.207,None,2,f
0.119,-0.07200000000000001,-0.991,-75.61,-2.012,43.598,None,2,f
0.117,-0.066,-0.976,-75.061,-1.341,42.86600000000001,None,2,f
0.104,-0.067,-0.962,-74.39,-0.122,42.195,None,2,f
0.112,-0.058,-0.963,-73.598,0.915,41.585,None,2,f
0.111,-0.065,-0.938,-72.805,1.463,40.915,None,2,f
0.099,-0.058,-0.937,-72.195,1.646,40.549,None,2,f
0.102,-0.048,-0.919,-71.28,1.585,39.756,None,2,f
0.107,-0.042,-0.906,-70.122,2.012,38.902,None,2,f
0.104,-0.04,-0.893,-69.207,2.927,37.805,None,2,f
0.104,-0.035,-0.885,-68.232,3.963,36.951,None,2,f
0.108,-0.034,-0.87,-67.195,4.512,36.098,None,2,f
0.112,-0.033,-0.86,-66.098,4.146,35.61,None,2,f
0.115,-0.028,-0.838,-64.939,3.5980000000000003,35.122,None,2,f
0.114,-0.024,-0.82,-63.902,3.1710000000000003,34.573,None,2,f
0.116,-0.021,-0.812,-63.049,2.622,34.146,None,2,f
0.11,-0.019,-0.7979999999999999,-62.012,2.256,33.537,None,2,f
0.11,-0.012,-0.792,-61.037,1.463,32.927,None,2,f
0.114,-0.011,-0.775,-60.122,0.915,32.5,None,2,f
0.123,0.002,-0.762,-59.207,0.488,31.89,None,2,f
0.125,0.006,-0.7490000000000001,-58.232,0.366,31.524,None,2,f
0.121,0.015,-0.736,-57.378,0.488,30.976,None,2,f
0.125,0.017,-0.726,-56.463,0.7929999999999999,30.427,None,2,f
0.124,0.021,-0.7170000000000001,-55.67100000000001,0.7929999999999999,29.634,None,2,f
0.12,0.025,-0.7090000000000001,-55.122,0.61,29.085,None,2,f
0.118,0.035,-0.701,-53.902,0.305,28.537,None,2,f
0.115,0.04,-0.6990000000000001,-52.805,0.4270000000000001,27.805,None,2,f
0.117,0.042,-0.6990000000000001,-51.707,0.366,27.012,None,2,f
0.112,0.047,-0.6970000000000001,-51.037,0.244,26.463,None,2,f
0.116,0.057,-0.693,-50.427,-0.4270000000000001,25.915,None,2,f
0.12,0.059,-0.6890000000000001,-49.756,-0.61,25.122,None,2,f
0.12,0.061,-0.687,-48.902,-0.6709999999999999,24.39,None,2,f
0.117,0.07400000000000001,-0.6920000000000001,-47.86600000000001,-0.8540000000000001,23.659,None,2,f
0.122,0.076,-0.684,-47.073,-0.976,23.049,None,2,f
0.113,0.081,-0.677,-46.585,-1.159,22.256,None,2,f
0.115,0.087,-0.679,-45.61,-1.402,21.463,None,2,f
0.118,0.084,-0.674,-44.817,-1.646,20.854,None,2,f
0.118,0.087,-0.674,-43.841,-2.012,20.244,None,2,f
0.125,0.092,-0.672,-43.049,-1.89,19.512,None,2,f
0.122,0.099,-0.664,-42.13399999999999,-1.037,18.415,None,2,f
0.124,0.108,-0.6609999999999999,-41.22,-0.4270000000000001,17.683,None,2,f
0.133,0.109,-0.6609999999999999,-40.061,-0.183,16.768,None,2,f
0.132,0.107,-0.6579999999999999,-39.085,-0.183,15.976,None,2,f
0.133,0.11,-0.6629999999999999,-37.988,-0.061,15.244000000000002,None,2,f
